"year","state_id","coverage","generator_category","total_share","organic_share","comp_paper_share","food_share","phase","material","threshold","distance_threshold","pc","pc_VT","effect_VT","distance_MA","distance_VT","effect_type","effect_size"
2014,"MA",0.75,"commercial",0.4037,0.0429,0,0.1034,1,"food",52,1000000,0.684984690193799,0.550698821311461,0.0569006653312424,1,0.999269561943391,"fiori_estimates",0.07755
2014,"MA",0.75,"commercial",0.4037,0.0429,0,0.1034,1,"food",52,1000000,0.684984690193799,0.550698821311461,0.0569006653312424,1,0.999269561943391,"lower_bound",0.0708274169660388
2014,"CT",0.6,"commercial",0.232513075538026,0.0263358484095001,0.0510460430420989,0.105965874989282,1,"organic",104,20,0.463491584816988,0.40046454709477,0.0615263579326128,0.97546999620893,0.97850830155146,"fiori_estimates",0.0942071508188288
2014,"CT",0.6,"commercial",0.232513075538026,0.0263358484095001,0.0510460430420989,0.105965874989282,1,"organic",104,20,0.463491584816988,0.40046454709477,0.0615263579326128,0.97546999620893,0.97850830155146,"lower_bound",0.0727737027235198
2014,"VT",0.6,"commercial",0.327663290163389,0.0129195172028603,0.0380610497664942,0.1071215986952,1,"food",104,20,0.463491584816988,0.40046454709477,0.0419764429749678,0.97546999620893,0.97850830155146,"fiori_estimates",0.0642729592171197
2014,"VT",0.6,"commercial",0.327663290163389,0.0129195172028603,0.0380610497664942,0.1071215986952,1,"food",104,20,0.463491584816988,0.40046454709477,0.0419764429749678,0.97546999620893,0.97850830155146,"lower_bound",0.0496499595473677
2015,"MA",0.75,"commercial",0.4037,0.0429,0,0.1034,1,"food",52,1000000,0.684984690193799,0.550698821311461,0.0569006653312424,1,0.999269561943391,"fiori_estimates",0.07755
2015,"MA",0.75,"commercial",0.4037,0.0429,0,0.1034,1,"food",52,1000000,0.684984690193799,0.550698821311461,0.0569006653312424,1,0.999269561943391,"lower_bound",0.0708274169660388
2015,"CT",0.6,"commercial",0.232513075538026,0.0263358484095001,0.0510460430420989,0.105965874989282,1,"organic",104,20,0.463491584816988,0.40046454709477,0.0615263579326128,0.97546999620893,0.97850830155146,"fiori_estimates",0.0942071508188288
2015,"CT",0.6,"commercial",0.232513075538026,0.0263358484095001,0.0510460430420989,0.105965874989282,1,"organic",104,20,0.463491584816988,0.40046454709477,0.0615263579326128,0.97546999620893,0.97850830155146,"lower_bound",0.0727737027235198
2015,"VT",0.75,"commercial",0.327663290163389,0.0129195172028603,0.0380610497664942,0.1071215986952,2,"food",52,20,0.664777098432603,0.550698821311461,0.0570822140120591,0.970499206696899,0.967630651568437,"fiori_estimates",0.0803411990213997
2015,"VT",0.75,"commercial",0.327663290163389,0.0129195172028603,0.0380610497664942,0.1071215986952,2,"food",52,20,0.664777098432603,0.550698821311461,0.0570822140120591,0.970499206696899,0.967630651568437,"lower_bound",0.0712119855600568
2016,"RI",0.6,"commercial",0.324607954545455,0.0268068181818182,0,0.0747215909090909,1,"organic",104,15,0.445918904391459,0.40046454709477,0.0240716548931755,0.938486320410716,0.804443902587834,"fiori_estimates",0.0609170454545454
2016,"RI",0.6,"commercial",0.324607954545455,0.0268068181818182,0,0.0747215909090909,1,"organic",104,15,0.445918904391459,0.40046454709477,0.0240716548931755,0.938486320410716,0.804443902587834,"lower_bound",0.0333197699525686
2016,"MA",0.75,"commercial",0.4037,0.0429,0,0.1034,1,"food",52,1000000,0.684984690193799,0.550698821311461,0.0569006653312424,1,0.999269561943391,"fiori_estimates",0.07755
2016,"MA",0.75,"commercial",0.4037,0.0429,0,0.1034,1,"food",52,1000000,0.684984690193799,0.550698821311461,0.0569006653312424,1,0.999269561943391,"lower_bound",0.0708274169660388
2016,"CA",0.75,"commercial",0.314321031118206,0.0787196422116324,0.0279464490325531,0.0778495425083476,1,"all_organic",52,1000000,0.684984690193799,0.550698821311461,0.101538320353336,1,0.999269561943391,"fiori_estimates",0.1383867253144
2016,"CA",0.75,"commercial",0.314321031118206,0.0787196422116324,0.0279464490325531,0.0778495425083476,1,"all_organic",52,1000000,0.684984690193799,0.550698821311461,0.101538320353336,1,0.999269561943391,"lower_bound",0.126390384221891
2016,"CT",0.6,"commercial",0.232513075538026,0.0263358484095001,0.0510460430420989,0.105965874989282,1,"organic",104,20,0.463491584816988,0.40046454709477,0.0615263579326128,0.97546999620893,0.97850830155146,"fiori_estimates",0.0942071508188288
2016,"CT",0.6,"commercial",0.232513075538026,0.0263358484095001,0.0510460430420989,0.105965874989282,1,"organic",104,20,0.463491584816988,0.40046454709477,0.0615263579326128,0.97546999620893,0.97850830155146,"lower_bound",0.0727737027235198
2016,"VT",0.8,"commercial",0.327663290163389,0.0129195172028603,0.0380610497664942,0.1071215986952,3,"food",26,20,0.873068539008601,0.736119388796318,0.0755619076870879,0.969984263223543,0.958247316050837,"fiori_estimates",0.116146118769355
