"att","mape","r_sq","nreg","lambda","type","ban_year","county_id"
-0.01609286256013,0.0280569331475687,0.99845142454288,4,0.00326448013372864,"No Constraint",2015,"CO"
-0.01609286256013,0.0280569331475687,0.99845142454288,4,0.00326448013372864,"Constraint",2015,"CO"
0.067352172706869,0.0181775028400334,0.980714364161762,3,0.00993356759831305,"No Constraint",2015,"DE"
0.067352172706869,0.0181775028400334,0.980714364161762,3,0.00993356759831305,"Constraint",2015,"DE"
-0.208406475243386,0.0548467687009729,0.981623846837111,1,0.0136881460481038,"No Constraint",2015,"FL"
-0.196119606657175,0.0420420259980877,0.970550791652586,1,0.0239204239625144,"Constraint",2015,"FL"
-0.0613912836300999,0.0232413947192613,0.993501531375053,4,0.00378686693122689,"No Constraint",2015,"GA"
-0.0613258342061905,0.0238727739120127,0.992500879168393,4,0.00477848410242375,"Constraint",2015,"GA"
-0.0459184728791252,0.012997300878421,0.999082955411355,6,0.000155965214383481,"No Constraint",2015,"IA"
-0.045197160809697,0.0089195161432436,0.885492263829815,5,0.00183541728450567,"Constraint",2015,"IA"
0.0308951768047837,0.0609332508218235,0.993159653323125,2,0.0117146128096301,"No Constraint",2015,"IL"
0.0308951768047837,0.0609332508218235,0.993159653323125,2,0.0117146128096301,"Constraint",2015,"IL"
-0.031661407622958,0.0501709898532267,0.997862104075292,6,0.00204511032568287,"No Constraint",2015,"IN"
-0.0439642466150967,0.0509856285275299,0.996824211116347,6,0.00283224541803509,"Constraint",2015,"IN"
-0.0352913436717094,0.0472316120469733,0.981412476732227,3,0.00259914808153058,"No Constraint",2015,"KY"
-0.040691126810239,0.0477114378443817,0.986427214332244,3,0.00163234074524964,"Constraint",2015,"KY"
0.0491549824671779,0.0161521983671779,0.999061468614061,6,0.0012146898665939,"No Constraint",2015,"MI"
0.046110811726063,0.0203965467891472,0.9794171429413,6,0.0108133524337911,"Constraint",2015,"MI"
0.0375228173219819,0.0129171983464871,0.993330885622083,3,0.00302355059983279,"No Constraint",2015,"MN"
0.0375228173219819,0.0129171983464871,0.993330885622083,3,0.00302355059983279,"Constraint",2015,"MN"
-0.0359124654620424,0.032920087970204,0.796702819017335,5,0.0138816076286247,"No Constraint",2015,"MO"
-0.0359124654620424,0.032920087970204,0.796702819017335,5,0.0138816076286247,"Constraint",2015,"MO"
-0.0857159413635925,0.0106627500429251,0.901570263094525,4,0.00343695364412274,"No Constraint",2015,"MS"
-0.0857159413635925,0.0106627500429251,0.901570263094525,4,0.00343695364412274,"Constraint",2015,"MS"
-0.00525048886297055,0.0178547168322832,0.995340165513618,6,0.00865385538023285,"No Constraint",2015,"NC"
-0.00525048886297055,0.0178547168322832,0.995340165513618,6,0.00865385538023285,"Constraint",2015,"NC"
0.0628818743478593,0.0233028510002778,0.999023621990665,6,0.00150152104228136,"No Constraint",2015,"NJ"
0.0660834759110654,0.0284596974612547,0.995129930810486,5,0.00363387351460863,"Constraint",2015,"NJ"
-0.0753095417629496,0.0164973704831624,0.998330689499418,7,0.00375537175909241,"No Constraint",2015,"OR"
-0.075240798478251,0.0167447201229008,0.998467038659615,7,0.00358468431683309,"Constraint",2015,"OR"
0.0545744123459972,0.0396728782000524,0.99457144885765,6,0.000477680244940165,"No Constraint",2015,"PA"
0.0631979146270268,0.0379837180900845,0.967367496743044,4,0.00293100168929414,"Constraint",2015,"PA"
0.0517223096019351,0.0110368791422015,0.999139631844494,7,0.00166612981032864,"No Constraint",2015,"SC"
0.0435790899781655,0.0245306521165923,0.955063029053836,4,0.01231390229991,"Constraint",2015,"SC"
-0.00556212829093417,0.0492561139319708,0.861187090783746,2,0.0250827741885095,"No Constraint",2015,"TN"
-0.00556212829093417,0.0492561139319708,0.861187090783746,2,0.0250827741885095,"Constraint",2015,"TN"
-0.00175585786260132,0.0331297685444451,0.999225644691074,6,0.000565594076521934,"No Constraint",2015,"TX"
-0.00175585786260132,0.0331297685444451,0.999225644691074,6,0.000565594076521934,"Constraint",2015,"TX"
0.027990230072529,0.090260153564733,0.914936187450701,4,0.0145755128890506,"No Constraint",2015,"UT"
0.027990230072529,0.090260153564733,0.914936187450701,4,0.0145755128890506,"Constraint",2015,"UT"
0.0383251371544201,0.0117623370786608,0.998995367082123,6,0.00172461750130478,"No Constraint",2015,"WA"
0.0383251371544201,0.0117623370786608,0.998995367082123,6,0.00172461750130478,"Constraint",2015,"WA"
0.0551535384556855,0.00362278090890883,0.909564661609823,4,0.00227800650142415,"No Constraint",2015,"WI"
0.0551535384556855,0.00362278090890883,0.909564661609823,4,0.00227800650142415,"Constraint",2015,"WI"
-0.0176617437128458,0.0211357107505915,0.995801616935911,4,0.0061411934487094,"No Constraint",2014,"CO"
-0.0176617437128458,0.0211357107505915,0.995801616935911,4,0.0061411934487094,"Constraint",2014,"CO"
0.0490337408348659,0.052156529359976,0.999030906235729,4,0.00176498498039775,"No Constraint",2014,"DE"
0.0490337408348659,0.052156529359976,0.999030906235729,4,0.00176498498039775,"Constraint",2014,"DE"
-0.18138665309848,0.0192941790329937,0.977762195830234,1,0.0153279873587767,"No Constraint",2014,"FL"
-0.18138665309848,0.0192941790329937,0.977762195830234,1,0.0153279873587767,"Constraint",2014,"FL"
-0.0382072150619321,0.0177493278325193,0.997482700635061,4,0.00225522844390855,"No Constraint",2014,"GA"
-0.0382072150619321,0.0177493278325193,0.997482700635061,4,0.00225522844390855,"Constraint",2014,"GA"
-0.029932838956114,0.028099109407643,3.97865900642809e-16,1,0.0120460450801704,"No Constraint",2014,"IA"
-0.029932838956114,0.028099109407643,3.97865900642809e-16,1,0.0120460450801704,"Constraint",2014,"IA"
0.0262044526532051,0.0452627226709771,0.964853390398382,2,0.0317188737723735,"No Constraint",2014,"IL"
0.0262044526532051,0.0452627226709771,0.964853390398382,2,0.0317188737723735,"Constraint",2014,"IL"
-0.113738494347163,0.0446219484227462,0.999156845369287,5,0.00194480062369056,"No Constraint",2014,"IN"
-0.115606327833743,0.0437690425177128,0.998822844808607,5,0.00234251923633276,"Constraint",2014,"IN"
