"ban_year","type","att","mape","r_sq","i"
2014,"Constraint",0.0464788197588158,0.0397840594965877,0.665501198952313,1
2014,"No Constraint",0.0464621542593628,0.0397603243541444,0.665088049468684,1
2015,"Constraint",0.0635297978510586,0.0495619809896767,0.635431844695291,1
2015,"No Constraint",0.0678805683463261,0.0494466059832986,0.635858313150783,1
2016,"Constraint",-0.40071914165374,0.398642099590813,0.203571682411788,1
2016,"No Constraint",-0.0211840634913645,0.0369116677223169,0.998911818572299,1
2014,"Constraint",-0.5948631520637,0.37138508956708,0.245782524143423,2
2014,"No Constraint",-0.300086608887918,0.0953966354386653,0.749292827444575,2
2015,"Constraint",-1.05740216157266,0.811266137147818,0,2
2015,"No Constraint",-0.154060836698275,0.164666450301346,0.999053449814044,2
2016,"Constraint",-0.283232280621897,0.102002828678721,0.922255543771519,2
2016,"No Constraint",-0.242002911348081,0.0986162408145444,0.967777285264623,2
2014,"Constraint",-0.13419668840716,0.244380515339581,0.700920578429075,3
2014,"No Constraint",0.0456405336033082,0.100729250004257,0.95561767295395,3
2015,"Constraint",-0.392385592752815,0.495581491987616,0.388168544379381,3
2015,"No Constraint",0.0249266061749611,0.129124031980002,0.887684971008887,3
2016,"Constraint",0.050021069403218,0.0790555311279291,0.781288083246806,3
2016,"No Constraint",0.0493865654262554,0.0765161498574852,0.793237677288941,3
2014,"Constraint",-0.454740932512793,0.225120983503001,0.339194834011144,4
2014,"No Constraint",-0.339817868777709,0.0802694707617382,0.663576225932496,4
2015,"Constraint",-0.387334491559719,0.142404232374827,0.708576290873713,4
2015,"No Constraint",-0.398818710786199,0.143272807949719,0.729364427627869,4
2016,"Constraint",-0.525771222478439,0.27333039776488,0.425210277766647,4
2016,"No Constraint",-0.419305336015425,0.170240665862405,0.707223845694583,4
2014,"Constraint",-0.284018004091995,0.314907267025795,0.629047742631078,5
2014,"No Constraint",-0.117532256148968,0.146752619368739,0.878812756746316,5
2015,"Constraint",-0.385462659452693,0.389632654698212,0.193680586789648,5
2015,"No Constraint",-0.121017832649056,0.195251123208897,0.443433501384517,5
2016,"Constraint",-0.0188598511862738,0.119285282492586,0.298792715464374,5
2016,"No Constraint",-0.0190616809147757,0.119095775967578,0.30071300195297,5
2014,"Constraint",-0.114276151096117,0.138868351056832,0.698928033684507,6
2014,"No Constraint",-0.0333341915579342,0.0517619692732266,0.951886509617821,6
2015,"Constraint",-0.302703292328251,0.329105007723564,0.484855390576528,6
2015,"No Constraint",0.037419142891159,0.0393460876158138,0.974087722996223,6
2016,"Constraint",-0.53175961801356,0.482875542266152,0.227581417911386,6
2016,"No Constraint",-0.0484906555633758,0.0384537416295349,0.974850924409158,6
2014,"Constraint",-0.171477467696512,0.284977267524954,0.231020163513577,7
2014,"No Constraint",0.0420484443698525,0.117094657861907,0.480706729547429,7
2015,"Constraint",-0.4248145223751,0.526564760865379,0.391570719769941,7
2015,"No Constraint",0.0860600353577462,0.113236464462932,0.88742296614693,7
2016,"Constraint",0.0105484146161149,0.109894320054356,0.578775280435551,7
2016,"No Constraint",-0.0039598082864372,0.10824341720988,0.614532067925589,7
2014,"Constraint",-0.358286653064785,0.313510403629218,0,8
2014,"No Constraint",-0.0375122203565793,0.0229836208038589,0.49935175884135,8
2015,"Constraint",-0.363539694112198,0.313064961842529,0.339069876716837,8
2015,"No Constraint",-0.0443125097667036,0.0250867713384185,0.838602418703548,8
2016,"Constraint",-0.26681660811112,0.270054900608943,0.202815152603759,8
2016,"No Constraint",-0.0422989402181026,0.0391908478479883,0.740316109024411,8
2014,"Constraint",-0.137362855274047,0.262728181688976,0.629730676854696,9
2014,"No Constraint",0.0390820347786701,0.0841204664973536,0.89920547670231,9
2015,"Constraint",-0.572844135382141,0.623489135738583,0.2372539257713,9
2015,"No Constraint",0.0683527176481869,0.0800869534379918,0.993667655367266,9
2016,"Constraint",-0.363405205183436,0.410693900525768,0.434821786781674,9
2016,"No Constraint",-0.00943691732414133,0.0630907727916185,0.971696048678888,9
2014,"Constraint",-0.179076733220119,0.233769274868792,0.365375948000678,10
2014,"No Constraint",-0.016755121781208,0.0667620706560235,0.617538068498667,10
2015,"Constraint",-0.00573072021750765,0.0617425828571138,0.730644397874734,10
2015,"No Constraint",-0.00958798235386517,0.0660945975314295,0.730711196882277,10
2016,"Constraint",-0.0103062522082271,0.0706275388183264,0.674601552514068,10
2016,"No Constraint",-0.00987010969627874,0.0640101937387958,0.703143954941243,10
2014,"Constraint",-0.151930680112842,0.148469911127382,0.633669299752208,11
2014,"No Constraint",-0.0114904105831731,0.049090772380519,0.945410611308542,11
2015,"Constraint",-0.201793533765789,0.228356061790801,0.580359174853867,11
2015,"No Constraint",0.00158881315022899,0.06376395676492,0.833782446008732,11
2016,"Constraint",-0.368703624378334,0.383569469288019,0.229431066822365,11
2016,"No Constraint",-0.00855675418671645,0.0527645220329725,0.728969924068919,11
2014,"Constraint",-0.152380063821228,0.217758081075605,0.487785243800113,12
2014,"No Constraint",0.0281081386524843,0.0801834799480824,0.740889291900168,12
2015,"Constraint",-0.620870265468606,0.612237633136866,1.05635142264673e-16,12
2015,"No Constraint",0.0161571770415243,0.05800106641075,0.735504944509668,12
2016,"Constraint",-0.474089011051486,0.481327141941185,0.229359453434548,12
2016,"No Constraint",0.00365903081492794,0.0666899798889656,0.728899111614191,12
2014,"Constraint",-0.337636583865416,0.387990892378091,0.482376216623882,13
2014,"No Constraint",0.0344440365242633,0.103492277124133,0.98349344050787,13
2015,"Constraint",-0.321279040790174,0.35749759346996,0.469330095955072,13
2015,"No Constraint",0.0251825508633479,0.090752017253578,0.969995175260865,13
2016,"Constraint",-0.569823383534283,0.482705810489076,0.214806819222889,13
2016,"No Constraint",-0.0732016654203169,0.0649807169980612,0.983659546776676,13
2014,"Constraint",-0.305769658629216,0.34604176358714,0.338606679665809,14
2014,"No Constraint",0.0291274827282365,0.0533815704440022,0.837374798370778,14
2015,"Constraint",-0.180182728330586,0.199372657215773,0.496021719085615,14
2015,"No Constraint",0.0452278108566093,0.0292327807460915,0.856705605951736,14
2016,"Constraint",-0.30313777251162,0.32008060011374,0.377418195932338,14
2016,"No Constraint",0.0436399164156882,0.0335725424561352,0.874131119614548,14
2014,"Constraint",-0.104456484046495,0.265908784092628,0.270472391585063,15
2014,"No Constraint",0.0682962904862385,0.102961947301659,0.513077560832826,15
2015,"Constraint",-0.128518469004049,0.230372187051369,0.198034375358039,15
2015,"No Constraint",0.0465442946640081,0.0850251374852081,0.447810628663551,15
2016,"Constraint",0.0659068983461159,0.0801550047125927,0.56207424180315,15
2016,"No Constraint",0.0756266503513949,0.0789748179368815,0.571865311997865,15
2014,"Constraint",-0.0828541948693992,0.0754507221737199,0.70449379117083,16
2014,"No Constraint",-0.077899803979664,0.0862931263732343,0.723197641776583,16
2015,"Constraint",-0.576064770723486,0.546336998806703,0.237843903790193,16
2015,"No Constraint",-0.0940284097007383,0.103285935637994,0.741284943635244,16
2016,"Constraint",-0.398911036788185,0.39368725864847,0.425908160378956,16
2016,"No Constraint",-0.107488710951395,0.14629308723597,0.669067542205945,16
2014,"Constraint",0.0163581697905883,0.0631931987789009,0.644802082507682,17
2014,"No Constraint",0.00735978337960124,0.0667750962973854,0.654036354061242,17
2015,"Constraint",-0.83733208454084,0.743924321654558,0,17
2015,"No Constraint",-0.0250875572091269,0.055253728089698,0.991093137587509,17
2016,"Constraint",-0.295306422819922,0.264970255013875,0.677782841404791,17
2016,"No Constraint",-0.0628562999782793,0.0572077319855115,0.981476732999549,17
2014,"Constraint",-0.0291919314564845,0.0598824185763855,0.105591792079425,18
2014,"No Constraint",-0.0291919314564845,0.0598824185763855,0.105591792079425,18
2015,"Constraint",-0.22771211187896,0.182386984398868,0.698098721832471,18
2015,"No Constraint",-0.10802988031478,0.0642970406073961,0.968493097602413,18
2016,"Constraint",-0.179203085588134,0.160472141368728,0.347867800283275,18
2016,"No Constraint",-0.0594669589145637,0.050203415772392,0.679928282446832,18
2014,"Constraint",-0.00529097267536481,0.080421547725437,0.497451117771532,19
2014,"No Constraint",-0.0590667909936696,0.10029971837926,0.499531112971996,19
2015,"Constraint",-0.186120031924689,0.274085597288086,0.43584544269017,19
2015,"No Constraint",0.0259998211847564,0.0818953671902455,0.685606166075397,19
2016,"Constraint",-0.0107573763365949,0.0488505331921119,0.597045024278346,19
2016,"No Constraint",3.58743645968067e-05,0.0482297168490206,0.632938895191524,19
2014,"Constraint",-0.182230312297226,0.235452153774688,0.345221411620894,20
2014,"No Constraint",-0.00212886971972268,0.0734820950802785,0.59497691456693,20
2015,"Constraint",-0.0371438812498946,0.0960577192206548,0.666850151274951,20
2015,"No Constraint",-0.0378908335987249,0.0960350750988902,0.665093396782139,20
2016,"Constraint",-0.162393566161867,0.230979465726777,0.368824134127197,20
2016,"No Constraint",-0.0218386427296826,0.0427470602667177,0.734634390971115,20
2014,"Constraint",-0.0477366740251627,0.11279185307871,0.695799813531621,21
2014,"No Constraint",0.0474174182408686,0.0495308039620767,0.945930233358462,21
2015,"Constraint",-0.0278279818778278,0.140197270926835,0.670156081880169,21
2015,"No Constraint",0.0591053813200173,0.0712726903763138,0.919925674407601,21
2016,"Constraint",-0.0639182419038789,0.121934145458557,0.700932014020488,21
2016,"No Constraint",0.0230806802637779,0.0457982468668683,0.992950906522813,21
2014,"Constraint",-0.0718517674203843,0.0987914777931652,0.745153695937279,22
2014,"No Constraint",-0.0720362288605142,0.0981609922392956,0.745969729239833,22
2015,"Constraint",-0.0189356472834003,0.089391331645855,0.312106294596491,22
2015,"No Constraint",-0.0189356472834003,0.089391331645855,0.312106294596491,22
2016,"Constraint",-0.44379932626428,0.394743012640451,0.0742213416058967,22
2016,"No Constraint",-0.0787940621972327,0.052703163294571,0.573751172647078,22
2014,"Constraint",-0.624665861981203,0.522305888415185,0.214514132990234,23
2014,"No Constraint",-0.0789374239991729,0.0877649378356781,0.963807946262987,23
2015,"Constraint",-0.282224394883669,0.205246029112141,0.492725514292262,23
2015,"No Constraint",-0.124595885340764,0.0646338093782018,0.742490746506695,23
2016,"Constraint",-0.0849206534011508,0.0489323972936792,0.902391810245216,23
2016,"No Constraint",-0.0121092903063481,0.0716311442237237,0.998573109160435,23
2014,"Constraint",-0.161781283506281,0.158125612936787,0.630743861179031,24
2014,"No Constraint",-0.0310865494005086,0.0356525447918991,0.882053011685025,24
2015,"Constraint",-0.287344000316329,0.287894599788362,0.0875017682594453,24
2015,"No Constraint",-0.0210888894211815,0.0287427355869363,0.583750680537702,24
2016,"Constraint",-0.0277704876879929,0.0383324584221527,0.694905467501977,24
2016,"No Constraint",-0.0320376736163011,0.0380700001851082,0.731786574857092,24
2014,"Constraint",-0.243692416883211,0.185036215393049,0.48123132961376,25
2014,"No Constraint",-0.0428282974186239,0.113280941229617,0.734987949447722,25
2015,"Constraint",-0.296082853815235,0.266674104931283,0.282534252088928,25
2015,"No Constraint",-0.0596508465677391,0.111440217256289,0.532300908541125,25
2016,"Constraint",-0.353445549866199,0.257718932151257,0.113286977553713,25
2016,"No Constraint",-0.189456380898626,0.103367171198294,0.36304668311053,25
2014,"Constraint",-0.0424002942583301,0.0580483863813896,0.331756664570579,26
2014,"No Constraint",-0.0424002942583301,0.0580483863813896,0.331756664570579,26
2015,"Constraint",-0.0355573996087667,0.0678928630986667,0.407891396889053,26
2015,"No Constraint",-0.0355573996087667,0.0678928630986667,0.407891396889053,26
2016,"Constraint",-0.0262817034838552,0.0623136328000802,0.41926796302893,26
2016,"No Constraint",-0.0262817034838552,0.0623136328000802,0.41926796302893,26
2014,"Constraint",-0.0763551005664348,0.256711514086152,0.436986108857553,27
2014,"No Constraint",0.139473102678519,0.117230734266006,0.713489028990198,27
2015,"Constraint",-0.523788409291094,0.48302595768787,0,27
2015,"No Constraint",0.0401712929363282,0.0583315289099433,0.749280693450766,27
2016,"Constraint",9.6294464632657e-07,0.0804062113905644,0.708091686000544,27
2016,"No Constraint",0.0023650342098762,0.0678721953891295,0.788197058326107,27
2014,"Constraint",-0.0127167423156219,0.0772594776635644,0.540340994134134,28
2014,"No Constraint",-0.0168808788197377,0.0784069211078523,0.542738100516885,28
2015,"Constraint",-0.0264375506508245,0.115883148254195,0.512186696312318,28
2015,"No Constraint",-0.0301716842148888,0.120205861869988,0.513459872523838,28
2016,"Constraint",-0.0436969322505033,0.168470929171117,0.448080150848048,28
2016,"No Constraint",-0.0436934639870156,0.159503709346151,0.486651860828761,28
2014,"Constraint",0.11622241203754,0.0977260555052203,0.570206954982281,29
2014,"No Constraint",0.118877090307346,0.0964708831322791,0.572376033615887,29
2015,"Constraint",-0.195349680757117,0.328861110703116,0.347388684583926,29
2015,"No Constraint",0.105567094575367,0.0869024814081922,0.597147915058379,29
2016,"Constraint",-0.148261347584287,0.326079366584539,0.260813587683737,29
2016,"No Constraint",0.14786240682207,0.0982551707458868,0.510582185547084,29
2014,"Constraint",-0.0666930119165067,0.0609196584197884,0.317903699755453,30
2014,"No Constraint",-0.0666930119165067,0.0609196584197884,0.317903699755453,30
2015,"Constraint",-0.190379025961556,0.18123525699719,0.260003749780411,30
2015,"No Constraint",-0.0489702548486231,0.0450434825883105,0.50421957454217,30
2016,"Constraint",-0.0509419733223057,0.0244539494353265,0.6960865574733,30
2016,"No Constraint",0.0163507518347232,0.051568325701465,0.724079584915164,30
2014,"Constraint",-0.292784767246152,0.17577076772388,0.285870348399686,31
2014,"No Constraint",-0.162208712502663,0.0530382945298445,0.535633437894969,31
2015,"Constraint",-0.432052474702359,0.315356940757253,0.248140152145573,31
2015,"No Constraint",-0.15786498080222,0.0768773553158005,0.747680163487941,31
2016,"Constraint",-0.185995859993946,0.112578967876379,0.701740733289438,31
2016,"No Constraint",-0.18948670503362,0.113800197813046,0.722633926653884,31
2014,"Constraint",0.0761657744750995,0.104009268980674,0.72018538395704,32
2014,"No Constraint",0.0539166101752883,0.0947549294234735,0.732389702041516,32
2015,"Constraint",-0.146348339726315,0.187637980140539,0.290535251480345,32
2015,"No Constraint",-0.00997163179966837,0.0532568861855806,0.587187941757109,32
2016,"Constraint",-0.150245632002658,0.173959430340269,0.660337590768334,32
2016,"No Constraint",0.0222374797203262,0.0482939438132571,0.9284719311094,32
2014,"Constraint",-0.142449910885516,0.148643628308919,0.269725684469232,33
2014,"No Constraint",-0.142449910885516,0.148643628308919,0.269725684469232,33
2015,"Constraint",-0.548838111504356,0.41062487580155,0.0336880044967247,33
2015,"No Constraint",-0.0912156573956765,0.118246124304919,0.360206442527934,33
2016,"Constraint",-0.46936852800542,0.286818816430647,0.179615240170798,33
2016,"No Constraint",-0.216157501540505,0.0888887488874328,0.429391376410538,33
2014,"Constraint",-0.305120847557238,0.323366544772824,0.248013037142909,34
2014,"No Constraint",0.00177672821306633,0.0390119074687256,0.749292409794408,34
2015,"Constraint",-0.186533707165783,0.216387665589924,0.714391137043837,34
2015,"No Constraint",-0.00525243999164918,0.0378568851920631,0.975952147213809,34
2016,"Constraint",-0.329077451548444,0.336401240026288,0.391096474261469,34
2016,"No Constraint",0.00755416373257753,0.0385631526511588,0.907922316069792,34
2014,"Constraint",-0.316800289129862,0.303500940189338,0.404955288010736,35
2014,"No Constraint",-0.0350170703005158,0.108055067492696,0.736425256947252,35
2015,"Constraint",0.0585470904609744,0.106116982653528,0.829928534666885,35
2015,"No Constraint",0.0669958909684725,0.10855738165535,0.87786993501387,35
2016,"Constraint",-0.298257925252936,0.295031216420613,0.644301892477192,35
