"ban_year","type","att","mape","r_sq","i"
2014,"Constraint",0.0367225133686171,0.0449007205475983,0.92452003479117,1
2014,"No Constraint",0.0367225133686171,0.0449007205475983,0.92452003479117,1
2015,"Constraint",0.027119204260516,0.051018074806859,0.919711898291849,1
2015,"No Constraint",0.027119204260516,0.051018074806859,0.919711898291849,1
2016,"Constraint",0.0146846333688746,0.038507134184986,0.843516544630775,1
2016,"No Constraint",0.0146846333688746,0.038507134184986,0.843516544630775,1
2014,"Constraint",0.012619265207254,0.0190103714838323,0.734589028997367,2
2014,"No Constraint",0.012619265207254,0.0190103714838323,0.734589028997367,2
2015,"Constraint",0.0120046757458157,0.023839178542511,0.95768208201426,2
2015,"No Constraint",0.01042951484348,0.024219827648305,0.997791824356487,2
2016,"Constraint",0.00357002243822732,0.0197425936563752,0.817607643585526,2
2016,"No Constraint",0.0163432860488196,0.0241989937597042,0.84092797860483,2
2014,"Constraint",-0.0712004868907808,0.0324434538757915,0.884481805794332,3
2014,"No Constraint",-0.0712004868907808,0.0324434538757915,0.884481805794332,3
2015,"Constraint",-0.0896097850732622,0.0333340754638996,0.913812772024172,3
2015,"No Constraint",-0.0913315564351824,0.0364153046902688,0.9153273514203,3
2016,"Constraint",-0.101040353202856,0.0223862203026469,0.932842397029121,3
2016,"No Constraint",-0.100218244578135,0.0222333432309179,0.937995864706886,3
2014,"Constraint",0.0272854031698389,0.0212329788018857,0.877524206057947,4
2014,"No Constraint",0.0272854031698389,0.0212329788018857,0.877524206057947,4
2015,"Constraint",0.025718675510422,0.0174641535036868,0.919753877297635,4
2015,"No Constraint",0.0264797181957007,0.0164030663981945,0.924664958715826,4
2016,"Constraint",0.0305966530351121,0.0132414558015029,0.938735738097417,4
2016,"No Constraint",0.0323860263066304,0.0129507645267582,0.953486918928162,4
2014,"Constraint",-0.0130973771214417,0.0303156689466896,0.888472697185324,5
2014,"No Constraint",-0.0130973771214417,0.0303156689466896,0.888472697185324,5
2015,"Constraint",-0.0206419327325198,0.0188156380174017,0.901572292066141,5
2015,"No Constraint",-0.0206419327325198,0.0188156380174017,0.901572292066141,5
2016,"Constraint",-0.0359292457600522,0.0155323563077939,0.921240633270267,5
2016,"No Constraint",-0.0243034312467449,0.0202317466585662,0.933471526739951,5
2014,"Constraint",-0.0189238029400363,0.0205723479109963,0.965605123964443,6
2014,"No Constraint",-0.0189238029400363,0.0205723479109963,0.965605123964443,6
2015,"Constraint",-0.0295120264750161,0.0311529712664232,0.951121477749929,6
2015,"No Constraint",-0.03182270093629,0.0332930698366522,0.95880082296425,6
2016,"Constraint",-0.0404138798236119,0.0313621652546307,0.959897925792821,6
2016,"No Constraint",-0.0394932171056264,0.0313089665577779,0.976598084614783,6
2014,"Constraint",0.00438214673565065,0.0347129952472052,0.86379969417792,7
2014,"No Constraint",0.00438214673565065,0.0347129952472052,0.86379969417792,7
2015,"Constraint",-0.00700449642725727,0.0323721124456753,0.945339679647744,7
2015,"No Constraint",-0.00702085878323463,0.0322142676474874,0.945589842699409,7
2016,"Constraint",-0.0182277270172338,0.0253096082876043,0.958696918342157,7
2016,"No Constraint",-0.0182157487926623,0.0253084289156831,0.960318882071544,7
2014,"Constraint",-0.0375114569629871,0.0313328062572147,0.927198988424711,8
2014,"No Constraint",-0.0375114569629871,0.0313328062572147,0.927198988424711,8
2015,"Constraint",-0.0477825184091041,0.0419843226383735,0.969245806338451,8
2015,"No Constraint",-0.0508705979116341,0.045027663515907,0.972264233186247,8
2016,"Constraint",-0.0443585066969484,0.0313945316545945,0.887501172851427,8
2016,"No Constraint",-0.0452152390259097,0.0316308448605653,0.891072114572032,8
2014,"Constraint",-0.0459627310672199,0.0345949759391189,0.989644643310167,9
2014,"No Constraint",-0.045495772695575,0.0348082024153772,0.989728143450337,9
2015,"Constraint",-0.0287194684335089,0.0376596406349618,0.972501388019219,9
2015,"No Constraint",-0.0256437586854742,0.037455980966386,0.972760861258956,9
2016,"Constraint",-0.0451180671929538,0.0265664950465149,0.93830688193306,9
2016,"No Constraint",-0.0338132147667632,0.031289735910938,0.948706905762182,9
2014,"Constraint",-0.00824912729819598,0.0143325389183401,0.992364136395197,10
2014,"No Constraint",-0.0166467797342284,0.0129461037087783,0.997787216392454,10
2015,"Constraint",-0.0236858501422193,0.0245694786739877,0.986314147893229,10
2015,"No Constraint",-0.021683593413429,0.0209763532222676,0.99754937435251,10
2016,"Constraint",-0.0228510271352972,0.0331211073428589,0.932121618840169,10
2016,"No Constraint",-0.0201350544936648,0.0200082112008751,0.995832582499334,10
2014,"Constraint",-0.0414557554126748,0.0337775233673199,0.745801914073269,11
2014,"No Constraint",-0.04098879704103,0.0339907498435782,0.745885414213439,11
2015,"Constraint",-0.0450319594128392,0.0221056528864954,0.944806725888576,11
2015,"No Constraint",-0.0421365776821616,0.022921439401714,0.973463872023697,11
2016,"Constraint",-0.0502617100083997,0.0183216834694407,0.824099072412465,11
2016,"No Constraint",-0.0490463232379503,0.0170755584136873,0.826236790373266,11
2014,"Constraint",0.001816735709971,0.0231216664479935,0.994832068101793,12
2014,"No Constraint",0.001816735709971,0.0231216664479935,0.994832068101793,12
2015,"Constraint",-0.0158700507021319,0.0202762630348423,0.962606220551215,12
2015,"No Constraint",-0.0138342457961895,0.0169028197912446,0.973625371248879,12
2016,"Constraint",-0.0351642839157222,0.0191841749416101,0.960380391165956,12
2016,"No Constraint",-0.0203265987032224,0.0201141581800715,0.976521387838316,12
2014,"Constraint",0.000552400738146827,0.0129441629955824,0.990167379088937,13
2014,"No Constraint",0.000552400738146827,0.0129441629955824,0.990167379088937,13
2015,"Constraint",-0.00656050589606538,0.0273458392182555,0.979843606246749,13
2015,"No Constraint",-0.00243089834138651,0.0227295150098788,0.99448606667255,13
2016,"Constraint",-0.00398000365375779,0.0242120226861764,0.96828813311297,13
2016,"No Constraint",0.000809448444865486,0.0210838923132125,0.984439561493104,13
2014,"Constraint",0.0320524765579501,0.0295914089924016,0.99245086633233,14
2014,"No Constraint",0.0236548241219176,0.0282049737828399,0.997873946329587,14
2015,"Constraint",0.0288967320488008,0.0269559754983255,0.993380341051551,14
2015,"No Constraint",0.0280963316579992,0.0256667638830813,0.994353763846595,14
2016,"Constraint",0.0379589689996235,0.0273887618226485,0.927499410465026,14
2016,"No Constraint",0.037896408198225,0.0208074404923743,0.996415422684248,14
2014,"Constraint",0.0059776788910955,0.0305405297312979,0.888597786733503,15
2014,"No Constraint",0.0059776788910955,0.0305405297312979,0.888597786733503,15
2015,"Constraint",-0.00665324473033648,0.0342870391058523,0.944177847175736,15
2015,"No Constraint",-0.00610369933650559,0.032877871041256,0.943897585570777,15
2016,"Constraint",-0.0223865443134554,0.0218689709505841,0.953458395146299,15
2016,"No Constraint",-0.0098858491149473,0.0258121982520187,0.965776774259631,15
2014,"Constraint",-0.00193117894558451,0.0240401619983911,0.994478549747408,16
2014,"No Constraint",-0.00193117894558451,0.0240401619983911,0.994478549747408,16
2015,"Constraint",-0.00276423381490978,0.0238877147884508,0.989734875693926,16
2015,"No Constraint",-0.00143147385145204,0.0237059209291641,0.988447104003872,16
2016,"Constraint",0.010294410174161,0.0208816230615941,0.981955332398434,16
2016,"No Constraint",-0.000648204430223027,0.0202933445464166,0.979322945072012,16
2014,"Constraint",0.00909260201657508,0.0230981521049455,0.984641625392442,17
2014,"No Constraint",0.00955956038821996,0.0233113785812039,0.984725125532612,17
2015,"Constraint",0.0301245045484197,0.0282471685789176,0.963293378102629,17
2015,"No Constraint",0.0318053814114757,0.0274047118323415,0.975264920789207,17
2016,"Constraint",0.0494361449242016,0.0232121935812309,0.932766901225646,17
2016,"No Constraint",0.0509045561086032,0.0229453528201368,0.945687212415828,17
2014,"Constraint",-0.0348609184201851,0.0155448077516848,0.740284009192897,18
2014,"No Constraint",-0.0348609184201851,0.0155448077516848,0.740284009192897,18
2015,"Constraint",-0.0400537150416812,0.0221023481511027,0.95110924253958,18
2015,"No Constraint",-0.0412699552996484,0.0229495367670206,0.993294329928761,18
2016,"Constraint",-0.0425982789075776,0.0183520246181809,0.844496701286465,18
2016,"No Constraint",-0.0408285813581339,0.016018534112214,0.851879803800681,18
2014,"Constraint",0.0461836323760635,0.0265140429490507,0.973539958297794,19
2014,"No Constraint",0.0461836323760635,0.0265140429490507,0.973539958297794,19
2015,"Constraint",0.0517354150107594,0.0134897919041876,0.967172883948752,19
2015,"No Constraint",0.0524964576960381,0.0124287047986952,0.972083965366942,19
2016,"Constraint",0.0786832595135901,0.0156320255953457,0.962123005334682,19
2016,"No Constraint",0.0682054611952458,0.0150910633607357,0.972783066890927,19
2014,"Constraint",-0.00619256994751313,0.0268173176838696,0.948136451362004,20
2014,"No Constraint",-0.00619256994751313,0.0268173176838696,0.948136451362004,20
2015,"Constraint",-0.0133557160390567,0.0336251071271388,0.953867191722133,20
2015,"No Constraint",-0.0133892642162087,0.0334054249190164,0.954083267483749,20
2016,"Constraint",-0.00723131427216793,0.0267003620221858,0.872062723341891,20
2016,"No Constraint",-0.00758559824037115,0.0267515447445734,0.871938929332808,20
2014,"Constraint",-0.0143667997005466,0.0232918922216779,0.970865116156243,21
2014,"No Constraint",-0.022764452136579,0.0219054570121162,0.976288196153501,21
2015,"Constraint",-0.0260991972274177,0.0226392281325256,0.969584116258902,21
2015,"No Constraint",-0.0291709143739703,0.0258404138082469,0.972352380055033,21
2016,"Constraint",-0.0157593448386191,0.0291792111940583,0.906009621520804,21
2016,"No Constraint",-0.0155542827110595,0.0187759069641365,0.970020971938395,21
2014,"Constraint",0.0335822255204349,0.0223273522371022,0.96552600460911,22
2014,"No Constraint",0.0251845730844024,0.0209409170275405,0.970949084606368,22
2015,"Constraint",0.0190789107236273,0.0289249069030126,0.958290191009551,22
2015,"No Constraint",0.0198399534089061,0.0278638197975202,0.963201272427741,22
2016,"Constraint",0.00929299960008865,0.0374009293950562,0.908685097591483,22
2016,"No Constraint",0.0115142213784661,0.026517142339799,0.981836911567477,22
