"sample_size","ban_year","att","mape","r_sq","i","treated_state"
3,2016,-0.013243316495772,0.00731088070600592,0.699972925240447,1,"CA"
4,2016,-0.0220803235233177,0.00801255685999181,0.708176344187159,1,"CA"
5,2016,-0.0233277285328509,0.00848683885998474,0.710664775356843,1,"CA"
6,2016,-0.0271290732615098,0.00844067552937711,0.712931047452756,1,"CA"
7,2016,-0.0326441764238499,0.00703896479631512,0.745032096320123,1,"CA"
8,2016,-0.0357094379221283,0.00556955454808566,0.779552184496223,1,"CA"
9,2016,-0.0382610372809156,0.00401898963802455,0.815173370851517,1,"CA"
10,2016,-0.0376063724819456,0.00383221894926941,0.823432569307681,1,"CA"
3,2016,-0.00712850620659921,0.0200392283942584,0.78471567489318,2,"CA"
4,2016,-0.0105588171972004,0.0215738169001134,0.769845537839908,2,"CA"
5,2016,-0.0121571912614385,0.0230606873982154,0.759545592952864,2,"CA"
6,2016,-0.0139319155104311,0.0241548581275451,0.765142037006501,2,"CA"
7,2016,-0.0175578963364447,0.0243848462790281,0.797739992135176,2,"CA"
8,2016,-0.0192234552823253,0.0244130239563815,0.835447405602766,2,"CA"
9,2016,-0.020085266391895,0.0244387900818412,0.878602668907933,2,"CA"
10,2016,-0.017845789686869,0.0249107568438754,0.891072221476538,2,"CA"
3,2016,-0.00955140588490108,0.0101801470795912,0.736160552878997,3,"CA"
4,2016,-0.0197940023624602,0.00849695377995101,0.763489087499496,3,"CA"
5,2016,-0.0214866268394062,0.00779966538127632,0.783061624897981,3,"CA"
6,2016,-0.0229233824657264,0.00799727223991526,0.797769673047612,3,"CA"
7,2016,-0.0212713517480731,0.00786854900698519,0.80122318317946,3,"CA"
8,2016,-0.0208662543673504,0.00815803725469572,0.802364386179145,3,"CA"
9,2016,-0.0195697793301887,0.00831228047341893,0.808844505258818,3,"CA"
10,2016,-0.0199483251241051,0.00854479620819401,0.809295792762064,3,"CA"
3,2016,0.00323486769097212,0.0158155744968461,0.828329505653921,5,"CA"
4,2016,0.00939291796117779,0.0147908118180875,0.866897153508888,5,"CA"
5,2016,0.0115718265124399,0.0143979134985001,0.87582005357283,5,"CA"
6,2016,0.0139731748768491,0.015667068379927,0.876531875071874,5,"CA"
7,2016,0.0144238689194877,0.0163787587436029,0.887323652742242,5,"CA"
8,2016,0.0169219682302796,0.0173670796055125,0.886950507467441,5,"CA"
9,2016,0.0180689739341052,0.0182648909034865,0.885441016254901,5,"CA"
10,2016,0.0192125579722179,0.0191328779937691,0.888695259555478,5,"CA"
3,2016,0.00783041132200075,0.0109640815576389,0.65332486725927,6,"CA"
4,2016,0.0030453517383285,0.0120607154441143,0.664380974291398,6,"CA"
5,2016,0.00445011220476167,0.0130202761574497,0.66496170212729,6,"CA"
6,2016,0.00389041382272004,0.0134904676799735,0.665879004617829,6,"CA"
7,2016,0.000796645077483674,0.0125570191765939,0.694022513709798,6,"CA"
8,2016,-0.000196472281965585,0.0116870585485444,0.722459083638609,6,"CA"
9,2016,-0.00207867044344075,0.010705822710124,0.75752740491823,6,"CA"
10,2016,-0.00297480860054382,0.0108042004479841,0.763807199700111,6,"CA"
3,2016,-0.0309842326452189,0.00631941919784899,0.777068968284205,7,"CA"
4,2016,-0.0521365256950656,0.00608513170607724,0.797021695151489,7,"CA"
5,2016,-0.0560627734149924,0.00566350670282016,0.812667705218323,7,"CA"
6,2016,-0.0576152514227503,0.00562323226782552,0.819384094865174,7,"CA"
7,2016,-0.0579540981715832,0.00554030216792753,0.823546180514722,7,"CA"
8,2016,-0.058558110634551,0.00553175177705879,0.82693341481676,7,"CA"
9,2016,-0.0585552840327337,0.00571310889746426,0.827705626456111,7,"CA"
10,2016,-0.0584647082732876,0.00595858401554652,0.827431209665034,7,"CA"
3,2016,-0.0131283124965443,0.00782173424059996,0.886838937594688,8,"CA"
4,2016,-0.00962232723523544,0.00770361781715066,0.901977391588945,8,"CA"
5,2016,-0.00896750504198507,0.00821237610174543,0.912359284169365,8,"CA"
6,2016,-0.0109337987485634,0.00942672495542488,0.91770454999575,8,"CA"
7,2016,-0.0121518479063854,0.0105130753533137,0.921968149680055,8,"CA"
8,2016,-0.012879121457719,0.0112317640721178,0.923028658454864,8,"CA"
9,2016,-0.0123241563118864,0.0121802496658122,0.918164614557082,8,"CA"
10,2016,-0.0103695504451068,0.0131237411721788,0.914708389458628,8,"CA"
3,2016,-0.0187526125354378,0.0123458178645754,0.659880359510579,9,"CA"
4,2016,-0.0267051655439541,0.0119174004035262,0.667475419401348,9,"CA"
5,2016,-0.0306926718065909,0.0123760535881618,0.685721298597428,9,"CA"
6,2016,-0.0347108334757043,0.0125465914330926,0.691419205291481,9,"CA"
7,2016,-0.0408317322786787,0.0110841892780076,0.739042295674239,9,"CA"
8,2016,-0.0442599840753836,0.00978963515845665,0.785516406355124,9,"CA"
9,2016,-0.0512148998740827,0.00791411773180405,0.847892324161824,9,"CA"
10,2016,-0.0518749759798724,0.00767984452848783,0.869483915404929,9,"CA"
3,2016,0.0181645560206984,0.0125147008024567,0.688208913185277,10,"CA"
4,2016,0.00847497915175269,0.012904857596953,0.733451383213625,10,"CA"
5,2016,0.00892698942535167,0.013048747948001,0.752146613726787,10,"CA"
6,2016,0.00721212346167965,0.0135979372166699,0.776550378524198,10,"CA"
