sample_size,ban_year,att_min,att_max,att_median,specification,year,treated_state
1,2014,-0.172095459,0.261386208,0.002095589,County,2014,VT
2,2014,-0.171728316,0.244517808,-0.006576234,County,2014,VT
3,2014,-0.182781478,0.22266496,-0.009118784,County,2014,VT
4,2014,-0.188840131,0.223263435,-0.011380374,County,2014,VT
5,2014,-0.197392619,0.22468398,-0.011243676,County,2014,VT
6,2014,-0.191564296,0.233793262,-0.016041501,County,2014,VT
7,2014,-0.199102009,0.224771996,-0.011968088,County,2014,VT
8,2014,-0.197456639,0.224388035,-0.011868057,County,2014,VT
9,2014,-0.198071076,0.22361231,-0.014508619,County,2014,VT
10,2014,-0.197530568,0.241228837,-0.010231021,County,2014,VT
1,2014,-0.055819528,0.058448681,0.000104772,County Pooled State,2014,VT
2,2014,-0.059571838,0.068029418,-0.006034694,County Pooled State,2014,VT
3,2014,-0.064439817,0.066710313,-0.004374024,County Pooled State,2014,VT
4,2014,-0.066809313,0.06427653,-0.007916072,County Pooled State,2014,VT
5,2014,-0.065969515,0.05988265,-0.014016876,County Pooled State,2014,VT
6,2014,-0.06816656,0.064489954,-0.013272999,County Pooled State,2014,VT
7,2014,-0.067768435,0.059974488,-0.012297259,County Pooled State,2014,VT
8,2014,-0.067005426,0.059750953,-0.01109358,County Pooled State,2014,VT
9,2014,-0.067587902,0.062743817,-0.012120067,County Pooled State,2014,VT
10,2014,-0.068965735,0.063518221,-0.009789116,County Pooled State,2014,VT
1,2014,-0.174170902,0.277108769,0.00212839,County,2014,MA
2,2014,-0.172206808,0.24695929,-0.00603324,County,2014,MA
3,2014,-0.182681529,0.239349599,-0.012803386,County,2014,MA
4,2014,-0.182141454,0.260731888,-0.014389688,County,2014,MA
5,2014,-0.192874833,0.252857849,-0.014895007,County,2014,MA
6,2014,-0.197821505,0.245402484,-0.011833516,County,2014,MA
7,2014,-0.189853706,0.243402903,-0.013362478,County,2014,MA
8,2014,-0.193695358,0.24502638,-0.017099235,County,2014,MA
9,2014,-0.193268624,0.236364547,-0.016315136,County,2014,MA
10,2014,-0.192791364,0.247034015,-0.016754349,County,2014,MA
1,2014,-0.0585477,0.071577186,-0.001246515,County Pooled State,2014,MA
