"attempt","att2","mape","treated_location","treated_state_2"
1,0.227622716840474,0.022901608311133,"AL","MA"
2,0.227622716840474,0.022901608311133,"AL","MA"
3,0.227622716840474,0.022901608311133,"AL","MA"
4,0.227622716840474,0.022901608311133,"AL","MA"
5,0.227622716840474,0.022901608311133,"AL","MA"
6,0.227622716840474,0.022901608311133,"AL","MA"
7,0.227622716840474,0.022901608311133,"AL","MA"
8,0.227622716840474,0.022901608311133,"AL","MA"
9,0.227622716840474,0.022901608311133,"AL","MA"
10,0.227622716840474,0.022901608311133,"AL","MA"
11,0.227622716840474,0.022901608311133,"AL","MA"
12,0.227622716840474,0.022901608311133,"AL","MA"
13,0.227622716840474,0.022901608311133,"AL","MA"
14,0.227622716840474,0.022901608311133,"AL","MA"
15,0.227622716840474,0.022901608311133,"AL","MA"
16,0.227622716840474,0.022901608311133,"AL","MA"
17,0.227622716840474,0.022901608311133,"AL","MA"
18,0.184828441096682,0.0400691160592177,"AL","MA"
19,0.184828441096682,0.0400691160592177,"AL","MA"
20,0.184828441096682,0.0400691160592177,"AL","MA"
21,0.184828441096682,0.0400691160592177,"AL","MA"
22,0.184828441096682,0.0400691160592177,"AL","MA"
23,0.184828441096682,0.0400691160592177,"AL","MA"
24,0.184828441096682,0.0400691160592177,"AL","MA"
25,0.184828441096682,0.0400691160592177,"AL","MA"
26,0.184828441096682,0.0400691160592177,"AL","MA"
27,0.155290080971403,0.0501810412077314,"AL","MA"
28,0.155290080971403,0.0501810412077314,"AL","MA"
29,0.155290080971403,0.0501810412077314,"AL","MA"
30,0.155290080971403,0.0501810412077314,"AL","MA"
31,0.155290080971403,0.0501810412077314,"AL","MA"
32,0.155290080971403,0.0501810412077314,"AL","MA"
33,0.155290080971403,0.0501810412077314,"AL","MA"
34,0.254050967342773,0.0501875485496513,"AL","MA"
35,0.254050967342773,0.0501875485496513,"AL","MA"
36,0.254050967342773,0.0501875485496513,"AL","MA"
37,0.254050967342773,0.0501875485496513,"AL","MA"
38,0.254050967342773,0.0501875485496513,"AL","MA"
39,0.254050967342773,0.0501875485496513,"AL","MA"
40,0.0689758902376686,0.0514789287705834,"AL","MA"
41,0.0689758902376686,0.0514789287705834,"AL","MA"
42,0.0689758902376686,0.0514789287705834,"AL","MA"
43,0.0689758902376686,0.0514789287705834,"AL","MA"
44,0.0689758902376686,0.0514789287705834,"AL","MA"
45,0.0689758902376686,0.0514789287705834,"AL","MA"
46,0.245795005403811,0.0541903757827775,"AL","MA"
47,0.245795005403811,0.0541903757827775,"AL","MA"
48,0.245795005403811,0.0541903757827775,"AL","MA"
49,0.245795005403811,0.0541903757827775,"AL","MA"
50,0.245795005403811,0.0541903757827775,"AL","MA"
1,-0.0250767946469537,0.0131548399585547,"AZ","MA"
2,-0.0250767946469537,0.0131548399585547,"AZ","MA"
3,-0.0250767946469537,0.0131548399585547,"AZ","MA"
4,-0.0250767946469537,0.0131548399585547,"AZ","MA"
5,-0.0250767946469537,0.0131548399585547,"AZ","MA"
6,-0.0250767946469537,0.0131548399585547,"AZ","MA"
7,-0.0250767946469537,0.0131548399585547,"AZ","MA"
8,-0.0250767946469537,0.0131548399585547,"AZ","MA"
9,-0.0250767946469537,0.0131548399585547,"AZ","MA"
10,-0.0250767946469537,0.0131548399585547,"AZ","MA"
11,-0.0250767946469537,0.0131548399585547,"AZ","MA"
12,-0.0250767946469537,0.0131548399585547,"AZ","MA"
13,-0.0250767946469537,0.0131548399585547,"AZ","MA"
14,-0.0250767946469537,0.0131548399585547,"AZ","MA"
15,-0.0250767946469537,0.0131548399585547,"AZ","MA"
16,-0.0250767946469537,0.0131548399585547,"AZ","MA"
17,-0.0250767946469537,0.0131548399585547,"AZ","MA"
18,-0.0250767946469537,0.0131548399585547,"AZ","MA"
19,-0.0250767946469537,0.0131548399585547,"AZ","MA"
20,-0.0545408622074587,0.0147080701727068,"AZ","MA"
21,-0.0545408622074587,0.0147080701727068,"AZ","MA"
22,-0.0545408622074587,0.0147080701727068,"AZ","MA"
23,-0.0545408622074587,0.0147080701727068,"AZ","MA"
24,-0.0545408622074587,0.0147080701727068,"AZ","MA"
25,-0.0545408622074587,0.0147080701727068,"AZ","MA"
26,-0.0545408622074587,0.0147080701727068,"AZ","MA"
27,-0.0545408622074587,0.0147080701727068,"AZ","MA"
28,-0.0545408622074587,0.0147080701727068,"AZ","MA"
29,-0.0545408622074587,0.0147080701727068,"AZ","MA"
30,-0.0545408622074587,0.0147080701727068,"AZ","MA"
