"sample_size","ban_year","att_min","att_max","att_median","specification","year","treated_state"
3,2014,-0.0712862804924394,0.0428319114213654,-0.00986199000301667,"State",2014,"MA"
4,2014,-0.0579994502656611,0.0366133752161,-0.00966256387871609,"State",2014,"MA"
5,2014,-0.057264365488424,0.0380090194470448,-0.00894554249522703,"State",2014,"MA"
6,2014,-0.0558032449806734,0.0449762628550309,-0.00775220034469844,"State",2014,"MA"
7,2014,-0.0487743298416025,0.0393925769169242,-0.00436270194019866,"State",2014,"MA"
8,2014,-0.0568485118131484,0.0540098663705511,-0.00603183954751347,"State",2014,"MA"
9,2014,-0.0541458813931345,0.0438833226372859,-0.00611888363313671,"State",2014,"MA"
10,2014,-0.0572103193878858,0.0466138983528111,-0.00442151369216447,"State",2014,"MA"
3,2014,-0.0347664347471606,0.022812568973003,0.00442250554957458,"State Pooled",2014,"MA"
4,2014,-0.0361927038311738,0.0191292252255921,0.00249401996530056,"State Pooled",2014,"MA"
5,2014,-0.035169689746227,0.0210937978031272,0.00399275490738871,"State Pooled",2014,"MA"
6,2014,-0.0348531520950113,0.0197260735832202,0.0031443097137948,"State Pooled",2014,"MA"
7,2014,-0.0351021913478994,0.0196620901154307,0.00295338370001297,"State Pooled",2014,"MA"
8,2014,-0.0341928197163839,0.0192725784767508,0.00286543545366685,"State Pooled",2014,"MA"
9,2014,-0.0340654353753075,0.0191413270313631,0.00258543665180437,"State Pooled",2014,"MA"
10,2014,-0.0343021837547414,0.019681708797183,0.0024398767843341,"State Pooled",2014,"MA"
3,2016,-0.0684364928625002,0.0458966870946625,-0.00640770411101388,"State",2016,"CA"
4,2016,-0.0432126953673892,0.0420156289233264,-0.00180874962882404,"State",2016,"CA"
5,2016,-0.063473488529975,0.0577466829817252,-0.00866827400706409,"State",2016,"CA"
6,2016,-0.0943591631400639,0.0773119102741465,-0.00743534096222699,"State",2016,"CA"
7,2016,-0.101409447275827,0.0654371906016494,-0.0074150304060014,"State",2016,"CA"
8,2016,-0.0997312204868238,0.0793357595482256,-0.0123155349924127,"State",2016,"CA"
9,2016,-0.0890158419909108,0.0818346169362063,-0.00599888078763752,"State",2016,"CA"
10,2016,-0.0886967523700811,0.0855347084409497,-0.00652952590807118,"State",2016,"CA"
3,2016,-0.0489588818589718,0.0270063163395357,-0.0052829360254646,"State Pooled",2016,"CA"
4,2016,-0.0573648063625876,0.0267880036942135,-0.0108718158657192,"State Pooled",2016,"CA"
5,2016,-0.0641583592822027,0.0303164034266324,-0.0140081972309348,"State Pooled",2016,"CA"
6,2016,-0.0659700920803637,0.0340846391473018,-0.0130396361790068,"State Pooled",2016,"CA"
7,2016,-0.0654244264455664,0.0347945015176655,-0.0122291921468927,"State Pooled",2016,"CA"
8,2016,-0.0650362728522298,0.0349114753241342,-0.0115764558582572,"State Pooled",2016,"CA"
9,2016,-0.0634987151551225,0.0371643628210593,-0.00940767756415909,"State Pooled",2016,"CA"
10,2016,-0.0645378877041735,0.0375334238524788,-0.00786164481188305,"State Pooled",2016,"CA"
3,2014,-0.0679130827484959,0.0503321404205773,-0.0045664970105277,"State",2014,"CT"
4,2014,-0.0758740728728649,0.0601419848488648,-0.00952889234482735,"State",2014,"CT"
5,2014,-0.0692708811416704,0.0553467660875197,-0.00956603810594362,"State",2014,"CT"
6,2014,-0.0537568219024903,0.0496120793218468,-0.00491833989368119,"State",2014,"CT"
7,2014,-0.0658936197130339,0.0655288879931911,-0.00697202908154569,"State",2014,"CT"
8,2014,-0.059841138046967,0.0405417560895154,-0.00825871522451873,"State",2014,"CT"
9,2014,-0.0691241059270035,0.0631660273554718,-0.00560645436892551,"State",2014,"CT"
10,2014,-0.0686625541309458,0.0572928733082876,-0.00618352561567425,"State",2014,"CT"
3,2014,-0.0449961431358718,0.0242147591941523,0.00276733161188983,"State Pooled",2014,"CT"
4,2014,-0.0459993565112727,0.0224592668014459,0.000614631430893744,"State Pooled",2014,"CT"
5,2014,-0.0435962579152478,0.0228863718649628,0.00113983682344904,"State Pooled",2014,"CT"
6,2014,-0.0446707657345768,0.0227399568802256,0.000281212787543929,"State Pooled",2014,"CT"
7,2014,-0.0442287559172077,0.0239626855450382,-0.00132391570626896,"State Pooled",2014,"CT"
8,2014,-0.0449089867345375,0.0235510724981481,-0.00246469998370987,"State Pooled",2014,"CT"
9,2014,-0.0442318449718397,0.0240751559369165,-0.00153188194700971,"State Pooled",2014,"CT"
10,2014,-0.0437186101518236,0.0249116830984334,-0.00206642881085869,"State Pooled",2014,"CT"
3,2016,-0.0667501486447083,0.0440589050657664,0.00164893678981807,"State",2016,"RI"
4,2016,-0.148933013271151,0.0601395962363861,-0.0230364096470991,"State",2016,"RI"
5,2016,-0.128036785676286,0.0714931650602158,-0.0140801582068388,"State",2016,"RI"
6,2016,-0.0908628560300907,0.0763547499848875,-0.0142298122558066,"State",2016,"RI"
7,2016,-0.104216322362721,0.0854119747811625,-0.00412433040576434,"State",2016,"RI"
8,2016,-0.104029771438734,0.0945866849825163,-0.00976961323766427,"State",2016,"RI"
9,2016,-0.0971626617480546,0.0994282015838376,-0.00702273512147809,"State",2016,"RI"
10,2016,-0.0914207485156187,0.0982081386970239,-0.00525696282391378,"State",2016,"RI"
3,2016,-0.0473841184487078,0.0246018600922837,-0.0103036778173692,"State Pooled",2016,"RI"
4,2016,-0.0591702810964969,0.0255488941999699,-0.012738616413336,"State Pooled",2016,"RI"
5,2016,-0.0697990647558511,0.0335542494529565,-0.0175620657789409,"State Pooled",2016,"RI"
6,2016,-0.0715348860399308,0.0365016519213127,-0.0157508779822203,"State Pooled",2016,"RI"
7,2016,-0.0713953858163339,0.0366397122872285,-0.0133662612480818,"State Pooled",2016,"RI"
8,2016,-0.0690506841712935,0.0378049020947815,-0.0109822754205699,"State Pooled",2016,"RI"
9,2016,-0.0686895081710689,0.0392373640149064,-0.0102047038612498,"State Pooled",2016,"RI"
10,2016,-0.0692625812300252,0.0416318758153957,-0.0099695151095215,"State Pooled",2016,"RI"
3,2014,-0.0659936805494317,0.0464124861231824,-0.0057273711207856,"State",2014,"VT"
4,2014,-0.0832356153388381,0.0371827420325346,-0.00935642658449702,"State",2014,"VT"
5,2014,-0.0633145816553771,0.042121871133648,-0.00821769859518052,"State",2014,"VT"
6,2014,-0.0553907302511461,0.0407005448038245,-0.00562868283153014,"State",2014,"VT"
7,2014,-0.043203572826565,0.0418849704719109,-0.000456183492324119,"State",2014,"VT"
8,2014,-0.0592532133426001,0.0449948033600419,-0.00639019161550132,"State",2014,"VT"
9,2014,-0.0595497052146693,0.045940110907793,-0.00470291157932881,"State",2014,"VT"
10,2014,-0.0532613039809033,0.0509069564422034,-0.00346415780930571,"State",2014,"VT"
3,2014,-0.0377382883324358,0.0229149938636458,0.00364282864928204,"State Pooled",2014,"VT"
4,2014,-0.0382187677192994,0.0214252846284416,0.0029743202934478,"State Pooled",2014,"VT"
5,2014,-0.0383462351086186,0.021574083960763,0.00205287670236293,"State Pooled",2014,"VT"
6,2014,-0.0377794960610559,0.0206311919170256,0.00180053692567967,"State Pooled",2014,"VT"
