"sample_size","ban_year","att_min","att_max","att_median","specification","year","treated_state"
3,2013,-0.0491746677129373,0.0546220717454279,0.000480758699575363,"State",2013,"MA"
4,2013,-0.0500945191241839,0.0574908716056995,-0.00680169052776908,"State",2013,"MA"
5,2013,-0.0527023310524355,0.0575243926441918,-0.0131190886009961,"State",2013,"MA"
6,2013,-0.0531523309776774,0.0589235247128082,-0.0129008231789403,"State",2013,"MA"
7,2013,-0.0544348725726176,0.063062977961713,-0.0133078996993125,"State",2013,"MA"
8,2013,-0.054766052771255,0.0650199246825491,-0.0115993409446598,"State",2013,"MA"
9,2013,-0.0364434422653217,0.0644871618724162,-0.00451944056206079,"State",2013,"MA"
10,2013,-0.038117242426148,0.0660706080802213,-0.00758202714816295,"State",2013,"MA"
3,2013,-0.017074837155583,0.0193265975500753,-0.000250671144708289,"State Pooled",2013,"MA"
4,2013,-0.0170751405944792,0.018632754352839,-0.000555645895453997,"State Pooled",2013,"MA"
5,2013,-0.0157588461731472,0.0175665271028881,-0.00174253679606984,"State Pooled",2013,"MA"
6,2013,-0.0148343559361869,0.0231210607211581,0.00444690901392715,"State Pooled",2013,"MA"
7,2013,-0.0156659584811234,0.0232749016903425,0.00457316173968691,"State Pooled",2013,"MA"
8,2013,-0.0160568742426167,0.0228508638095795,0.00486751014922656,"State Pooled",2013,"MA"
9,2013,-0.0163120179031472,0.0233553266809331,0.00466741815558462,"State Pooled",2013,"MA"
10,2013,-0.0161897052254556,0.0242013009934014,0.0041601496225333,"State Pooled",2013,"MA"
3,2014,-0.0567414176378855,0.0612254135917707,-0.010322091800299,"State",2014,"CA"
4,2014,-0.0603125560564852,0.0527113482331538,-0.0110539176693357,"State",2014,"CA"
5,2014,-0.0571439934926675,0.0556882805844914,-0.00783365496922523,"State",2014,"CA"
6,2014,-0.0566550342720952,0.0541165601292112,-0.0103127413703112,"State",2014,"CA"
7,2014,-0.0566578111158487,0.0538307917997511,-0.0090042014540828,"State",2014,"CA"
8,2014,-0.0577960532786186,0.0543240527039284,-0.00781036109825949,"State",2014,"CA"
9,2014,-0.0556226679735817,0.0529328202741029,-0.00928017040495766,"State",2014,"CA"
10,2014,-0.0558132701576267,0.0491519023544803,-0.00824716634048412,"State",2014,"CA"
3,2014,-0.0447931096350477,0.0228501138853724,-0.00385586893029266,"State Pooled",2014,"CA"
4,2014,-0.0467346436245985,0.0221546203975811,-0.00510589919978457,"State Pooled",2014,"CA"
5,2014,-0.0426588016971434,0.0222883801457995,-0.00427089815866364,"State Pooled",2014,"CA"
6,2014,-0.0419134843839995,0.0219064165223401,-0.00447807698316427,"State Pooled",2014,"CA"
7,2014,-0.0417349240360748,0.0215331347884784,-0.00322396364637745,"State Pooled",2014,"CA"
8,2014,-0.0434963741907297,0.0195460864591683,-0.00406687139771975,"State Pooled",2014,"CA"
9,2014,-0.0423600914825282,0.0198035582873604,-0.00405684008570115,"State Pooled",2014,"CA"
10,2014,-0.0422609604991544,0.0194939923911893,-0.00401243077558794,"State Pooled",2014,"CA"
3,2012,-0.0444326780198534,0.0433503484852698,-0.0080406121250328,"State",2012,"VT"
4,2012,-0.0487221089792925,0.0516495791519719,-0.00940917864742201,"State",2012,"VT"
5,2012,-0.0498221581343907,0.0591067856860344,-0.00794760735604546,"State",2012,"VT"
6,2012,-0.0515179815421185,0.0644033346623269,-0.00860307721139748,"State",2012,"VT"
7,2012,-0.0523041305089783,0.0648865941910943,-0.00765879042104101,"State",2012,"VT"
8,2012,-0.051599050305395,0.0652700895044576,-0.00943602797381516,"State",2012,"VT"
9,2012,-0.0515630786796643,0.0653740467443797,-0.0110127093922482,"State",2012,"VT"
10,2012,-0.0402489027270776,0.0662020721792694,-0.00792240260537103,"State",2012,"VT"
3,2012,-0.023767125286126,0.0113089366173203,-0.00483565752221795,"State Pooled",2012,"VT"
4,2012,-0.0220320301073247,0.0115547390731094,-0.0045925782694594,"State Pooled",2012,"VT"
5,2012,-0.0231605017975664,0.012356365175729,-0.0036701292347234,"State Pooled",2012,"VT"
6,2012,-0.0225111523321143,0.0157885491641428,-0.000768202256499586,"State Pooled",2012,"VT"
7,2012,-0.0224599486558233,0.0212472756595385,-8.03396884963666e-05,"State Pooled",2012,"VT"
8,2012,-0.0227410693046737,0.0213240755510125,0.000477518220664238,"State Pooled",2012,"VT"
9,2012,-0.0219483199908885,0.0209133595756564,0.00135892302382813,"State Pooled",2012,"VT"
10,2012,-0.0219107214961559,0.0216313741544592,0.00262526044321036,"State Pooled",2012,"VT"
3,2014,-0.0666102556101647,0.0712287664995393,0.000137454615788942,"State",2014,"RI"
4,2014,-0.0613194777452481,0.0627628938350585,0.00292364139445917,"State",2014,"RI"
5,2014,-0.0635227501227882,0.0532408699687778,0.00564446013146036,"State",2014,"RI"
6,2014,-0.0606240158205778,0.058276094382569,0.00601238698739669,"State",2014,"RI"
7,2014,-0.062377524957679,0.0563683775721635,-0.00759769395086958,"State",2014,"RI"
8,2014,-0.0613569203301018,0.0513696526509626,0.00723593995935785,"State",2014,"RI"
9,2014,-0.0644691049216162,0.0538513362992181,-0.00721108698757648,"State",2014,"RI"
10,2014,-0.061420616171701,0.0543038260990034,-0.00709982348873609,"State",2014,"RI"
3,2014,-0.0360008372579441,0.0254742591290632,-0.0149617533894351,"State Pooled",2014,"RI"
4,2014,-0.0352600422190196,0.0224255681934057,-0.0142135859125485,"State Pooled",2014,"RI"
5,2014,-0.036515719466189,0.02075251151573,-0.0135443258235315,"State Pooled",2014,"RI"
6,2014,-0.0342959618811928,0.0209229773092399,-0.0105679290531035,"State Pooled",2014,"RI"
7,2014,-0.0358793882198197,0.0215452586262114,-0.0118806095972289,"State Pooled",2014,"RI"
8,2014,-0.0352242133771434,0.0217882450689691,-0.0114208436212174,"State Pooled",2014,"RI"
9,2014,-0.0348486764128018,0.0219250161537963,-0.0116303886880912,"State Pooled",2014,"RI"
