"treated_state","state_id","ban_year","sample_size","att","rsq","mape","attempt","type"
"M1","M1",2015,3,-0.191486285375139,NA,NA,1,"disposal"
"M2","M2",2016,3,-0.0419346128140362,NA,NA,1,"disposal"
"M3","M3",2009,3,-0.0969222264229148,NA,NA,1,"disposal"
"M1","M1",2015,3,-0.119955329646114,NA,NA,2,"disposal"
"M2","M2",2016,3,-0.0120693252060528,NA,NA,2,"disposal"
"M3","M3",2009,3,-0.0134581748322363,NA,NA,2,"disposal"
"M1","M1",2015,3,-0.272891569225196,NA,NA,3,"disposal"
"M2","M2",2016,3,-0.0061444486375292,NA,NA,3,"disposal"
"M3","M3",2009,3,-0.0783377558395282,NA,NA,3,"disposal"
"M1","M1",2015,3,-0.149164516736552,NA,NA,4,"disposal"
"M2","M2",2016,3,-0.0118083333285194,NA,NA,4,"disposal"
"M3","M3",2009,3,0.00245815543454096,NA,NA,4,"disposal"
"M1","M1",2015,3,-0.224747405200756,NA,NA,5,"disposal"
"M2","M2",2016,3,0.0619680001074503,NA,NA,5,"disposal"
"M3","M3",2009,3,0.00989457971860652,NA,NA,5,"disposal"
"M1","M1",2015,3,-0.212439344552465,NA,NA,6,"disposal"
"M2","M2",2016,3,-0.0605238207643367,NA,NA,6,"disposal"
"M3","M3",2009,3,-0.0626476856100253,NA,NA,6,"disposal"
"M1","M1",2015,3,-0.143606400143039,NA,NA,7,"disposal"
"M2","M2",2016,3,-0.00952443989867415,NA,NA,7,"disposal"
"M3","M3",2009,3,-0.0206244427945431,NA,NA,7,"disposal"
"M1","M1",2015,3,-0.32651048442034,NA,NA,8,"disposal"
"M2","M2",2016,3,0.00947381069021594,NA,NA,8,"disposal"
"M3","M3",2009,3,-0.0966363285317829,NA,NA,8,"disposal"
"M1","M1",2015,3,-0.0484437489273142,NA,NA,9,"disposal"
"M2","M2",2016,3,-0.00289253419097081,NA,NA,9,"disposal"
"M3","M3",2009,3,0.0105031078673576,NA,NA,9,"disposal"
"M1","M1",2015,3,-0.188481993897,NA,NA,10,"disposal"
"M2","M2",2016,3,-0.0100718225503295,NA,NA,10,"disposal"
"M3","M3",2009,3,-0.0966363285317829,NA,NA,10,"disposal"
"M1","M1",2015,3,-0.213159727681272,NA,NA,11,"disposal"
"M2","M2",2016,3,0.0089635419848062,NA,NA,11,"disposal"
"M3","M3",2009,3,-0.105746112169265,NA,NA,11,"disposal"
"M1","M1",2015,3,-0.168613988501327,NA,NA,12,"disposal"
"M2","M2",2016,3,0.00281072477665239,NA,NA,12,"disposal"
"M3","M3",2009,3,-0.0984791894792842,NA,NA,12,"disposal"
"M1","M1",2015,3,-0.159677691743992,NA,NA,13,"disposal"
"M2","M2",2016,3,0.0184102585812117,NA,NA,13,"disposal"
"M3","M3",2009,3,0.0358770946949376,NA,NA,13,"disposal"
"M1","M1",2015,3,-0.179386095466748,NA,NA,14,"disposal"
"M2","M2",2016,3,0.0215684661880991,NA,NA,14,"disposal"
"M3","M3",2009,3,-0.0370528959551247,NA,NA,14,"disposal"
"M1","M1",2015,3,-0.140699092148245,NA,NA,15,"disposal"
"M2","M2",2016,3,0.0171718142584855,NA,NA,15,"disposal"
"M3","M3",2009,3,-0.173500917893018,NA,NA,15,"disposal"
"M1","M1",2015,3,-0.181729237050677,NA,NA,16,"disposal"
"M2","M2",2016,3,-0.0542654965958036,NA,NA,16,"disposal"
"M3","M3",2009,3,-0.0364207314756614,NA,NA,16,"disposal"
"M1","M1",2015,3,-0.312875302736219,NA,NA,17,"disposal"
"M2","M2",2016,3,-0.0655742755690606,NA,NA,17,"disposal"
"M3","M3",2009,3,0.0319262213789954,NA,NA,17,"disposal"
"M1","M1",2015,3,-0.140792392658631,NA,NA,18,"disposal"
"M2","M2",2016,3,0.0161624821552216,NA,NA,18,"disposal"
"M3","M3",2009,3,-0.0810775790574454,NA,NA,18,"disposal"
"M1","M1",2015,3,-0.0923138496568082,NA,NA,19,"disposal"
"M2","M2",2016,3,0.0418887051874077,NA,NA,19,"disposal"
"M3","M3",2009,3,-0.00406519577060005,NA,NA,19,"disposal"
"M1","M1",2015,3,-0.211963448837817,NA,NA,20,"disposal"
"M2","M2",2016,3,-0.00828347738890356,NA,NA,20,"disposal"
"M3","M3",2009,3,-0.118612216201838,NA,NA,20,"disposal"
"M1","M1",2015,3,-0.128224461559636,NA,NA,21,"disposal"
"M2","M2",2016,3,0.0233691094305598,NA,NA,21,"disposal"
"M3","M3",2009,3,-0.0207059658949921,NA,NA,21,"disposal"
"M1","M1",2015,3,-0.280787831004301,NA,NA,22,"disposal"
"M2","M2",2016,3,0.0275055379426142,NA,NA,22,"disposal"
"M3","M3",2009,3,-0.0880095897472597,NA,NA,22,"disposal"
"M1","M1",2015,3,-0.174302123929379,NA,NA,23,"disposal"
"M2","M2",2016,3,-0.0253877494326152,NA,NA,23,"disposal"
"M3","M3",2009,3,-0.0783377558395282,NA,NA,23,"disposal"
"M1","M1",2015,3,-0.190123230296291,NA,NA,24,"disposal"
"M2","M2",2016,3,-0.016790748347965,NA,NA,24,"disposal"
"M3","M3",2009,3,-0.144204030227586,NA,NA,24,"disposal"
"M1","M1",2015,3,-0.118608298054382,NA,NA,25,"disposal"
"M2","M2",2016,3,0.0127516103817514,NA,NA,25,"disposal"
"M3","M3",2009,3,-0.0165105196318643,NA,NA,25,"disposal"
"M1","M1",2015,3,-0.0530242377160473,NA,NA,26,"disposal"
"M2","M2",2016,3,0.00476318596517593,NA,NA,26,"disposal"
"M3","M3",2009,3,-0.0335340535323009,NA,NA,26,"disposal"
"M1","M1",2015,3,-0.0403621561906133,NA,NA,27,"disposal"
"M2","M2",2016,3,-0.00336832677778503,NA,NA,27,"disposal"
"M3","M3",2009,3,-0.0961002633711307,NA,NA,27,"disposal"
"M1","M1",2015,3,-0.274268505712232,NA,NA,28,"disposal"
"M2","M2",2016,3,0.0185615808570336,NA,NA,28,"disposal"
"M3","M3",2009,3,-0.102005695855775,NA,NA,28,"disposal"
"M1","M1",2015,3,-0.157247407001359,NA,NA,29,"disposal"
"M2","M2",2016,3,0.00524379279709923,NA,NA,29,"disposal"
"M3","M3",2009,3,-0.0682578841104485,NA,NA,29,"disposal"
"M1","M1",2015,3,-0.142759450962241,NA,NA,30,"disposal"
