state_id,ban_year,sample_size,att_pop,att_waste,attempt
MA,2014,3,-0.058979756,-0.058979756,1
MA,2014,4,-0.057356576,-0.057356576,1
MA,2014,5,-0.061813772,-0.061813772,1
MA,2014,6,-0.062961015,-0.062961015,1
MA,2014,7,-0.066638069,-0.066638069,1
MA,2014,8,-0.074692905,-0.074692905,1
MA,2014,9,-0.069192693,-0.069192693,1
MA,2014,10,-0.068066594,-0.068066594,1
MA,2014,3,-0.056339314,-0.056339314,2
MA,2014,4,-0.054542808,-0.054542808,2
MA,2014,5,-0.061007247,-0.061007247,2
MA,2014,6,-0.059717601,-0.059717601,2
MA,2014,7,-0.066766924,-0.066766924,2
MA,2014,8,-0.076008446,-0.076008446,2
MA,2014,9,-0.065363172,-0.065363172,2
MA,2014,10,-0.068218975,-0.068218975,2
MA,2014,3,-0.072485336,-0.072485336,3
MA,2014,4,-0.070321303,-0.070321303,3
MA,2014,5,-0.074858374,-0.074858374,3
MA,2014,6,-0.060622189,-0.060622189,3
MA,2014,7,-0.069088525,-0.069088525,3
MA,2014,8,-0.07040107,-0.07040107,3
MA,2014,9,-0.066134519,-0.066134519,3
MA,2014,10,-0.068107033,-0.068107033,3
MA,2014,3,-0.058103013,-0.058103013,4
MA,2014,4,-0.05371329,-0.05371329,4
MA,2014,5,-0.070530868,-0.070530868,4
MA,2014,6,-0.067332487,-0.067332487,4
MA,2014,7,-0.074270666,-0.074270666,4
MA,2014,8,-0.070909036,-0.070909036,4
MA,2014,9,-0.072826618,-0.072826618,4
MA,2014,10,-0.068716486,-0.068716486,4
MA,2014,3,-0.064922413,-0.064922413,5
MA,2014,4,-0.071524331,-0.071524331,5
MA,2014,5,-0.071492824,-0.071492824,5
MA,2014,6,-0.066118021,-0.066118021,5
MA,2014,7,-0.063191736,-0.063191736,5
MA,2014,8,-0.064625692,-0.064625692,5
MA,2014,9,-0.065866099,-0.065866099,5
MA,2014,10,-0.066147514,-0.066147514,5
MA,2014,3,-0.058179166,-0.058179166,6
MA,2014,4,-0.062720494,-0.062720494,6
MA,2014,5,-0.066979723,-0.066979723,6
MA,2014,6,-0.06065049,-0.06065049,6
MA,2014,7,-0.073828699,-0.073828699,6
MA,2014,8,-0.056402198,-0.056402198,6
MA,2014,9,-0.064544619,-0.064544619,6
MA,2014,10,-0.065255196,-0.065255196,6
MA,2014,3,-0.063778121,-0.063778121,7
MA,2014,4,-0.061294948,-0.061294948,7
MA,2014,5,-0.049191715,-0.049191715,7
MA,2014,6,-0.069988041,-0.069988041,7
MA,2014,7,-0.067569546,-0.067569546,7
MA,2014,8,-0.064879555,-0.064879555,7
MA,2014,9,-0.072095085,-0.072095085,7
MA,2014,10,-0.068286845,-0.068286845,7
MA,2014,3,-0.059011323,-0.059011323,8
MA,2014,4,-0.06234493,-0.06234493,8
MA,2014,5,-0.073530455,-0.073530455,8
MA,2014,6,-0.068950942,-0.068950942,8
