state_id,ban_year,sample_size,att_pop,att_waste,attempt
MA,2013,3,-0.009089857,-0.009089857,1
MA,2013,4,-0.00707755,-0.00707755,1
MA,2013,5,-0.020491492,-0.020491492,1
MA,2013,6,-0.017413533,-0.017413533,1
MA,2013,7,-0.013815449,-0.013815449,1
MA,2013,8,-0.014186534,-0.014186534,1
MA,2013,9,-0.018437828,-0.018437828,1
MA,2013,10,-0.013074264,-0.013074264,1
MA,2013,3,-0.006372484,-0.006372484,2
MA,2013,4,-0.01083929,-0.01083929,2
MA,2013,5,-0.013691545,-0.013691545,2
MA,2013,6,-0.009105923,-0.009105923,2
MA,2013,7,-0.012305563,-0.012305563,2
MA,2013,8,-0.01886772,-0.01886772,2
MA,2013,9,-0.013816111,-0.013816111,2
MA,2013,10,-0.01651301,-0.01651301,2
MA,2013,3,-0.006681528,-0.006681528,3
MA,2013,4,-0.000576647,-0.000576647,3
MA,2013,5,-0.004563482,-0.004563482,3
MA,2013,6,-0.007378356,-0.007378356,3
MA,2013,7,-0.013353125,-0.013353125,3
MA,2013,8,-0.005989801,-0.005989801,3
MA,2013,9,-0.021311885,-0.021311885,3
MA,2013,10,-0.020526302,-0.020526302,3
MA,2013,3,-0.001649186,-0.001649186,4
MA,2013,4,-0.009180182,-0.009180182,4
MA,2013,5,-0.000697653,-0.000697653,4
MA,2013,6,-0.013617751,-0.013617751,4
MA,2013,7,-0.013235912,-0.013235912,4
MA,2013,8,-0.018393469,-0.018393469,4
MA,2013,9,-0.020137003,-0.020137003,4
MA,2013,10,-0.018844585,-0.018844585,4
MA,2013,3,-0.012225178,-0.012225178,5
MA,2013,4,-0.006395548,-0.006395548,5
MA,2013,5,-0.01070822,-0.01070822,5
MA,2013,6,-0.012936508,-0.012936508,5
MA,2013,7,-0.01601401,-0.01601401,5
MA,2013,8,-0.009510146,-0.009510146,5
MA,2013,9,-0.010306881,-0.010306881,5
MA,2013,10,-0.011766052,-0.011766052,5
MA,2013,3,-0.003074944,-0.003074944,6
MA,2013,4,0.002633226,0.002633226,6
MA,2013,5,-0.019157103,-0.019157103,6
MA,2013,6,-0.010481518,-0.010481518,6
MA,2013,7,-0.01794241,-0.01794241,6
MA,2013,8,-0.020178122,-0.020178122,6
MA,2013,9,-0.017426729,-0.017426729,6
MA,2013,10,-0.025356404,-0.025356404,6
MA,2013,3,0.005416943,0.005416943,7
MA,2013,4,-0.012809731,-0.012809731,7
MA,2013,5,-0.005986132,-0.005986132,7
MA,2013,6,-0.012481054,-0.012481054,7
MA,2013,7,-0.021173815,-0.021173815,7
MA,2013,8,-0.016508457,-0.016508457,7
MA,2013,9,-0.016543372,-0.016543372,7
MA,2013,10,-0.013697669,-0.013697669,7
MA,2013,3,-0.010179265,-0.010179265,8
MA,2013,4,-0.02175404,-0.02175404,8
MA,2013,5,-0.003974598,-0.003974598,8
MA,2013,6,-0.014548547,-0.014548547,8
MA,2013,7,-0.008096281,-0.008096281,8
MA,2013,8,-0.032367327,-0.032367327,8
MA,2013,9,-0.017739868,-0.017739868,8
MA,2013,10,-0.012275552,-0.012275552,8
MA,2013,3,-0.001430746,-0.001430746,9
MA,2013,4,-0.010863229,-0.010863229,9
MA,2013,5,-0.008516354,-0.008516354,9
MA,2013,6,-0.007012211,-0.007012211,9
MA,2013,7,-0.012660602,-0.012660602,9
MA,2013,8,-0.020698559,-0.020698559,9
MA,2013,9,-0.012471092,-0.012471092,9
MA,2013,10,-0.018485601,-0.018485601,9
MA,2013,3,-0.001217943,-0.001217943,10
MA,2013,4,-0.0020664,-0.0020664,10
MA,2013,5,-0.011784843,-0.011784843,10
MA,2013,6,-0.01927089,-0.01927089,10
MA,2013,7,-0.012846781,-0.012846781,10
MA,2013,8,-0.01385724,-0.01385724,10
MA,2013,9,-0.0109213,-0.0109213,10
MA,2013,10,-0.011518245,-0.011518245,10
MA,2013,3,-0.002099757,-0.002099757,11
