sample_size,ban_year,county_id,n,att,attempt
3,2014,MA,16,-0.067914552,1
4,2014,MA,38,-0.092036528,1
5,2014,MA,42,-0.069718772,1
6,2014,MA,48,-0.064675821,1
7,2014,MA,49,-0.075495456,1
8,2014,MA,50,-0.058351934,1
9,2014,MA,50,-0.064313159,1
10,2014,MA,50,-0.063690689,1
3,2014,MA,13,-0.067914552,2
4,2014,MA,40,-0.062299851,2
5,2014,MA,48,-0.061018172,2
6,2014,MA,49,-0.05731421,2
7,2014,MA,50,-0.070565527,2
8,2014,MA,50,-0.089821612,2
9,2014,MA,50,-0.066240591,2
10,2014,MA,50,-0.07688093,2
3,2014,MA,15,-0.067914552,3
4,2014,MA,38,-0.068686056,3
5,2014,MA,46,-0.077402525,3
6,2014,MA,49,-0.062735618,3
7,2014,MA,48,-0.070565527,3
8,2014,MA,50,-0.064414941,3
9,2014,MA,50,-0.064120143,3
10,2014,MA,50,-0.068218197,3
3,2014,MA,14,-0.067914552,4
4,2014,MA,34,-0.062299851,4
5,2014,MA,47,-0.068295593,4
6,2014,MA,50,-0.05731421,4
7,2014,MA,49,-0.050329181,4
8,2014,MA,49,-0.068330968,4
9,2014,MA,50,-0.068105416,4
10,2014,MA,50,-0.071934769,4
3,2014,MA,18,-0.067914552,5
4,2014,MA,39,-0.062299851,5
5,2014,MA,46,-0.078745681,5
6,2014,MA,47,-0.066152925,5
7,2014,MA,50,-0.085195754,5
8,2014,MA,50,-0.067892087,5
9,2014,MA,48,-0.074388457,5
10,2014,MA,50,-0.061460627,5
3,2014,MA,15,-0.067914552,6
4,2014,MA,35,-0.092036528,6
5,2014,MA,43,-0.077402525,6
6,2014,MA,48,-0.062586319,6
7,2014,MA,50,-0.058826319,6
8,2014,MA,50,-0.063266612,6
9,2014,MA,49,-0.064816948,6
10,2014,MA,50,-0.065677352,6
3,2014,MA,15,-0.067914552,7
4,2014,MA,35,-0.062299851,7
5,2014,MA,44,-0.061018172,7
6,2014,MA,48,-0.062586319,7
7,2014,MA,50,-0.062319533,7
8,2014,MA,49,-0.063968355,7
9,2014,MA,50,-0.061349449,7
10,2014,MA,49,-0.063085471,7
3,2014,MA,17,-0.067914552,8
4,2014,MA,40,-0.068686056,8
5,2014,MA,45,-0.069718772,8
6,2014,MA,49,-0.05731421,8
7,2014,MA,49,-0.070565527,8
8,2014,MA,50,-0.061777107,8
9,2014,MA,50,-0.068105416,8
10,2014,MA,50,-0.060612999,8
3,2014,MA,18,-0.067914552,9
4,2014,MA,39,-0.068686056,9
5,2014,MA,44,-0.069718772,9
6,2014,MA,47,-0.064642822,9
7,2014,MA,50,-0.083393925,9
8,2014,MA,50,-0.061860119,9
9,2014,MA,50,-0.077315817,9
10,2014,MA,50,-0.062490805,9
3,2014,MA,16,-0.067914552,10
4,2014,MA,36,-0.068686056,10
5,2014,MA,40,-0.077402525,10
6,2014,MA,49,-0.066943487,10
7,2014,MA,49,-0.076073297,10
8,2014,MA,50,-0.066141327,10
9,2014,MA,50,-0.072744762,10
10,2014,MA,49,-0.068453642,10
3,2014,MA,14,-0.067914552,11
4,2014,MA,36,-0.092036528,11
5,2014,MA,45,-0.068295593,11
6,2014,MA,47,-0.078521434,11
7,2014,MA,50,-0.068847678,11
8,2014,MA,50,-0.071120904,11
9,2014,MA,50,-0.066131336,11
10,2014,MA,50,-0.080297263,11
3,2014,MA,20,-0.067914552,12
4,2014,MA,32,-0.068686056,12
5,2014,MA,45,-0.077402525,12
6,2014,MA,49,-0.054895517,12
7,2014,MA,49,-0.063068804,12
8,2014,MA,50,-0.071722769,12
9,2014,MA,50,-0.07542219,12
10,2014,MA,50,-0.06209381,12
3,2014,MA,15,-0.067914552,13
4,2014,MA,32,-0.068686056,13
5,2014,MA,46,-0.070390021,13
6,2014,MA,50,-0.087640489,13
7,2014,MA,47,-0.089348793,13
8,2014,MA,50,-0.064719412,13
9,2014,MA,50,-0.068105416,13
10,2014,MA,50,-0.074269229,13
3,2014,MA,14,-0.067914552,14
4,2014,MA,39,-0.068686056,14
5,2014,MA,46,-0.077402525,14
6,2014,MA,48,-0.064642822,14
7,2014,MA,49,-0.073460079,14
8,2014,MA,50,-0.079071258,14
9,2014,MA,50,-0.059854419,14
10,2014,MA,50,-0.082216297,14
3,2014,MA,13,-0.067914552,15
4,2014,MA,32,-0.068686056,15
5,2014,MA,45,-0.069718772,15
6,2014,MA,48,-0.05731421,15
7,2014,MA,48,-0.06933517,15
8,2014,MA,49,-0.059264496,15
9,2014,MA,50,-0.05973262,15
10,2014,MA,50,-0.068130386,15
3,2014,MA,17,-0.067914552,16
4,2014,MA,35,-0.092036528,16
5,2014,MA,47,-0.070390021,16
6,2014,MA,46,-0.057914386,16
7,2014,MA,47,-0.076572331,16
8,2014,MA,49,-0.068802297,16
9,2014,MA,50,-0.064313159,16
10,2014,MA,50,-0.083022749,16
3,2014,MA,16,-0.067914552,17
4,2014,MA,36,-0.063582654,17
5,2014,MA,44,-0.068295593,17
6,2014,MA,48,-0.069912802,17
7,2014,MA,48,-0.063068804,17
8,2014,MA,49,-0.06787508,17
9,2014,MA,50,-0.064066276,17
10,2014,MA,50,-0.059513603,17
3,2014,MA,11,-0.067914552,18
4,2014,MA,31,-0.068686056,18
5,2014,MA,46,-0.065424324,18
6,2014,MA,47,-0.060265459,18
7,2014,MA,50,-0.06515568,18
8,2014,MA,48,-0.06787508,18
9,2014,MA,50,-0.066252772,18
10,2014,MA,50,-0.068218197,18
3,2014,MA,14,-0.067914552,19
4,2014,MA,34,-0.068686056,19
5,2014,MA,46,-0.070390021,19
6,2014,MA,48,-0.074642853,19
7,2014,MA,50,-0.074966967,19
8,2014,MA,50,-0.063698323,19
9,2014,MA,50,-0.063665756,19
10,2014,MA,50,-0.066270578,19
3,2014,MA,15,-0.067914552,20
4,2014,MA,37,-0.068686056,20
5,2014,MA,45,-0.087329713,20
6,2014,MA,46,-0.060265459,20
7,2014,MA,50,-0.057863758,20
8,2014,MA,50,-0.089821612,20
9,2014,MA,50,-0.063239769,20
10,2014,MA,50,-0.075216069,20
3,2014,MA,13,-0.067914552,21
4,2014,MA,32,-0.062299851,21
5,2014,MA,46,-0.070906631,21
6,2014,MA,49,-0.064675821,21
7,2014,MA,49,-0.075495456,21
8,2014,MA,49,-0.069487758,21
9,2014,MA,49,-0.070509033,21
10,2014,MA,50,-0.072259008,21
3,2014,MA,16,-0.067914552,22
4,2014,MA,39,-0.068686056,22
5,2014,MA,47,-0.070390021,22
6,2014,MA,47,-0.066943487,22
7,2014,MA,49,-0.080725821,22
8,2014,MA,50,-0.067360494,22
9,2014,MA,49,-0.064468312,22
10,2014,MA,50,-0.064026457,22
3,2014,MA,16,-0.067914552,23
4,2014,MA,34,-0.062299851,23
5,2014,MA,43,-0.056833229,23
6,2014,MA,47,-0.055964367,23
7,2014,MA,50,-0.076092393,23
8,2014,MA,49,-0.069241284,23
9,2014,MA,50,-0.080020286,23
10,2014,MA,50,-0.069791402,23
3,2014,MA,19,-0.067914552,24
4,2014,MA,34,-0.068686056,24
5,2014,MA,45,-0.077402525,24
6,2014,MA,47,-0.057914386,24
7,2014,MA,48,-0.055064701,24
8,2014,MA,50,-0.08396074,24
9,2014,MA,50,-0.057308033,24
10,2014,MA,50,-0.064487274,24
3,2014,MA,14,-0.067914552,25
4,2014,MA,37,-0.092036528,25
5,2014,MA,46,-0.078113162,25
6,2014,MA,50,-0.049942323,25
7,2014,MA,50,-0.068355568,25
8,2014,MA,50,-0.060727007,25
9,2014,MA,49,-0.070520903,25
10,2014,MA,50,-0.063546639,25
3,2014,MA,11,-0.067914552,26
4,2014,MA,34,-0.068686056,26
5,2014,MA,46,-0.077402525,26
6,2014,MA,49,-0.064657791,26
7,2014,MA,48,-0.06515568,26
8,2014,MA,50,-0.059264496,26
9,2014,MA,50,-0.059202637,26
10,2014,MA,50,-0.070803383,26
3,2014,MA,17,-0.067914552,27
4,2014,MA,38,-0.068686056,27
5,2014,MA,47,-0.078418655,27
6,2014,MA,50,-0.066943487,27
7,2014,MA,49,-0.054130285,27
8,2014,MA,50,-0.051515423,27
9,2014,MA,50,-0.075887925,27
10,2014,MA,49,-0.071934769,27
3,2014,MA,14,-0.067914552,28
4,2014,MA,38,-0.062299851,28
5,2014,MA,45,-0.087329713,28
6,2014,MA,49,-0.05731421,28
7,2014,MA,50,-0.089348793,28
8,2014,MA,50,-0.064414941,28
9,2014,MA,50,-0.080020286,28
10,2014,MA,50,-0.06873917,28
3,2014,MA,13,-0.067914552,29
4,2014,MA,39,-0.068686056,29
5,2014,MA,45,-0.068295593,29
6,2014,MA,48,-0.07569118,29
7,2014,MA,49,-0.058152813,29
8,2014,MA,50,-0.071120904,29
9,2014,MA,50,-0.075568041,29
10,2014,MA,50,-0.079814919,29
3,2014,MA,12,-0.062099491,30
4,2014,MA,40,-0.068686056,30
5,2014,MA,45,-0.071893533,30
6,2014,MA,48,-0.062735618,30
7,2014,MA,50,-0.069425647,30
8,2014,MA,50,-0.084972899,30
9,2014,MA,49,-0.066240591,30
10,2014,MA,50,-0.069777891,30
3,2014,MA,16,-0.067914552,31
4,2014,MA,37,-0.092036528,31
5,2014,MA,47,-0.087329713,31
6,2014,MA,47,-0.069248422,31
7,2014,MA,49,-0.069721854,31
8,2014,MA,50,-0.079937321,31
9,2014,MA,50,-0.06900017,31
10,2014,MA,50,-0.064662567,31
3,2014,MA,16,-0.067914552,32
4,2014,MA,36,-0.06524575,32
5,2014,MA,48,-0.077402525,32
6,2014,MA,49,-0.062753722,32
7,2014,MA,49,-0.065441154,32
8,2014,MA,50,-0.067892087,32
9,2014,MA,50,-0.063288236,32
10,2014,MA,50,-0.070316386,32
3,2014,MA,13,-0.067914552,33
4,2014,MA,36,-0.068686056,33
5,2014,MA,48,-0.068551161,33
6,2014,MA,47,-0.062735618,33
7,2014,MA,50,-0.06933517,33
8,2014,MA,49,-0.078676315,33
9,2014,MA,50,-0.064816948,33
10,2014,MA,50,-0.060460453,33
3,2014,MA,14,-0.067914552,34
4,2014,MA,37,-0.068686056,34
5,2014,MA,46,-0.087329713,34
6,2014,MA,50,-0.07569118,34
7,2014,MA,49,-0.068828281,34
8,2014,MA,50,-0.05062805,34
9,2014,MA,50,-0.064572871,34
10,2014,MA,50,-0.063027903,34
3,2014,MA,21,-0.067914552,35
4,2014,MA,40,-0.068686056,35
5,2014,MA,46,-0.0751575,35
6,2014,MA,49,-0.062735618,35
7,2014,MA,48,-0.061794336,35
8,2014,MA,50,-0.06787508,35
9,2014,MA,50,-0.066240591,35
10,2014,MA,50,-0.063414552,35
3,2014,MA,15,-0.067914552,36
4,2014,MA,39,-0.068686056,36
5,2014,MA,45,-0.058208944,36
6,2014,MA,48,-0.073329013,36
7,2014,MA,49,-0.073980115,36
8,2014,MA,50,-0.07147655,36
9,2014,MA,50,-0.06900017,36
10,2014,MA,49,-0.057871238,36
3,2014,MA,15,-0.067914552,37
4,2014,MA,34,-0.068686056,37
5,2014,MA,46,-0.064896744,37
6,2014,MA,46,-0.060265459,37
7,2014,MA,48,-0.075495456,37
8,2014,MA,49,-0.071722769,37
9,2014,MA,50,-0.069161411,37
10,2014,MA,50,-0.068130386,37
3,2014,MA,12,-0.067914552,38
4,2014,MA,34,-0.068686056,38
5,2014,MA,48,-0.069718772,38
6,2014,MA,48,-0.067436536,38
7,2014,MA,50,-0.063978038,38
