"sample_size","ban_year","county_id","n","att","attempt"
3,2014,"MA",5,-0.0588452611332719,1
4,2014,"MA",12,-0.0565079981270388,1
5,2014,"MA",18,-0.0525498951535657,1
6,2014,"MA",27,-0.0543224289612174,1
7,2014,"MA",23,-0.0545147771429586,1
8,2014,"MA",26,-0.0569861295558251,1
9,2014,"MA",19,-0.0567139915889702,1
10,2014,"MA",11,-0.0586987956589946,1
3,2014,"MA",4,-0.0620994914663275,2
4,2014,"MA",9,-0.0565079981270388,2
5,2014,"MA",17,-0.0576762252071453,2
6,2014,"MA",27,-0.0545072239538643,2
7,2014,"MA",25,-0.0536922773457758,2
8,2014,"MA",27,-0.056818530208691,2
9,2014,"MA",18,-0.058071272252056,2
10,2014,"MA",13,-0.0572748101895374,2
3,2014,"MA",4,-0.0620994914663275,3
4,2014,"MA",11,-0.0541376711676876,3
5,2014,"MA",22,-0.0525498951535657,3
6,2014,"MA",21,-0.0531556777643319,3
7,2014,"MA",26,-0.0539424544072681,3
8,2014,"MA",19,-0.056818530208691,3
9,2014,"MA",15,-0.0590965306019003,3
10,2014,"MA",12,-0.0579663852105418,3
3,2014,"MA",4,-0.0620994914663275,4
4,2014,"MA",9,-0.0574356261857353,4
5,2014,"MA",17,-0.055783712734816,4
6,2014,"MA",23,-0.0543224289612174,4
7,2014,"MA",23,-0.0550947554234484,4
8,2014,"MA",25,-0.0542811864922791,4
9,2014,"MA",22,-0.0584780996313928,4
10,2014,"MA",10,-0.0586987956589946,4
3,2014,"MA",4,-0.0620994914663275,5
4,2014,"MA",10,-0.0574356261857353,5
5,2014,"MA",19,-0.0538912002624866,5
6,2014,"MA",25,-0.0527631446196863,5
7,2014,"MA",28,-0.0538008349521227,5
8,2014,"MA",25,-0.0571537289029591,5
9,2014,"MA",21,-0.0577866818886454,5
10,2014,"MA",12,-0.0579663852105418,5
3,2014,"MA",4,-0.0620994914663275,6
4,2014,"MA",10,-0.0565079981270388,6
5,2014,"MA",20,-0.0532205477080261,6
6,2014,"MA",25,-0.0559680516614555,6
7,2014,"MA",26,-0.0538008349521227,6
8,2014,"MA",26,-0.0576171362398499,6
9,2014,"MA",20,-0.0581389029744363,6
10,2014,"MA",10,-0.0589501772779643,6
3,2014,"MA",4,-0.0620994914663275,7
4,2014,"MA",12,-0.0520460091416086,7
5,2014,"MA",16,-0.0525498951535657,7
6,2014,"MA",25,-0.0555416098588418,7
7,2014,"MA",28,-0.0533758574987566,7
8,2014,"MA",23,-0.056818530208691,7
9,2014,"MA",17,-0.0581389029744363,7
10,2014,"MA",12,-0.0586987956589946,7
