"county_id","actual_treatment_effect","seed"
"CA",5.30529758972727,1
"CT",-2.45910878455721,1
"MA",-8.07463442240857,1
"RI",-2.48296430532479,1
"VT",-1.20449427347055,1
"All",-1.66684453689215,1
"CA",5.3883585716714,2
"CT",-1.26816601123916,2
"MA",-9.26922582045795,2
"RI",-3.02196262975052,2
"VT",-1.20449427347055,2
"All",-1.77785371812474,2
"CA",4.84680548759074,3
"CT",-2.45910878455721,3
"MA",-8.41531235369697,3
"RI",-3.02196262975053,3
"VT",-3.10752690920888,3
"All",-1.66684453689216,3
"CA",4.93412957938535,4
"CT",-2.45910878455721,4
"MA",-9.27374879959039,4
"RI",-2.25477881108135,4
"VT",-1.20449427347055,4
"All",-1.66684453689215,4
"CA",5.3883585716714,5
"CT",-5.42886028312409,5
"MA",-9.09055553281494,5
"RI",-3.45042817302629,5
"VT",-0.956673365612755,5
"All",-1.66684453689216,5
"CA",5.3883585716714,6
"CT",-2.03318458517489,6
"MA",-8.41531235369697,6
"RI",-2.48296430532479,6
"VT",-3.10752690920888,6
"All",-1.66684453689216,6
"CA",4.84680548759074,7
"CT",-2.4591087845572,7
"MA",-9.27374879959039,7
"RI",-3.59864720353362,7
"VT",-1.3568943748536,7
"All",-1.66684453689215,7
"CA",5.46091910149251,8
"CT",-2.45910878455721,8
"MA",-9.6300704786715,8
"RI",-3.02196262975052,8
"VT",-1.90369882298395,8
"All",-1.93414726102554,8
"CA",5.46091910149252,9
"CT",-2.45910878455721,9
"MA",-8.41531235369697,9
"RI",-2.48296430532481,9
"VT",-0.956673365612762,9
"All",-1.66684453689216,9
"CA",5.46091910149251,10
"CT",-2.45910878455721,10
"MA",-9.31415403808646,10
"RI",-2.25477881108135,10
"VT",-1.35689437485362,10
"All",-2.43544358054593,10
"CA",5.38835857167141,11
"CT",-2.45910878455721,11
"MA",-9.09055553281494,11
"RI",-3.45042817302629,11
"VT",-2.24735617045715,11
"All",-1.68215357039581,11
"CA",2.29615029326724,12
"CT",-2.45910878455721,12
"MA",-11.6329937636503,12
"RI",-2.48296430532481,12
"VT",-0.956673365612755,12
"All",-1.52505511661264,12
"CA",5.66597215990411,13
"CT",-2.45910878455721,13
"MA",-9.4483147877503,13
"RI",-2.48296430532479,13
"VT",-0.956673365612762,13
"All",-1.97052755651903,13
"CA",2.69483244795705,14
"CT",-5.4288602831241,14
"MA",-8.07463442240858,14
"RI",-2.79629554691075,14
"VT",-2.24735617045715,14
"All",-1.88367560785746,14
"CA",5.66597215990411,15
"CT",-2.45910878455721,15
"MA",-9.09055553281494,15
"RI",-2.48296430532479,15
"VT",-0.956673365612762,15
"All",-1.66684453689215,15
"CA",2.15136673316163,16
"CT",-2.45910878455721,16
"MA",-10.2875842125421,16
"RI",-3.5986472035336,16
"VT",-3.10752690920887,16
"All",-1.66684453689215,16
"CA",5.6327160303621,17
"CT",-2.45910878455721,17
"MA",-9.26922582045795,17
"RI",-3.02196262975053,17
"VT",-2.24735617045715,17
"All",-2.22104706367313,17
"CA",5.46091910149251,18
"CT",-2.45910878455721,18
"MA",-9.09055553281494,18
"RI",-3.02196262975052,18
"VT",-1.20449427347055,18
"All",-1.66684453689216,18
"CA",4.93412957938535,19
"CT",-5.4288602831241,19
"MA",-9.09055553281494,19
"RI",-2.33129195318225,19
"VT",-0.956673365612762,19
"All",-1.79312820881285,19
"CA",4.93412957938535,20
"CT",-2.45910878455721,20
"MA",-9.27374879959039,20
"RI",-3.5986472035336,20
"VT",-0.294843167721223,20
"All",-1.66684453689216,20
"CA",5.30529758972727,21
"CT",-5.4288602831241,21
"MA",-9.31415403808646,21
"RI",-2.33129195318225,21
"VT",-0.956673365612755,21
"All",-1.66684453689216,21
"CA",4.84680548759074,22
"CT",-5.4288602831241,22
"MA",-9.49194736045691,22
"RI",-2.48296430532479,22
"VT",-2.24735617045714,22
"All",-1.97052755651903,22
"CA",5.6327160303621,23
"CT",-2.45910878455721,23
"MA",-10.2875842125421,23
"RI",-2.48296430532481,23
"VT",-1.20449427347055,23
"All",-1.79312820881286,23
"CA",4.84680548759074,24
"CT",-5.4288602831241,24
"MA",-8.41531235369697,24
"RI",-2.94652821475556,24
"VT",-0.29484316772124,24
"All",-1.82961319006588,24
"CA",2.69483244795706,25
"CT",-5.42886028312409,25
"MA",-9.27374879959039,25
"RI",-2.48296430532479,25
"VT",-0.85345211571731,25
"All",-1.66684453689216,25
"CA",4.84680548759074,26
"CT",-2.45910878455721,26
"MA",-9.09055553281494,26
"RI",-3.45042817302629,26
"VT",-2.24735617045715,26
"All",-1.91891660871019,26
"CA",4.93412957938535,27
"CT",-2.45910878455721,27
"MA",-9.4919473604569,27
"RI",-2.48296430532479,27
"VT",-2.23273745603288,27
"All",-1.82961319006589,27
"CA",4.93412957938535,28
"CT",-1.26816601123916,28
"MA",-9.48671508360365,28
"RI",-3.02196262975053,28
"VT",-2.23273745603288,28
"All",-2.22104706367313,28
"CA",5.46091910149251,29
"CT",-5.4288602831241,29
"MA",-9.27374879959039,29
"RI",-2.33129195318225,29
"VT",-1.20449427347055,29
"All",-1.66684453689216,29
"CA",5.3883585716714,30
"CT",-2.45910878455721,30
"MA",-9.31415403808646,30
"RI",-2.91619521924982,30
"VT",-3.10752690920887,30
"All",-1.66684453689216,30
"CA",5.3883585716714,31
"CT",-2.45910878455721,31
"MA",-9.09055553281494,31
"RI",-2.33129195318225,31
"VT",-2.24735617045715,31
"All",-1.66684453689215,31
"CA",5.46091910149251,32
