"county_id","actual_treatment_effect","seed"
"CA",2.36296355638176,1
"CT",-4.97747559564714,1
"MA",-10.462777983599,1
"RI",-1.71807558917258,1
"VT",-3.23795439385518,1
"All",-3.31698838087471,1
"CA",2.52006295610418,2
"CT",-4.97747559564714,2
"MA",-10.854934278058,2
"RI",-2.15653535848629,2
"VT",-3.23795439385516,2
"All",-2.90116506572156,2
"CA",2.55351983986409,3
"CT",-4.97747559564714,3
"MA",-9.97463677462807,3
"RI",-2.88326497326197,3
"VT",-1.97346837856087,3
"All",-2.49385456141903,3
"CA",2.32994868475464,4
"CT",-4.97747559564714,4
"MA",-10.6070932232552,4
"RI",-2.51228292805232,4
"VT",-1.97346837856087,4
"All",-2.93330159613452,4
"CA",2.43269945609123,5
"CT",-4.97747559564714,5
"MA",-10.9729420563475,5
"RI",-2.88326497326197,5
"VT",-1.32520181371913,5
"All",-3.07311659226151,5
"CA",2.32994868475464,6
"CT",-4.97747559564714,6
"MA",-9.85396580267732,6
"RI",-2.88326497326197,6
"VT",-3.23795439385516,6
"All",-2.91430731542461,6
"CA",2.32994868475465,7
"CT",-4.97747559564714,7
"MA",-10.6271516361843,7
"RI",-2.88326497326197,7
"VT",-1.97346837856088,7
"All",-4.1573228316768,7
"CA",2.23520215226529,8
"CT",-4.97747559564714,8
"MA",-10.9729420563475,8
"RI",-2.17521884048169,8
"VT",-1.97346837856087,8
"All",-2.85554231374635,8
"CA",2.36296355638175,9
"CT",-4.97747559564714,9
"MA",-10.4663707186977,9
"RI",-2.45130868814035,9
"VT",-3.23795439385518,9
"All",-3.14970176065594,9
"CA",2.67021706387268,10
"CT",-4.97747559564714,10
"MA",-10.1166262209078,10
"RI",-2.15653535848628,10
"VT",-2.35889845327421,10
"All",-3.04605653360009,10
"CA",2.36296355638175,11
"CT",-4.97747559564714,11
"MA",-10.6271516361843,11
"RI",-1.59487844303996,11
"VT",-2.21623330123718,11
"All",-2.74847953251444,11
"CA",2.69034841281216,12
"CT",-4.97747559564714,12
"MA",-10.1166262209078,12
"RI",-1.70497287148228,12
"VT",-3.23795439385518,12
"All",-3.26327650121675,12
"CA",2.36296355638176,13
"CT",-4.97747559564714,13
"MA",-9.97072173201442,13
"RI",-2.45130868814035,13
"VT",-3.23795439385518,13
"All",-2.70918428916308,13
"CA",2.5535198398641,14
"CT",-4.97747559564714,14
"MA",-10.5082247561558,14
"RI",-2.50576469257721,14
"VT",-2.21623330123717,14
"All",-2.21200791275084,14
"CA",1.9305429392786,15
"CT",-4.97747559564714,15
"MA",-10.9729420563475,15
"RI",-1.59487844303995,15
