"sample_size","ban_year","att","mape","r_sq","i","treated_state"
3,2015,0.00538188395425923,0.00863448138706287,0.672890228891873,1,"All"
4,2015,-0.00753549941831967,0.0106426585896765,0.481686709793617,1,"All"
5,2015,-0.0146923444334866,0.0123714256294669,0.708780736920911,1,"All"
6,2015,-0.0127868456852807,0.0140152007187348,0.531028062904006,1,"All"
7,2015,-0.0082407125025937,0.0154665892554012,0.517691293201901,1,"All"
8,2015,-0.00953229960584611,0.0167667759625247,0.554935420187755,1,"All"
9,2015,-0.0137595946042346,0.0176970524609515,0.525097811648199,1,"All"
10,2015,-0.00427135118773049,0.0186630372987115,0.590036975952455,1,"All"
3,2015,-0.0273810143645934,0.0021633318186612,-0.260035577010657,2,"All"
4,2015,-0.0244373469743195,0.00259362140274318,0.158208927851126,2,"All"
5,2015,-0.0302937166691902,0.00433951154323821,0.422051044651919,2,"All"
6,2015,-0.0366283246407545,0.00565245362518619,0.0124789321836124,2,"All"
7,2015,-0.0241459328659173,0.00661925213775635,0.122164343682021,2,"All"
8,2015,-0.022379554417736,0.00735190732318846,0.378350395339341,2,"All"
9,2015,-0.024519492539547,0.00804621225701272,0.361124446189454,2,"All"
10,2015,-0.0239126854948634,0.00860592189037879,0.27667531324441,2,"All"
3,2015,-0.0227340964344741,0.00913239679817489,0.632873512749558,3,"All"
4,2015,-0.0286461561574814,0.0119576383014418,0.849352642989423,3,"All"
5,2015,-0.0348416838903828,0.0143420890591631,0.841133864997397,3,"All"
6,2015,-0.0384066241127027,0.0161424974803315,0.858992339755182,3,"All"
7,2015,-0.0248397619375478,0.0176112582771656,0.836365048759037,3,"All"
8,2015,-0.0248406147151807,0.0187745907820458,0.826044795351593,3,"All"
9,2015,-0.0261172138665694,0.0196110757215394,0.844576969325006,3,"All"
10,2015,-0.0258638288248227,0.0206168283182754,0.835088968309288,3,"All"
3,2015,-0.0304144306396881,0.00471335782382768,-0.449159715593452,4,"All"
4,2015,-0.00876481077682523,0.00968759190716762,-0.0828402923359162,4,"All"
5,2015,-0.00513729648243382,0.014044471401028,0.0995471074269878,4,"All"
6,2015,-0.021870653919793,0.0182303295066793,-0.327154363658694,4,"All"
7,2015,0.000122244375154929,0.0214437517989204,-0.297609164333043,4,"All"
8,2015,0.00265174314542486,0.0242812081476845,0.00410669185993819,4,"All"
