"sample_size","ban_year","att_min","att_max","att_median","specification","year","treated_state"
3,2016,-0.217720470302472,0.301016229454794,0.00283698452287992,"County",2016,"RI"
4,2016,-0.215594408924027,0.306881653809789,0.00108120770942209,"County",2016,"RI"
5,2016,-0.229673754958606,0.300121989793816,-0.00227370490934628,"County",2016,"RI"
6,2016,-0.22658788429563,0.291968856097848,-0.00139693618797051,"County",2016,"RI"
7,2016,-0.228552735659625,0.28458720318053,-0.00426405414323056,"County",2016,"RI"
8,2016,-0.233161615065324,0.291643337797092,-0.00506749014655357,"County",2016,"RI"
9,2016,-0.227974509156098,0.289036389328906,-0.00475332572555976,"County",2016,"RI"
10,2016,-0.242407741021746,0.29007734837171,-0.00545759176647119,"County",2016,"RI"
3,2015,-0.227542184167813,0.278389471044396,0.00296032530480707,"County",2015,"M1"
4,2015,-0.217147950533859,0.288015577286009,0.00125670105574474,"County",2015,"M1"
5,2015,-0.225924740433692,0.279909978347131,-0.000448559444235858,"County",2015,"M1"
6,2015,-0.231328743438654,0.287026982827537,-0.000301125333091722,"County",2015,"M1"
7,2015,-0.22364733335871,0.277290586455624,-0.00169562465817562,"County",2015,"M1"
8,2015,-0.231049077502073,0.289724153950033,-0.00300119184450767,"County",2015,"M1"
9,2015,-0.226530575057257,0.281597086588364,-0.00315057016970447,"County",2015,"M1"
10,2015,-0.231010588015483,0.283625980691213,-0.00306394408610275,"County",2015,"M1"
