"sample_size","ban_year","att_min","att_max","att_median","specification","year","treated_state"
3,2016,-1.02484798324368,1.41693752704581,0.0017495169334689,"County",2016,"RI"
4,2016,-0.766684661287888,1.98934833885171,0.181322357232998,"County",2016,"RI"
5,2016,-0.925785943969326,1.12482238047079,-0.0190777975086457,"County",2016,"RI"
6,2016,-1.27927797163445,1.37199653205271,-0.0526238345067203,"County",2016,"RI"
7,2016,-0.773982097427247,2.10438209406235,0.394113334516838,"County",2016,"RI"
8,2016,-0.843658129789902,1.39687174521468,-0.0312678909584351,"County",2016,"RI"
9,2016,-0.79585961587893,1.43703844222961,0.00960913217109035,"County",2016,"RI"
10,2016,-0.965388976368313,1.3050279110843,-0.231908336373334,"County",2016,"RI"
3,2015,-0.971937690330749,1.3378611136754,-0.303663298976143,"County",2015,"M1"
4,2015,-0.917183580710518,1.52662283929006,0.0414593303527432,"County",2015,"M1"
5,2015,-0.952357224678178,1.31890311519709,-0.0315939736733964,"County",2015,"M1"
6,2015,-0.941653681585284,1.39826479483637,-0.264810597183513,"County",2015,"M1"
7,2015,-0.95071137647651,1.48911923411835,0.0542722021489826,"County",2015,"M1"
8,2015,-0.926868027843283,1.33762084323126,-0.0597480623967345,"County",2015,"M1"
9,2015,-0.93485693068369,1.4603002458653,-0.106341445651312,"County",2015,"M1"
10,2015,-0.947339533212943,1.44454955265712,-0.134512432049758,"County",2015,"M1"
