"sample_size","ban_year","att_min","att_max","att_median","specification","year","treated_state"
3,2013,-0.103776298927726,0.0561335937349679,-0.0138115111697971,"State",2013,"MA"
4,2013,-0.0794195379379072,0.0742523288502506,-0.00723650705998032,"State",2013,"MA"
5,2013,-0.0820681887916402,0.050590928140101,-0.00557057223279468,"State",2013,"MA"
6,2013,-0.0785289110912811,0.0596888778751519,-0.00911471390096626,"State",2013,"MA"
7,2013,-0.0825346825198678,0.0589111526150013,-0.00666676745901938,"State",2013,"MA"
8,2013,-0.080607935772709,0.0524196127764282,-0.00528921704366888,"State",2013,"MA"
9,2013,-0.071749135429174,0.0514885212810723,-0.00206004699376134,"State",2013,"MA"
10,2013,-0.0737707730604744,0.055952086856202,-0.00522227305592317,"State",2013,"MA"
3,2014,-0.0814231634479633,0.0736159032005024,-0.00886024418205385,"State",2014,"CA"
4,2014,-0.0824080832728271,0.0751800367374707,-0.00797648013664772,"State",2014,"CA"
5,2014,-0.0700933730074474,0.0492503670611136,-0.00880344745563017,"State",2014,"CA"
6,2014,-0.0772588932947944,0.0609541807999006,-0.00731078517004293,"State",2014,"CA"
7,2014,-0.075890298896786,0.0634259278860788,-0.00610083675010678,"State",2014,"CA"
8,2014,-0.0694909948995578,0.0550904799226719,-0.00424149694823493,"State",2014,"CA"
9,2014,-0.0830629439680727,0.0613325328877542,-0.00535159887965167,"State",2014,"CA"
10,2014,-0.0734124659890346,0.0662877678842109,-0.00145310093036984,"State",2014,"CA"
3,2011,-0.0693571291725682,0.0358878679873927,-0.00704435656988557,"State",2011,"CT"
4,2011,-0.0561697538963204,0.0480737158047881,-0.00547062312601684,"State",2011,"CT"
5,2011,-0.0425985773733169,0.0613802738653182,0.000547202030072418,"State",2011,"CT"
6,2011,-0.0619717806952801,0.0570762984258252,-0.00183221893038392,"State",2011,"CT"
7,2011,-0.0565960569040576,0.0672168259541425,0.00020365103754187,"State",2011,"CT"
8,2011,-0.0460333100915994,0.0719782272606053,-5.56464143633925e-05,"State",2011,"CT"
9,2011,-0.0543787196537729,0.077276311634358,0.00055832754410556,"State",2011,"CT"
10,2011,-0.060432906444452,0.0757248080445917,-3.74729567688294e-05,"State",2011,"CT"
3,2014,-0.0592889212145409,0.0759264611177624,-0.00349287675801247,"State",2014,"RI"
4,2014,-0.0735464760950647,0.064237828077006,-0.00569981512413557,"State",2014,"RI"
5,2014,-0.062284180901525,0.0486574948958074,-0.00838392933485293,"State",2014,"RI"
6,2014,-0.0755880054799098,0.0499789921728817,-0.00956666871949435,"State",2014,"RI"
7,2014,-0.0796223877074578,0.0590248445745217,-0.00663549025857906,"State",2014,"RI"
8,2014,-0.0625326601601165,0.0644459607543563,-0.00339615462411905,"State",2014,"RI"
9,2014,-0.0625604964144046,0.054295710865882,-0.00236614994162588,"State",2014,"RI"
10,2014,-0.0652093202589374,0.0512943026476589,-0.00198826127390426,"State",2014,"RI"
3,2012,-0.0760060293973953,0.0382215639691821,-0.00493504663305237,"State",2012,"VT"
4,2012,-0.0670652789186655,0.0584884107463285,-0.000712559169307027,"State",2012,"VT"
5,2012,-0.0753591154532922,0.051330413591411,-0.00290767415315043,"State",2012,"VT"
6,2012,-0.0732043227492659,0.061112257289605,0.000180940635427306,"State",2012,"VT"
7,2012,-0.0603534044253619,0.0543774579817576,0.00237111843062038,"State",2012,"VT"
8,2012,-0.061624289254153,0.0557064846989446,-0.00190289075230473,"State",2012,"VT"
9,2012,-0.0667108182616086,0.05774482089443,-0.00198464302004628,"State",2012,"VT"
10,2012,-0.0620858908391165,0.0563457019761778,-0.00299629661992455,"State",2012,"VT"
