"sample_size","county_id","ban_year","att","rsq","mape","attempt"
3,"boulderM2",2016,0.288018842411747,0.0317946349505257,0.38643355744947,1
3,"seattleM1",2015,0.0618863950796099,0.738959313529671,1.15204144855664e-05,1
4,"boulderM2",2016,0.175973233598422,0.0642184476388676,0.394628895008412,1
4,"seattleM1",2015,-0.216652722976898,0.103248085640124,2.35208103677169e-05,1
5,"boulderM2",2016,0.40581758784141,0.0156950639889958,0.496241106877323,1
5,"seattleM1",2015,0.0887091309002667,0.237274483312404,7.96116512937802e-05,1
6,"boulderM2",2016,0.5838977070835,0.0825954490879116,0.476383256004171,1
6,"seattleM1",2015,-0.0609596735278647,0.0949212154241164,8.69266267354669e-05,1
7,"boulderM2",2016,0.555026001663525,0.195045421626954,0.478761023883186,1
7,"seattleM1",2015,0.0656184508015988,0.171564569866059,0.000102399153825633,1
8,"boulderM2",2016,0.500439849113225,0.00889682479526122,0.496516794766286,1
8,"seattleM1",2015,0.17437101837213,0.0961317847531252,5.50302916072837e-05,1
9,"boulderM2",2016,0.540336258536341,0.0386531336174264,0.504384140689098,1
9,"seattleM1",2015,0.0375666480107112,0.775437381610244,2.7837087224805e-06,1
10,"boulderM2",2016,0.460877907475446,0.0338572328376787,0.511837320171621,1
10,"seattleM1",2015,0.0712496309289584,0.601528329409111,1.44333531220303e-05,1
3,"boulderM2",2016,0.537045992622501,0.0131068431086357,0.426131054140827,2
3,"seattleM1",2015,0.0474760856089138,0.797912960688104,1.26479377431107e-05,2
4,"boulderM2",2016,0.446787865926195,0.000301961726362876,0.450955370242274,2
4,"seattleM1",2015,0.114486527668656,0.540512077575056,0.00015107526504102,2
5,"boulderM2",2016,0.437519411057658,0.271751682909532,0.431026057452636,2
5,"seattleM1",2015,0.146043311860555,0.521069877065773,1.11382682985871e-05,2
6,"boulderM2",2016,0.57192064277993,0.106055110211301,0.475504790707875,2
6,"seattleM1",2015,0.106556273830072,0.242703673100469,2.19336970760777e-05,2
7,"boulderM2",2016,0.398666224777782,0.024910058348354,0.489500686052989,2
7,"seattleM1",2015,0.161188787377937,0.877275212802747,4.21462493843698e-06,2
8,"boulderM2",2016,0.538291261307147,0.12061921418581,0.485140082625053,2
8,"seattleM1",2015,0.200124592076476,0.0142445441613906,0.000243332716686625,2
9,"boulderM2",2016,0.554810104069578,0.10849210306061,0.483369896967123,2
