state_name,composting_facility,lat,long,data_type,capacity
California,WCCSLF Organic Materials Processing,37.96971,-122.37896,gov,
California,MidValley Disposal Transfer Recycling St,36.70763,-120.06684,gov,
California,Liberty Composting Inc.,35.67333,-119.78783,gov,
California,Recology Blossom Valley Organics- South,35.19777,-118.91896,gov,
California,Mt Vernon Ave Recycling & Composting Fac,35.32753,-118.9675,gov,
California,Kochergen Farms Composting,36.08736,-120.07519,gov,
California,South Lake Resource Recovery and Compost,38.95361,-122.60366,gov,
California,Pebbly Beach (Avalon) Disposal Site,33.333,-118.31,gov,
California,WM Earthcare of Marin,38.16547,-122.55839,gov,
California,"Cold Creek Compost, Inc.",39.2514,-123.10071,gov,
California,Johnson Canyon Sanitary Landfill,36.53167,-121.40667,gov,
California,Monterey Peninsula Landfill,36.70961,-121.76223,gov,
California,Gabilan Ag Services,36.716,-121.77222,gov,
California,"Converted Organics of California, LLC",36.53512,-121.4046,gov,
California,"AgroThrive, Inc.",36.53543,-121.4628,gov,
California,Clover Flat Resource Recovery Park,38.584,-122.534,gov,
California,Upper Valley Disposal Service,38.47512,-122.43835,gov,
California,City of Napa Material Diversion Facility,38.20969,-122.26421,gov,
California,Tierra Verde Industries EcoCentre,33.67303,-117.75086,gov,
California,Coachella Valley Compost,33.72751,-116.14377,gov,
California,Lamb Canyon Compost Facility,33.88603,-116.99744,gov,
California,West Valley Materials Recvr`y Facility,34.08942,-117.51106,gov,
California,Victor Valley MRF & Transfer Station,34.56243,-117.2958,gov,
California,Victor Valley Regional Composting Fac.,34.60876,-117.35474,gov,
California,Huerta del Valle Ontario Carbon Farm,34.01123,-117.61837,gov,
California,El Corazon Compost Facility,33.20485,-117.32057,gov,
California,Miramar Greenery,32.85477,-117.15747,gov,
California,Forward Resource Recovery Facility,37.87167,-121.1848,gov,
California,Tracy Material Recovery & T.S.,37.67803,-121.41618,gov,
California,Central Valley Compost,37.84812,-121.30781,gov,
California,"B. Goodrow, Inc. Composting",35.45382,-120.47834,gov,
California,Engel & Gray Inc,34.95511,-120.50189,gov,
California,Z-Best Composting Facility,36.94889,-121.52111,gov,
California,South Valley Organic Composting Facility,36.99739,-121.47864,gov,
California,Newby Island Compost Facility,37.4547,-121.923,gov,
California,Jepson Prairie Organics Composting Fac,38.31361,-121.8372,gov,
California,Modesto Co-Compost Facility,37.53659,-121.07328,gov,
California,Recology Blossom Valley Organics N Verna,37.59648,-121.31485,gov,
California,South Valley Compost Site,36.23329,-119.2682,gov,
California,WC Wood Industries,36.32106,-119.40429,gov,
California,Yolo County Central Landfill,38.59641,-121.6824,gov,
California,Yolo County Central Landfill,38.59641,-121.6824,gov,
California,Recology Ostrom Organics,39.07343,-121.40866,gov,
California,Davis Street Transfer Station,37.71225,-122.19372,gov,
California,"Rialto BioEnergy Facility, LLC",34.05315,-117.35999,gov,
California,"HZIU Kompogas SLO, Inc.",35.24024,-120.65122,gov,
California,Zero Waste to Energy Development Co. AD,37.4325,-121.95285,gov,
California,Pixley Biogas,36.00277,-119.30305,gov,
Connecticut,Bright Feeds,41.6350027,-72.74446835,gov,
Connecticut,WeCare Denali  New England ,41.70407842,-72.82313559,gov,
