state_name,state_id,sq_miles
Alabama,AL,52420
Alaska,AK,663267
Arizona,AZ,113990
Arkansas,AR,53179
California,CA,163695
Colorado,CO,104094
Connecticut,CT,5543
Delaware,DE,2489
Florida,FL,65758
Georgia,GA,59425
Hawaii,HI,10932
Idaho,ID,83569
Illinois,IL,57914
Indiana,IN,36420
Iowa,IA,56273
Kansas,KS,82278
Kentucky,KY,40408
Louisiana,LA,52378
Maine,ME,35380
Maryland,MD,12406
Massachusetts,MA,10554
Michigan,MI,96714
Minnesota,MN,86136
Mississippi,MS,48432
Missouri,MO,69707
Montana,MT,147040
Nebraska,NE,77348
Nevada,NV,110572
New Hampshire,NH,9349
New Jersey,NJ,8723
New Mexico,NM,121590
New York,NY,54555
North Carolina,NC,53819
North Dakota,ND,70698
Ohio,OH,44826
Oklahoma,OK,69899
Oregon,OR,98379
Pennsylvania,PA,46054
Rhode Island,RI,1545
South Carolina,SC,32020
South Dakota,SD,77116
Tennessee,TN,42144
Texas,TX,268596
Utah,UT,84897
Vermont,VT,9616
Virginia,VA,42775
Washington,WA,71298
West Virginia,WV,24230
Wisconsin,WI,65496
Wyoming,WY,97813
