state_id,county_name,sq_miles
CA,Alameda,739
CA,Alpine,738
CA,Amador,606
CA,Butte,1636
CA,Calaveras,1020
CA,Colusa,1151
CA,Contra Costa,715
CA,Del Norte,1007
CA,El Dorado,1707
CA,Fresno,5957
CA,Glenn,1315
CA,Humboldt,3504
CA,Imperial,4176
CA,Inyo,10180
CA,Kern,8160
CA,Kings,1392
CA,Lake,1310
CA,Lassen,4529
CA,Los Angeles,4057
CA,Madera,2130
CA,Marin,520
CA,Mariposa,1440
CA,Mendocino,3508
CA,Merced,1935
CA,Modoc,3921
CA,Mono,3033
CA,Monterey,3324
CA,Napa,748
CA,Nevada,957
CA,Orange,791
CA,Placer,1403
CA,Plumas,2555
CA,Riverside,7207
CA,Sacramento,965
CA,San Benito,1389
CA,San Bernardino,20315
CA,San Diego,4205
CA,San Francisco,47
CA,San Joaquin,1391
CA,San Luis Obispo,3326
CA,San Mateo,449
CA,Santa Barbara,2735
CA,Santa Clara,1290
CA,Santa Cruz,445
CA,Shasta,3773
CA,Sierra,953
CA,Siskiyou,6287
CA,Solano,822
CA,Sonoma,1572
CA,Stanislaus,1496
CA,Sutter,602
CA,Tehama,2956
CA,Trinity,3171
CA,Tulare,4831
CA,Tuolumne,2212
CA,Ventura,1845
CA,Yolo,1013
CA,Yuba,631
CO,Adams,1183
CO,Alamosa,723
CO,Arapahoe,805
CO,Archuleta,1357
CO,Baca,2556
CO,Bent,1548
CO,Boulder,726
CO,Broomfield,33
CO,Chaffee,1017
CO,Cheyenne,1782
CO,Clear Creek,396
CO,Conejos,1290
CO,Costilla,1228
CO,Crowley,800
CO,Custer,739
CO,Delta,1168
CO,Denver,153
CO,Dolores,1061
CO,Douglas,841
CO,Eagle,1691
CO,Elbert,1851
CO,El Paso,2128
CO,Fremont,1532
CO,Garfield,2950
CO,Gilpin,150
CO,Grand,1869
CO,Gunnison,3250
CO,Hinsdale,1123
CO,Huerfano,1604
CO,Jackson,1621
CO,Jefferson,772
CO,Kiowa,1789
CO,Kit Carson,2160
CO,Lake,379
CO,La Plata,1705
CO,Larimer,2603
CO,Las Animas,4771
CO,Lincoln,2587
CO,Logan,1032
CO,Mesa,3307
CO,Mineral,878
CO,Moffat,4754
CO,Montezuma,2033
CO,Montrose,2249
CO,Morgan,1290
CO,Otero,1252
CO,Ouray,542
CO,Park,2204
CO,Phillips,688
CO,Pitkin,973
CO,Prowers,1633
CO,Pueblo,2393
CO,Rio Blanco,3222
CO,Rio Grande,913
CO,Routt,2368
CO,Saguache,3148
CO,San Juan,388
CO,San Miguel,1161
CO,Sedgwick,548
CO,Summit,608
CO,Teller,559
CO,Washington,2524
CO,Weld,3997
CO,Yuma,2369
CT,Fairfield,625
CT,Hartford,735
CT,Litchfield,921
CT,Middlesex,369
CT,New Haven,605
CT,New London,666
CT,Tolland,410
CT,Windham,513
FL,Alachua,875
FL,Baker,904
FL,Bay,764
FL,Bradford,294
FL,Brevard,1018
FL,Broward,1207
FL,Calhoun,567
FL,Charlotte,694
FL,Citrus,584
FL,Clay,601
FL,Collier,2027
FL,Columbia,798
FL,DeSoto,637
FL,Dixie,704
FL,Duval,762
FL,Escambia,662
FL,Flagler,485
FL,Franklin,534
FL,Gadsden,516
FL,Gilchrist,355
FL,Glades,806
FL,Gulf,564
FL,Hamilton,514
FL,Hardee,638
FL,Hendry,1163
FL,Hernando,478
FL,Highlands,1017
FL,Hillsborough,1060
FL,Holmes,482
FL,Indian River,503
FL,Jackson,920
FL,Jefferson,598
FL,Lafayette,543
FL,Lake,953
FL,Lee,804
FL,Leon,667
FL,Levy,1112
FL,Liberty,836
FL,Madison,691
FL,Manatee,741
FL,Marion,1659
FL,Martin,555
FL,Miami-Dade,1908
FL,Monroe,983
FL,Nassau,649
FL,Okaloosa,930
FL,Okeechobee,773
FL,Orange,906
FL,Osceola,1321
FL,Palm Beach,1969
FL,Pasco,745
FL,Pinellas,274
FL,Polk,1875
FL,Putnam,726
FL,St. Johns,601
FL,St. Lucie,572
FL,Santa Rosa,1072
FL,Sarasota,555
FL,Seminole,309
FL,Sumter,547
FL,Suwannee,688
FL,Taylor,1030
FL,Union,240
FL,Volusia,1127
FL,Wakulla,606
FL,Walton,1034
FL,Washington,580
NJ,Atlantic,561
NJ,Bergen,233
NJ,Burlington,799
NJ,Camden,222
NJ,Cape May,251
NJ,Cumberland,483
NJ,Essex,126
NJ,Gloucester,325
NJ,Hudson,46
NJ,Hunterdon,427
NJ,Mercer,224
NJ,Middlesex,310
NJ,Monmouth,468
NJ,Morris,469
NJ,Ocean,636
NJ,Passaic,185
NJ,Salem,338
NJ,Somerset,305
NJ,Sussex,519
NJ,Union,102
NJ,Warren,358
MN,Aitkin,1816
MN,Anoka,423
MN,Becker,1318
MN,Beltrami,3019
MN,Benton,408
MN,Big Stone,499
MN,Blue Earth,766
MN,Brown,608
MN,Carlton,861
MN,Carver,357
MN,Cass,2026
MN,Chippewa,588
MN,Chisago,416
MN,Clay,1042
MN,Clearwater,1011
MN,Cook,1466
MN,Cottonwood,635
MN,Crow Wing,1157
MN,Dakota,562
MN,Dodge,439
MN,Douglas,634
MN,Faribault,713
MN,Fillmore,862
MN,Freeborn,707
MN,Goodhue,757
MN,Grant,543
MN,Hennepin,556
MN,Houston,553
MN,Hubbard,925
MN,Isanti,451
MN,Itasca,2630
MN,Jackson,703
MN,Kanabec,534
MN,Kandiyohi,861
MN,Kittson,1083
MN,Koochiching,3061
MN,Lac qui Parle,770
MN,Lake,2075
MN,Lake of the Woods,1281
MN,Le Sueur,449
MN,Lincoln,548
MN,Lyon,717
MN,Mahnomen,555
MN,Marshall,1743
MN,Martin,713
MN,McLeod,491
MN,Meeker,610
MN,Mille Lacs,572
MN,Morrison,1124
MN,Mower,711
MN,Murray,704
MN,Nicollet,448
MN,Nobles,715
MN,Norman,877
MN,Olmsted,653
MN,Otter Tail,1970
MN,Pennington,617
MN,Pine,1419
MN,Pipestone,464
MN,Polk,1994
MN,Pope,670
MN,Ramsey,153
MN,Red Lake,881
MN,Redwood,877
MN,Renville,983
MN,Rice,496
MN,Rock,479
MN,Roseau,1675
MN,St. Louis,6981
MN,Scott,356
MN,Sherburne,431
MN,Sibley,589
MN,Stearns,1348
MN,Steele,432
MN,Stevens,574
MN,Swift,752
MN,Todd,980
MN,Traverse,574
MN,Wabasha,548
MN,Wadena,542
MN,Waseca,423
MN,Washington,384
MN,Watonwan,513
MN,Wilkin,750
MN,Winona,626
MN,Wright,664
MN,Yellow Medicine,758
NC,Alamance,428
NC,Alexander,260
NC,Alleghany,235
NC,Anson,532
NC,Ashe,426
NC,Avery,247
NC,Beaufort,827
NC,Bertie,698
NC,Bladen,876
NC,Brunswick,847
NC,Buncombe,657
NC,Burke,507
NC,Cabarrus,365
NC,Caldwell,474
NC,Camden,240
NC,Carteret,505
NC,Caswell,428
NC,Catawba,413
NC,Chatham,682
NC,Cherokee,455
NC,Chowan,233
NC,Clay,218
NC,Cleveland,464
NC,Columbus,937
NC,Craven,774
NC,Cumberland,652
NC,Currituck,261
NC,Dare,383
NC,Davidson,553
NC,Davie,264
NC,Duplin,816
NC,Durham,286
NC,Edgecombe,505
NC,Forsyth,408
NC,Franklin,494
NC,Gaston,356
NC,Gates,340
NC,Graham,301
NC,Granville,537
NC,Greene,266
NC,Guilford,646
NC,Halifax,724
NC,Harnett,595
NC,Haywood,554
NC,Henderson,375
NC,Hertford,353
NC,Hoke,392
NC,Hyde,614
NC,Iredell,574
NC,Jackson,490
NC,Johnston,796
NC,Jones,473
NC,Lee,259
NC,Lenoir,400
NC,Lincoln,297
NC,McDowell,537
NC,Macon,516
NC,Madison,450
NC,Martin,461
NC,Mecklenburg,526
NC,Mitchell,222
NC,Montgomery,502
NC,Moore,696
NC,Nash,543
NC,New Hanover,192
NC,Northampton,550
NC,Onslow,763
NC,Orange,400
NC,Pamlico,336
NC,Pasquotank,227
NC,Pender,870
NC,Perquimans,247
NC,Person,392
NC,Pitt,651
NC,Polk,239
NC,Randolph,783
NC,Richmond,474
NC,Robeson,949
NC,Rockingham,566
NC,Rowan,524
NC,Rutherford,566
NC,Sampson,947
NC,Scotland,318
NC,Stanly,396
NC,Stokes,452
NC,Surry,532
NC,Swain,528
NC,Transylvania,379
NC,Tyrrell,390
NC,Union,640
NC,Vance,253
NC,Wake,835
NC,Warren,444
NC,Washington,348
NC,Watauga,312
NC,Wayne,553
NC,Wilkes,757
NC,Wilson,374
NC,Yadkin,335
NC,Yancey,313
PA,Adams,521
PA,Allegheny,730
PA,Armstrong,654
PA,Beaver,434
PA,Bedford,1017
PA,Berks,857
PA,Blair,527
PA,Bradford,1152
PA,Bucks,607
PA,Butler,789
PA,Cambria,688
PA,Cameron,398
PA,Carbon,381
PA,Centre,1106
PA,Chester,760
PA,Clarion,601
PA,Clearfield,1150
PA,Clinton,888
PA,Columbia,483
PA,Crawford,1009
PA,Cumberland,550
PA,Dauphin,525
PA,Delaware,183
PA,Elk,827
PA,Erie,804
PA,Fayette,790
PA,Forest,427
PA,Franklin,772
PA,Fulton,438
PA,Greene,576
PA,Huntingdon,874
PA,Indiana,827
PA,Jefferson,653
PA,Juniata,394
PA,Lackawanna,459
PA,Lancaster,944
PA,Lawrence,360
PA,Lebanon,362
PA,Lehigh,347
PA,Luzerne,906
PA,Lycoming,1230
PA,McKean,983
PA,Mercer,673
PA,Mifflin,411
PA,Monroe,617
PA,Montgomery,483
PA,Montour,131
PA,Northampton,369
PA,Northumberland,458
PA,Perry,556
PA,Philadelphia,134
PA,Pike,545
PA,Potter,1081
PA,Schuylkill,778
PA,Snyder,329
PA,Somerset,1071
PA,Sullivan,450
PA,Susquehanna,832
PA,Tioga,1122
PA,Union,316
PA,Venango,675
PA,Warren,885
PA,Washington,857
PA,Wayne,751
PA,Westmoreland,1023
PA,Wyoming,405
PA,York,904
OR,Baker,3078
OR,Benton,676
OR,Clackamas,1879
OR,Clatsop,829
OR,Columbia,656
OR,Coos,1597
OR,Crook,2816
OR,Curry,1662
OR,Deschutes,3012
OR,Douglas,5035
OR,Gilliam,1715
OR,Grant,4522
OR,Harney,10126
OR,Hood River,522
OR,Jackson,2793
OR,Jefferson,1774
OR,Josephine,1646
OR,Klamath,5952
OR,Lake,8005
OR,Lane,4569
OR,Lincoln,980
OR,Linn,2293
OR,Malheur,9382
OR,Marion,1223
OR,Morrow,2040
OR,Multnomah,431
OR,Polk,744
OR,Sherman,823
OR,Tillamook,1011
OR,Umatilla,3238
OR,Union,2035
OR,Wallowa,3158
OR,Wasco,2365
OR,Washington,724
OR,Wheeler,1712
OR,Yamhill,716
OH,Adams,584
OH,Allen,404
OH,Ashland,424
OH,Ashtabula,702
OH,Athens,508
OH,Auglaize,401
OH,Belmont,532
OH,Brown,493
OH,Butler,468
OH,Carroll,396
OH,Champaign,429
OH,Clark,397
OH,Clermont,452
OH,Clinton,409
OH,Columbiana,532
OH,Coshocton,564
OH,Crawford,403
OH,Cuyahoga,457
OH,Darke,598
OH,Defiance,414
OH,Delaware,443
OH,Erie,252
OH,Fairfield,505
OH,Fayette,406
OH,Franklin,539
OH,Fulton,407
OH,Gallia,461
OH,Geauga,400
OH,Greene,414
OH,Guernsey,521
OH,Hamilton,405
OH,Hancock,534
OH,Hardin,470
OH,Harrison,401
OH,Henry,417
OH,Highland,553
OH,Hocking,420
OH,Holmes,423
OH,Huron,492
OH,Jackson,419
OH,Jefferson,408
OH,Knox,525
OH,Lake,228
OH,Lawrence,455
OH,Licking,686
OH,Logan,456
OH,Lorain,491
OH,Lucas,341
OH,Madison,466
OH,Mahoning,413
OH,Marion,404
OH,Medina,421
OH,Meigs,430
OH,Mercer,461
OH,Miami,406
OH,Monroe,456
OH,Montgomery,461
OH,Morgan,416
OH,Morrow,407
OH,Muskingum,662
OH,Noble,398
OH,Ottawa,254
OH,Paulding,417
OH,Perry,509
OH,Pickaway,501
OH,Pike,440
OH,Portage,484
OH,Preble,426
OH,Putnam,484
OH,Richland,495
OH,Ross,689
OH,Sandusky,408
OH,Scioto,610
OH,Seneca,550
OH,Shelby,409
OH,Stark,575
OH,Summit,412
OH,Trumbull,616
OH,Tuscarawas,567
OH,Union,431
OH,Van Wert,410
OH,Vinton,415
OH,Warren,405
OH,Washington,632
OH,Wayne,555
OH,Williams,423
OH,Wood,617
OH,Wyandot,407
SC,Abbeville,511
SC,Aiken,1088
SC,Allendale,408
SC,Anderson,715
SC,Bamberg,395
SC,Barnwell,548
SC,Beaufort,576
SC,Berkeley,1228
SC,Calhoun,392
SC,Charleston,916
SC,Cherokee,397
SC,Chester,586
SC,Chesterfield,799
SC,Clarendon,696
SC,Colleton,1064
SC,Darlington,562
SC,Dillon,406
SC,Dorchester,576
SC,Edgefield,507
SC,Fairfield,686
SC,Florence,803
SC,Georgetown,814
SC,Greenville,792
SC,Greenwood,462
SC,Hampton,559
SC,Horry,1132
SC,Jasper,654
SC,Kershaw,740
SC,Lancaster,555
SC,Laurens,713
SC,Lee,411
SC,Lexington,699
SC,Marion,494
SC,Marlboro,482
SC,McCormick,357
SC,Newberry,630
SC,Oconee,625
SC,Orangeburg,1099
SC,Pickens,497
SC,Richland,772
SC,Saluda,454
SC,Spartanburg,810
SC,Sumter,682
SC,Union,515
SC,Williamsburg,934
SC,York,682
TN,Anderson,337
TN,Bedford,474
TN,Benton,394
TN,Bledsoe,407
TN,Blount,558
TN,Bradley,476
TN,Campbell,480
TN,Cannon,265
TN,Carroll,599
TN,Carter,340
TN,Cheatham,307
TN,Chester,287
TN,Claiborne,429
TN,Clay,237
TN,Cocke,434
TN,Coffee,429
TN,Crockett,266
TN,Cumberland,681
TN,Davidson,475
TN,Decatur,333
TN,DeKalb,305
TN,Dickson,491
TN,Dyer,511
TN,Fayette,705
TN,Fentress,499
TN,Franklin,560
TN,Gibson,604
TN,Giles,610
TN,Grainger,280
TN,Greene,624
TN,Grundy,361
TN,Hamblen,161
TN,Hamilton,542
TN,Hancock,223
TN,Hardeman,656
TN,Hardin,578
TN,Hawkins,487
TN,Haywood,534
TN,Henderson,520
TN,Henry,562
TN,Hickman,613
TN,Houston,207
TN,Humphreys,533
TN,Jackson,308
TN,Jefferson,274
TN,Johnson,299
TN,Knox,509
TN,Lake,150
TN,Lauderdale,467
TN,Lawrence,618
TN,Lewis,282
TN,Lincoln,571
TN,Loudon,228
TN,Macon,307
TN,Madison,559
TN,Marion,500
TN,Marshall,376
TN,Maury,615
TN,McMinn,430
TN,McNairy,564
TN,Meigs,195
TN,Monroe,635
TN,Montgomery,539
TN,Moore,129
TN,Morgan,522
TN,Obion,544
TN,Overton,433
TN,Perry,415
TN,Pickett,163
TN,Polk,435
TN,Putnam,401
TN,Rhea,316
TN,Roane,361
TN,Robertson,476
TN,Rutherford,619
TN,Scott,533
TN,Sequatchie,219
TN,Sevier,593
TN,Shelby,755
TN,Smith,314
TN,Stewart,458
TN,Sullivan,413
TN,Sumner,529
TN,Tipton,459
TN,Trousdale,113
TN,Unicoi,187
TN,Union,247
TN,Van Buren,273
TN,Warren,434
TN,Washington,326
TN,Wayne,736
TN,Weakley,536
TN,White,377
TN,Williamson,583
TN,Wilson,571
WA,Adams,1916
WA,Asotin,636
WA,Benton,1701
WA,Chelan,2927
WA,Clallam,1711
WA,Clark,629
WA,Columbia,870
WA,Cowlitz,1157
WA,Douglas,1790
WA,Ferry,2086
WA,Franklin,1244
WA,Garfield,710
WA,Grant,2715
WA,Grays Harbor,1916
WA,Island,208
WA,Jefferson,1794
WA,King,2136
WA,Kitsap,393
WA,Kittitas,2293
WA,Klickitat,1903
WA,Lewis,2385
WA,Lincoln,2517
WA,Mason,959
WA,Okanogan,5299
WA,Pacific,933
WA,Pend Oreille,1409
WA,Pierce,1646
WA,San Juan,174
WA,Skagit,1767
WA,Skamania,1632
WA,Snohomish,2070
WA,Spokane,1781
WA,Stevens,2556
WA,Thurston,722
WA,Wahkiakum,263
WA,Walla Walla,1274
WA,Whatcom,2105
WA,Whitman,2155
WA,Yakima,4251
NM,Bernalillo,1175
NM,Catron,6926
NM,Chaves,6088
NM,Cibola,4549
NM,Colfax,3964
NM,Curry,1391
NM,De Baca,2303
NM,Doña Ana,3809
NM,Eddy,4013
NM,Grant,3630
NM,Guadalupe,3406
NM,Harding,2219
NM,Hidalgo,3446
NM,Lea,4446
NM,Lincoln,4633
NM,Los Alamos,109
NM,Luna,2987
NM,McKinley,5411
NM,Mora,1934
NM,Otero,6322
NM,Quay,2740
NM,Rio Arriba,5866
NM,Roosevelt,2295
NM,San Juan,5549
NM,San Miguel,4727
NM,Sandoval,3775
NM,Santa Fe,1920
NM,Sierra,4035
NM,Socorro,6651
NM,Taos,2220
NM,Torrance,3354
NM,Union,3890
NM,Valencia,1069
NV,Carson City,143
NV,Churchill,4740
NV,Clark,7910
NV,Douglas,7109
NV,Elko,17148
NV,Esmeralda,3589
NV,Eureka,4189
NV,Humboldt,9593
NV,Lander,5499
NV,Lincoln,10107
NV,Lyon,1965
NV,Mineral,3813
NV,Nye,18136
NV,Pershing,6024
NV,Storey,263
NV,Washoe,6358
NV,White Pine,8883
NY,Albany,523
NY,Allegany,1033
NY,Bronx,57
NY,Broome,706
NY,Cattaraugus,1311
NY,Cayuga,691
NY,Chautauqua,1061
NY,Chemung,407
NY,Chenango,895
NY,Clinton,1056
NY,Columbia,634
NY,Cortland,498
NY,Delaware,1449
NY,Dutchess,800
NY,Erie,1041
NY,Essex,1817
NY,Franklin,1601
NY,Fulton,496
NY,Genesee,492
NY,Greene,647
NY,Hamilton,1711
NY,Herkimer,1419
NY,Jefferson,1294
NY,Kings (Brooklyn),71
NY,Lewis,1285
NY,Livingston,632
NY,Madison,656
NY,Monroe,657
NY,Montgomery,403
NY,Nassau,287
NY,New York (Manhattan),23
NY,Niagara,522
NY,Oneida,1227
NY,Onondaga,778
NY,Ontario,644
NY,Orange,816
NY,Orleans,391
NY,Oswego,952
NY,Otsego,1002
NY,Putnam,230
NY,Queens,108
NY,Rensselaer,652
NY,Richmond (Staten Island),57
NY,Rockland,173
NY,Saratoga,810
NY,Schenectady,206
NY,Schoharie,622
NY,Schuyler,328
NY,Seneca,324
NY,St. Lawrence,2683
NY,Steuben,1398
NY,Suffolk,912
NY,Sullivan,968
NY,Tioga,516
NY,Tompkins,473
NY,Ulster,1115
NY,Warren,867
NY,Washington,832
NY,Wayne,604
NY,Westchester,430
NY,Wyoming,592
NY,Yates,491
