county_name,municipality_name,year,pop
alameda,alameda,1970,70968
alameda,albany,1970,15561
alameda,berkeley,1970,114091
alameda,dublin,1970,0
alameda,emeryville,1970,2681
alameda,fremont,1970,100869
alameda,hayward,1970,93058
alameda,livermore,1970,37703
alameda,newark,1970,27153
alameda,oakland,1970,361561
alameda,piedmont,1970,10917
alameda,pleasanton,1970,18328
alameda,san leandro,1970,68698
alameda,unincorporated alameda,1970,135134
alameda,union city,1970,14724
alpine,unincorporated alpine,1970,484
amador,amador,1970,156
amador,ione,1970,2369
amador,jackson,1970,1924
amador,plymouth,1970,501
amador,sutter creek,1970,1508
amador,unincorporated amador,1970,5363
butte,biggs,1970,1115
butte,chico,1970,19580
butte,gridley,1970,3534
butte,oroville,1970,7536
butte,paradise,1970,0
butte,unincorporated butte,1970,70204
calaveras,angels camp,1970,1710
calaveras,unincorporated calaveras,1970,11875
colusa,colusa,1970,3842
colusa,unincorporated colusa,1970,7017
colusa,williams,1970,1571
contra costa,antioch,1970,28060
contra costa,brentwood,1970,2649
contra costa,clayton,1970,1385
contra costa,concord,1970,85164
contra costa,danville,1970,0
contra costa,el cerrito,1970,25190
contra costa,hercules,1970,252
contra costa,lafayette,1970,20484
contra costa,martinez,1970,16506
contra costa,moraga,1970,0
contra costa,oakley,1970,0
contra costa,orinda,1970,0
contra costa,pinole,1970,13266
contra costa,pittsburg,1970,21423
contra costa,pleasant hill,1970,24610
contra costa,richmond,1970,79043
contra costa,san pablo,1970,21461
contra costa,san ramon,1970,0
contra costa,unincorporated contra costa,1970,176779
contra costa,walnut creek,1970,39844
del norte,crescent city,1970,2586
del norte,unincorporated del norte,1970,11994
el dorado,placerville,1970,5416
el dorado,south lake tahoe,1970,12921
el dorado,unincorporated el dorado,1970,25496
fresno,clovis,1970,13856
fresno,coalinga,1970,6161
fresno,firebaugh,1970,2517
fresno,fowler,1970,2239
fresno,fresno,1970,165972
fresno,huron,1970,1525
fresno,kerman,1970,2667
fresno,kingsburg,1970,3843
fresno,mendota,1970,2705
fresno,orange cove,1970,3392
fresno,parlier,1970,1993
fresno,reedley,1970,8131
fresno,san joaquin,1970,1506
fresno,sanger,1970,10088
fresno,selma,1970,7459
fresno,unincorporated fresno,1970,179275
glenn,orland,1970,2884
glenn,unincorporated glenn,1970,10552
glenn,willows,1970,4085
humboldt,arcata,1970,8985
humboldt,blue lake,1970,1112
humboldt,eureka,1970,24337
humboldt,ferndale,1970,1352
humboldt,fortuna,1970,4203
humboldt,rio dell,1970,2817
humboldt,trinidad,1970,300
humboldt,unincorporated humboldt,1970,56586
imperial,brawley,1970,13746
imperial,calexico,1970,10625
imperial,calipatria,1970,1824
imperial,el centro,1970,19272
imperial,holtville,1970,3496
imperial,imperial,1970,3094
imperial,unincorporated imperial,1970,21260
imperial,westmorland,1970,1175
inyo,bishop,1970,3498
inyo,unincorporated inyo,1970,12073
kern,arvin,1970,5199
kern,bakersfield,1970,69515
kern,california city,1970,1309
kern,delano,1970,14559
kern,maricopa,1970,740
kern,mcfarland,1970,4177
kern,ridgecrest,1970,7629
kern,shafter,1970,5327
kern,taft,1970,4285
kern,tehachapi,1970,4211
kern,unincorporated kern,1970,205014
kern,wasco,1970,8269
kings,avenal,1970,0
kings,corcoran,1970,5249
kings,hanford,1970,15179
kings,lemoore,1970,4219
kings,unincorporated kings,1970,42070
lake,clearlake,1970,0
lake,lakeport,1970,3005
lake,unincorporated lake,1970,16543
lassen,susanville,1970,6608
lassen,unincorporated lassen,1970,10188
los angeles,agoura hills,1970,0
los angeles,alhambra,1970,62125
los angeles,arcadia,1970,45138
los angeles,artesia,1970,14757
los angeles,avalon,1970,1520
los angeles,azusa,1970,25217
los angeles,baldwin park,1970,47285
los angeles,bell,1970,22098
los angeles,bell gardens,1970,29308
los angeles,bellflower,1970,52334
los angeles,beverly hills,1970,33416
los angeles,bradbury,1970,838
los angeles,burbank,1970,88871
los angeles,calabasas,1970,0
los angeles,carson,1970,72358
los angeles,cerritos,1970,15856
los angeles,claremont,1970,24776
los angeles,commerce,1970,10635
los angeles,compton,1970,78547
los angeles,covina,1970,30395
los angeles,cudahy,1970,16998
los angeles,culver city,1970,34451
los angeles,diamond bar,1970,0
los angeles,downey,1970,88573
los angeles,duarte,1970,14981
los angeles,el monte,1970,69892
los angeles,el segundo,1970,15620
los angeles,gardena,1970,41021
los angeles,glendale,1970,132664
los angeles,glendora,1970,31380
los angeles,hawaiian gardens,1970,9052
los angeles,hawthorne,1970,53304
los angeles,hermosa beach,1970,17412
los angeles,hidden hills,1970,1529
los angeles,huntington park,1970,33482
los angeles,industry,1970,712
los angeles,inglewood,1970,89985
los angeles,irwindale,1970,784
los angeles,la canada flintridge,1970,0
los angeles,la habra heights,1970,0
los angeles,la mirada,1970,30808
los angeles,la puente,1970,31092
los angeles,la verne,1970,12965
los angeles,lakewood,1970,83025
los angeles,lancaster,1970,0
los angeles,lawndale,1970,24825
los angeles,lomita,1970,19784
los angeles,long beach,1970,358879
los angeles,los angeles,1970,2811801
los angeles,lynwood,1970,43354
los angeles,malibu,1970,0
los angeles,manhattan beach,1970,35352
los angeles,maywood,1970,16996
los angeles,monrovia,1970,30562
los angeles,montebello,1970,42807
los angeles,monterey park,1970,49166
los angeles,norwalk,1970,90164
los angeles,palmdale,1970,8511
los angeles,palos verdes estates,1970,13631
los angeles,paramount,1970,34734
los angeles,pasadena,1970,112951
los angeles,pico rivera,1970,54170
los angeles,pomona,1970,87384
los angeles,rancho palos verdes,1970,0
los angeles,redondo beach,1970,57451
los angeles,rolling hills,1970,2050
los angeles,rolling hills estates,1970,6735
los angeles,rosemead,1970,40972
los angeles,san dimas,1970,15692
los angeles,san fernando,1970,16571
los angeles,san gabriel,1970,29336
los angeles,san marino,1970,14177
los angeles,santa clarita,1970,0
los angeles,santa fe springs,1970,14750
los angeles,santa monica,1970,88289
los angeles,sierra madre,1970,12140
los angeles,signal hill,1970,5588
los angeles,south el monte,1970,13443
los angeles,south gate,1970,56909
los angeles,south pasadena,1970,22979
los angeles,temple city,1970,31034
los angeles,torrance,1970,134968
los angeles,unincorporated los angeles,1970,1031471
los angeles,vernon,1970,261
los angeles,walnut,1970,5992
los angeles,west covina,1970,68034
los angeles,west hollywood,1970,0
los angeles,westlake village,1970,0
los angeles,whittier,1970,72863
madera,chowchilla,1970,4349
madera,madera,1970,16044
madera,unincorporated madera,1970,21126
marin,belvedere,1970,2599
marin,corte madera,1970,8464
marin,fairfax,1970,7661
marin,larkspur,1970,10487
marin,mill valley,1970,12942
marin,novato,1970,31006
marin,ross,1970,2742
marin,san anselmo,1970,13031
marin,san rafael,1970,38977
marin,sausalito,1970,6158
marin,tiburon,1970,6209
marin,unincorporated marin,1970,68376
mariposa,unincorporated mariposa,1970,6015
mendocino,fort bragg,1970,4455
mendocino,point arena,1970,424
mendocino,ukiah,1970,10095
mendocino,unincorporated mendocino,1970,33036
mendocino,willits,1970,3091
merced,atwater,1970,11640
merced,dos palos,1970,2496
merced,gustine,1970,2793
merced,livingston,1970,2588
merced,los banos,1970,9188
merced,merced,1970,22670
merced,unincorporated merced,1970,53254
modoc,alturas,1970,2799
modoc,unincorporated modoc,1970,4670
mono,mammoth lakes,1970,0
mono,unincorporated mono,1970,4016
monterey,carmel-by-the-sea,1970,4525
monterey,del rey oaks,1970,1823
monterey,gonzales,1970,2575
monterey,greenfield,1970,2608
monterey,king city,1970,3717
monterey,marina,1970,0
monterey,monterey,1970,26302
monterey,pacific grove,1970,13505
monterey,salinas,1970,58896
monterey,sand city,1970,212
monterey,seaside,1970,36883
monterey,soledad,1970,4222
monterey,unincorporated monterey,1970,92182
napa,american canyon,1970,0
napa,calistoga,1970,1882
napa,napa,1970,36103
napa,st. helena,1970,3173
napa,unincorporated napa,1970,35650
napa,yountville,1970,2332
nevada,grass valley,1970,5149
nevada,nevada city,1970,2314
nevada,truckee,1970,0
nevada,unincorporated nevada,1970,18883
orange,aliso viejo,1970,0
orange,anaheim,1970,166408
orange,brea,1970,18447
orange,buena park,1970,63646
orange,costa mesa,1970,72660
orange,cypress,1970,31569
orange,dana point,1970,0
orange,fountain valley,1970,31886
orange,fullerton,1970,85987
orange,garden grove,1970,121155
orange,huntington beach,1970,115960
orange,irvine,1970,0
orange,la habra,1970,41350
orange,la palma,1970,9687
orange,laguna beach,1970,14550
orange,laguna hills,1970,0
orange,laguna niguel,1970,0
orange,laguna woods,1970,0
orange,lake forest,1970,0
orange,lake forest,1970,0
orange,los alamitos,1970,11346
orange,mission viejo,1970,0
orange,newport beach,1970,49582
orange,orange,1970,77365
orange,placentia,1970,21948
orange,rancho santa margarita,1970,0
orange,san clemente,1970,17063
orange,san juan capistrano,1970,3781
orange,santa ana,1970,155710
orange,seal beach,1970,24441
orange,stanton,1970,18186
orange,tustin,1970,22190
orange,unincorporated orange,1970,171661
orange,villa park,1970,2723
orange,westminster,1970,60076
orange,yorba linda,1970,11856
placer,auburn,1970,6570
placer,colfax,1970,798
placer,lincoln,1970,3176
placer,loomis,1970,0
placer,rocklin,1970,3039
placer,roseville,1970,18221
placer,unincorporated placer,1970,45828
plumas,portola,1970,1625
plumas,unincorporated plumas,1970,10082
riverside,banning,1970,12034
riverside,beaumont,1970,5484
riverside,blythe,1970,7047
riverside,calimesa,1970,0
riverside,canyon lake,1970,0
riverside,cathedral city,1970,0
riverside,coachella,1970,8353
riverside,corona,1970,27519
riverside,desert hot springs,1970,2738
riverside,eastvale,1970,0
riverside,hemet,1970,12252
riverside,indian wells,1970,760
riverside,indio,1970,14459
riverside,jurupa valley,1970,0
riverside,la quinta,1970,0
riverside,lake elsinore,1970,3530
riverside,menifee,1970,0
riverside,moreno valley,1970,0
riverside,murrieta,1970,0
riverside,norco,1970,14511
riverside,palm desert,1970,0
riverside,palm springs,1970,20936
riverside,perris,1970,4228
riverside,rancho mirage,1970,0
riverside,riverside,1970,140089
riverside,san jacinto,1970,4385
riverside,temecula,1970,0
riverside,unincorporated riverside,1970,178591
riverside,wildomar,1970,0
sacramento,citrus heights,1970,0
sacramento,elk grove,1970,0
sacramento,folsom,1970,5810
sacramento,galt,1970,3200
sacramento,isleton,1970,909
sacramento,rancho cordova,1970,0
sacramento,sacramento,1970,257105
sacramento,unincorporated sacramento,1970,367349
san benito,hollister,1970,7663
san benito,san juan bautista,1970,1164
san benito,unincorporated san benito,1970,9399
san bernardino,adelanto,1970,0
san bernardino,apple valley,1970,0
san bernardino,barstow,1970,17442
san bernardino,big bear lake,1970,0
san bernardino,chino,1970,20411
san bernardino,chino hills,1970,0
san bernardino,colton,1970,20216
san bernardino,fontana,1970,20673
san bernardino,grand terrace,1970,0
san bernardino,hesperia,1970,0
san bernardino,highland,1970,0
san bernardino,loma linda,1970,0
san bernardino,montclair,1970,22546
san bernardino,needles,1970,4051
san bernardino,ontario,1970,64118
san bernardino,rancho cucamonga,1970,0
san bernardino,redlands,1970,36355
san bernardino,rialto,1970,28370
san bernardino,san bernardino,1970,106869
san bernardino,twentynine palms,1970,0
san bernardino,unincorporated san bernardino,1970,297786
san bernardino,upland,1970,32551
san bernardino,victorville,1970,10845
san bernardino,yucaipa,1970,0
san bernardino,yucca valley,1970,0
san diego,carlsbad,1970,14944
san diego,chula vista,1970,67901
san diego,coronado,1970,20020
san diego,del mar,1970,3956
san diego,el cajon,1970,52273
san diego,encinitas,1970,0
san diego,escondido,1970,36792
san diego,imperial beach,1970,20244
san diego,la mesa,1970,39178
san diego,lemon grove,1970,0
san diego,national city,1970,43184
san diego,oceanside,1970,40494
san diego,poway,1970,0
san diego,san diego,1970,697471
san diego,san marcos,1970,3896
san diego,santee,1970,0
san diego,solana beach,1970,0
san diego,unincorporated san diego,1970,292813
san diego,vista,1970,24688
san francisco,san francisco,1970,715674
san joaquin,escalon,1970,2366
san joaquin,lathrop,1970,0
san joaquin,lodi,1970,28691
san joaquin,manteca,1970,13845
san joaquin,ripon,1970,2679
san joaquin,stockton,1970,109963
san joaquin,tracy,1970,14724
san joaquin,unincorporated san joaquin,1970,118805
san luis obispo,arroyo grande,1970,7454
san luis obispo,atascadero,1970,0
san luis obispo,el paso de robles,1970,7168
san luis obispo,grover city,1970,5939
san luis obispo,morro bay,1970,7109
san luis obispo,pismo beach,1970,4043
san luis obispo,san luis obispo,1970,28036
san luis obispo,unincorporated san luis obispo,1970,45941
san mateo,atherton,1970,8085
san mateo,belmont,1970,23538
san mateo,brisbane,1970,3003
san mateo,burlingame,1970,27320
