year,county_name,state_name,educ_10
2000,Autauga,Alabama,6.4
2000,Baldwin,Alabama,6.9
2000,Barbour,Alabama,0.9
2000,Bibb,Alabama,3
2000,Blount,Alabama,1
2000,Bullock,Alabama,0
2000,Butler,Alabama,1.9
2000,Calhoun,Alabama,4
2000,Chambers,Alabama,2.7
2000,Cherokee,Alabama,4.1
2000,Chilton,Alabama,4.2
2000,Choctaw,Alabama,0.4
2000,Clarke,Alabama,0.8
2000,Clay,Alabama,4.7
2000,Cleburne,Alabama,4.9
2000,Coffee,Alabama,13.4
2000,Colbert,Alabama,5.3
2000,Conecuh,Alabama,0.7
2000,Coosa,Alabama,0.7
2000,Covington,Alabama,3.3
2000,Crenshaw,Alabama,6.1
2000,Cullman,Alabama,2
2000,Dale,Alabama,7.7
2000,Dallas,Alabama,5.1
2000,DeKalb,Alabama,2.2
2000,Elmore,Alabama,3.9
2000,Escambia,Alabama,1
2000,Etowah,Alabama,5
2000,Fayette,Alabama,5
2000,Franklin,Alabama,2.2
2000,Geneva,Alabama,3.5
2000,Greene,Alabama,1.5
2000,Hale,Alabama,1.9
2000,Henry,Alabama,3.7
2000,Houston,Alabama,4.8
2000,Jackson,Alabama,3.8
2000,Jefferson,Alabama,10.9
2000,Lamar,Alabama,3.3
2000,Lauderdale,Alabama,5.5
2000,Lawrence,Alabama,2
2000,Lee,Alabama,10
2000,Limestone,Alabama,6.9
2000,Lowndes,Alabama,2.6
2000,Macon,Alabama,2.6
2000,Madison,Alabama,8.4
2000,Marengo,Alabama,1.4
2000,Marion,Alabama,1
2000,Marshall,Alabama,4.5
2000,Mobile,Alabama,7
2000,Monroe,Alabama,0.5
2000,Montgomery,Alabama,6.9
2000,Morgan,Alabama,3.9
2000,Perry,Alabama,2.5
2000,Pickens,Alabama,1.1
2000,Pike,Alabama,8.2
2000,Randolph,Alabama,1.7
2000,Russell,Alabama,2.4
2000,St. Clair,Alabama,2.9
2000,Shelby,Alabama,12.2
2000,Sumter,Alabama,3.6
2000,Talladega,Alabama,2.7
2000,Tallapoosa,Alabama,6.9
2000,Tuscaloosa,Alabama,9.6
2000,Walker,Alabama,4.1
2000,Washington,Alabama,1.7
2000,Wilcox,Alabama,0
2000,Winston,Alabama,1
2000,Aleutians East Borough,Alaska,0.8
2000,Aleutians West Census Area,Alaska,0.3
2000,Anchorage Municipality,Alaska,5.8
2000,Bethel Census Area,Alaska,0.8
2000,Bristol Bay Borough,Alaska,0
2000,Denali Borough,Alaska,0
2000,Dillingham Census Area,Alaska,1.3
2000,Fairbanks North Star Borough,Alaska,4.6
2000,Haines Borough,Alaska,0
2000,Hoonah-Angoon Census Area,Alaska,3.6
2000,Juneau City and Borough,Alaska,6.5
