year,county_name,state_name,educ_20_num,pop_25_over,educ_20
2020,Autauga,Alabama,612,37860,1.62
2020,Baldwin,Alabama,1360,155563,0.87
2020,Barbour,Alabama,84,17797,0.47
2020,Bibb,Alabama,24,15987,0.15
2020,Blount,Alabama,127,39814,0.32
2020,Bullock,Alabama,44,6784,0.65
2020,Butler,Alabama,52,13820,0.38
2020,Calhoun,Alabama,849,78967,1.08
2020,Chambers,Alabama,89,23771,0.37
2020,Cherokee,Alabama,59,19143,0.31
2020,Chilton,Alabama,39,30153,0.13
2020,Choctaw,Alabama,25,9263,0.27
2020,Clarke,Alabama,111,16703,0.66
2020,Clay,Alabama,16,9371,0.17
2020,Cleburne,Alabama,38,10538,0.36
2020,Coffee,Alabama,247,35936,0.69
2020,Colbert,Alabama,159,39077,0.41
2020,Conecuh,Alabama,0,8826,0
2020,Coosa,Alabama,29,8281,0.35
2020,Covington,Alabama,142,26366,0.54
2020,Crenshaw,Alabama,26,9684,0.27
2020,Cullman,Alabama,191,58084,0.33
2020,Dale,Alabama,341,33522,1.02
2020,Dallas,Alabama,100,25611,0.39
2020,DeKalb,Alabama,280,48306,0.58
2020,Elmore,Alabama,250,56633,0.44
2020,Escambia,Alabama,100,25703,0.39
2020,Etowah,Alabama,339,72188,0.47
2020,Fayette,Alabama,24,11572,0.21
2020,Franklin,Alabama,88,21071,0.42
2020,Geneva,Alabama,33,18688,0.18
2020,Greene,Alabama,67,5768,1.16
2020,Hale,Alabama,8,10023,0.08
2020,Henry,Alabama,20,12214,0.16
2020,Houston,Alabama,444,72863,0.61
2020,Jackson,Alabama,50,37102,0.13
2020,Jefferson,Alabama,7862,450079,1.75
2020,Lamar,Alabama,53,9810,0.54
2020,Lauderdale,Alabama,980,64089,1.53
2020,Lawrence,Alabama,163,23401,0.7
2020,Lee,Alabama,3410,99315,3.43
2020,Limestone,Alabama,657,67974,0.97
2020,Lowndes,Alabama,32,6892,0.46
2020,Macon,Alabama,122,11932,1.02
2020,Madison,Alabama,4610,252546,1.83
2020,Marengo,Alabama,34,13025,0.26
2020,Marion,Alabama,78,21297,0.37
2020,Marshall,Alabama,359,64322,0.56
2020,Mobile,Alabama,2689,279795,0.96
2020,Monroe,Alabama,134,14691,0.91
2020,Montgomery,Alabama,1646,150749,1.09
2020,Morgan,Alabama,284,82684,0.34
2020,Perry,Alabama,0,5723,0
2020,Pickens,Alabama,119,14386,0.83
2020,Pike,Alabama,762,19310,3.95
2020,Randolph,Alabama,53,15993,0.33
2020,Russell,Alabama,333,39280,0.85
2020,St. Clair,Alabama,392,62328,0.63
2020,Shelby,Alabama,1828,147791,1.24
2020,Sumter,Alabama,16,7657,0.21
2020,Talladega,Alabama,190,56121,0.34
2020,Tallapoosa,Alabama,57,28797,0.2
2020,Tuscaloosa,Alabama,2714,130940,2.07
2020,Walker,Alabama,181,44630,0.41
2020,Washington,Alabama,14,11148,0.13
2020,Wilcox,Alabama,8,7060,0.11
2020,Winston,Alabama,81,17189,0.47
2020,Aleutians East Borough,Alaska,46,2646,1.74
2020,Aleutians West Census Area,Alaska,7,4208,0.17
2020,Anchorage Municipality,Alaska,2072,192345,1.08
2020,Bethel Census Area,Alaska,43,9841,0.44
2020,Bristol Bay Borough,Alaska,5,561,0.89
2020,Chugach Census Area,Alaska,22,4686,0.47
2020,Copper River Census Area,Alaska,0,1880,0
2020,Denali Borough,Alaska,6,1866,0.32
2020,Dillingham Census Area,Alaska,16,2902,0.55
2020,Fairbanks North Star Borough,Alaska,813,61724,1.32
2020,Haines Borough,Alaska,0,1663,0
2020,Hoonah-Angoon Census Area,Alaska,0,1744,0
2020,Juneau City and Borough,Alaska,289,22607,1.28
2020,Kenai Peninsula Borough,Alaska,220,41166,0.53
2020,Ketchikan Gateway Borough,Alaska,63,9690,0.65
2020,Kodiak Island Borough,Alaska,33,8902,0.37
2020,Kusilvak Census Area,Alaska,2,4046,0.05
2020,Lake and Peninsula Borough,Alaska,59,718,8.22
2020,Matanuska-Susitna Borough,Alaska,321,69850,0.46
2020,Nome Census Area,Alaska,27,5525,0.49
2020,North Slope Borough,Alaska,46,6187,0.74
2020,Northwest Arctic Borough,Alaska,16,4251,0.38
2020,Petersburg Borough,Alaska,4,2483,0.16
2020,Prince of Wales-Hyder Census Area,Alaska,11,4458,0.25
2020,Sitka City and Borough,Alaska,49,6121,0.8
2020,Skagway Municipality,Alaska,4,1051,0.38
2020,Southeast Fairbanks Census Area,Alaska,86,4612,1.86
2020,Wrangell City and Borough,Alaska,12,1877,0.64
2020,Yakutat City and Borough,Alaska,3,428,0.7
2020,Yukon-Koyukuk Census Area,Alaska,24,3398,0.71
2020,Apache,Arizona,61,45607,0.13
2020,Cochise,Arizona,359,88371,0.41
2020,Coconino,Arizona,2022,84314,2.4
2020,Gila,Arizona,141,39740,0.35
2020,Graham,Arizona,171,24069,0.71
2020,Greenlee,Arizona,0,5721,0
2020,La Paz,Arizona,7,16600,0.04
2020,Maricopa,Arizona,44629,2952370,1.51
2020,Mohave,Arizona,672,162227,0.41
2020,Navajo,Arizona,375,71918,0.52
2020,Pima,Arizona,10876,699737,1.55
2020,Pinal,Arizona,1736,311415,0.56
2020,Santa Cruz,Arizona,184,29669,0.62
2020,Yavapai,Arizona,530,179549,0.3
2020,Yuma,Arizona,934,134749,0.69
2020,Arkansas,Arkansas,56,12360,0.45
