state_name,state_id,total_education_score,educational_attainment,quality_of_education
Massachusetts,MA,83.03,1,1
Maryland,MD,76.73,4,2
Connecticut,CT,72.06,6,4
Vermont,VT,71.4,3,15
Colorado,CO,69.3,2,37
New Jersey,NJ,68.85,10,6
Virginia,VA,67.33,5,16
New Hampshire,NH,67.2,7,11
Minnesota,MN,63.98,8,24
Utah,UT,63.31,11,12
Washington,WA,63.12,9,25
Rhode Island,RI,58.61,24,5
Delaware,DE,58.05,21,7
New York,NY,57.25,18,14
Oregon,OR,57.22,12,41
Illinois,IL,57.2,17,18
Hawaii,HI,55.97,14,35
Maine,ME,55.94,15,31
Montana,MT,54.99,13,46
Wisconsin,WI,54.52,25,10
Florida,FL,53.26,35,3
Nebraska,NE,52.24,20,38
North Dakota,ND,52.11,22,26
Wyoming,WY,51.64,23,30
Kansas,KS,51.39,16,49
North Carolina,NC,51.3,28,13
Michigan,MI,50.41,26,28
California,CA,49.08,37,8
Alaska,AK,48.82,19,50
Pennsylvania,PA,48.78,27,36
Iowa,IA,48.06,29,29
Georgia,GA,47.87,33,22
Missouri,MO,47.31,31,33
Ohio,OH,46.39,36,21
South Dakota,SD,46.34,30,40
Idaho,ID,46.18,34,32
Arizona,AZ,44.37,32,44
Indiana,IN,42.6,41,9
South Carolina,SC,42.09,38,34
Tennessee,TN,41.16,40,19
Texas,TX,40.14,42,17
New Mexico,NM,36.99,39,48
Kentucky,KY,35.7,46,19
Nevada,NV,35.7,45,23
Oklahoma,OK,35.32,43,42
Alabama,AL,34.46,44,39
Arkansas,AR,30.87,47,27
Louisiana,LA,27.36,48,43
Mississippi,MS,25.64,49,45
West Virginia,WV,22.4,50,47
