year,county_name,state_name,estab
2021,Autauga,Alabama,924
2021,Baldwin,Alabama,5992
2021,Barbour,Alabama,423
2021,Bibb,Alabama,298
2021,Blount,Alabama,726
2021,Bullock,Alabama,114
2021,Butler,Alabama,430
2021,Calhoun,Alabama,2222
2021,Chambers,Alabama,599
2021,Cherokee,Alabama,369
2021,Chilton,Alabama,775
2021,Choctaw,Alabama,244
2021,Clarke,Alabama,594
2021,Clay,Alabama,190
2021,Cleburne,Alabama,178
2021,Coffee,Alabama,991
2021,Colbert,Alabama,1244
2021,Conecuh,Alabama,206
2021,Coosa,Alabama,95
2021,Covington,Alabama,832
2021,Crenshaw,Alabama,229
2021,Cullman,Alabama,1786
2021,Dale,Alabama,715
2021,Dallas,Alabama,675
2021,DeKalb,Alabama,1154
2021,Elmore,Alabama,1255
2021,Escambia,Alabama,755
2021,Etowah,Alabama,1925
2021,Fayette,Alabama,265
2021,Franklin,Alabama,529
2021,Geneva,Alabama,429
2021,Greene,Alabama,95
2021,Hale,Alabama,188
2021,Henry,Alabama,299
2021,Houston,Alabama,2776
2021,Jackson,Alabama,837
2021,Jefferson,Alabama,16851
2021,Lamar,Alabama,242
2021,Lauderdale,Alabama,1959
2021,Lawrence,Alabama,403
2021,Lee,Alabama,3124
2021,Limestone,Alabama,1535
2021,Lowndes,Alabama,112
2021,Macon,Alabama,200
2021,Madison,Alabama,8881
2021,Marengo,Alabama,440
2021,Marion,Alabama,548
2021,Marshall,Alabama,1880
2021,Mobile,Alabama,9283
2021,Monroe,Alabama,397
2021,Montgomery,Alabama,5523
2021,Morgan,Alabama,2637
2021,Perry,Alabama,106
2021,Pickens,Alabama,246
2021,Pike,Alabama,647
2021,Randolph,Alabama,348
2021,Russell,Alabama,831
2021,St. Clair,Alabama,1416
2021,Shelby,Alabama,5447
2021,Sumter,Alabama,193
2021,Talladega,Alabama,1244
2021,Tallapoosa,Alabama,789
2021,Tuscaloosa,Alabama,4166
2021,Walker,Alabama,1247
2021,Washington,Alabama,209
2021,Wilcox,Alabama,180
2021,Winston,Alabama,411
2021,Aleutians East Borough,Alaska,58
2021,Aleutians West Census Area,Alaska,115
2021,Anchorage Municipality,Alaska,8769
2021,Bethel Census Area,Alaska,213
2021,Bristol Bay Borough,Alaska,105
2021,Denali Borough,Alaska,105
2021,Dillingham Census Area,Alaska,108
2021,Fairbanks North Star Borough,Alaska,2542
2021,Haines Borough,Alaska,135
2021,Hoonah-Angoon Census Area,Alaska,83
2021,Juneau City and Borough,Alaska,1109
2021,Kenai Peninsula Borough,Alaska,2287
2021,Ketchikan Gateway Borough,Alaska,576
2021,Kodiak Island Borough,Alaska,457
2021,Kusilvak Census Area,Alaska,69
2021,Lake and Peninsula Borough,Alaska,53
2021,Matanuska-Susitna Borough,Alaska,2609
2021,Nome Census Area,Alaska,174
2021,North Slope Borough,Alaska,146
2021,Northwest Arctic Borough,Alaska,68
2021,Petersburg Borough,Alaska,163
2021,Prince of Wales-Hyder Census Area,Alaska,172
2021,Sitka City and Borough,Alaska,385
2021,Skagway Municipality,Alaska,98
2021,Southeast Fairbanks Census Area,Alaska,165
2021,Valdez-Cordova Census Area,Alaska,491
2021,Wrangell City and Borough,Alaska,98
2021,Yakutat City and Borough,Alaska,30
2021,Yukon-Koyukuk Census Area,Alaska,95
2021,Apache,Arizona,445
2021,Cochise,Arizona,2112
2021,Coconino,Arizona,3836
2021,Gila,Arizona,1039
2021,Graham,Arizona,542
2021,Greenlee,Arizona,84
2021,La Paz,Arizona,329
2021,Maricopa,Arizona,104022
2021,Mohave,Arizona,4108
2021,Navajo,Arizona,1791
2021,Pima,Arizona,20694
2021,Pinal,Arizona,4232
2021,Santa Cruz,Arizona,1089
2021,Yavapai,Arizona,6292
2021,Yuma,Arizona,3244
2021,Arkansas,Arkansas,494
2021,Ashley,Arkansas,344
2021,Baxter,Arkansas,1088
2021,Benton,Arkansas,7298
2021,Boone,Arkansas,857
2021,Bradley,Arkansas,246
2021,Calhoun,Arkansas,56
2021,Carroll,Arkansas,709
2021,Chicot,Arkansas,191
2021,Clark,Arkansas,531
2021,Clay,Arkansas,281
2021,Cleburne,Arkansas,596
2021,Cleveland,Arkansas,74
2021,Columbia,Arkansas,533
2021,Conway,Arkansas,406
2021,Craighead,Arkansas,2651
2021,Crawford,Arkansas,1056
2021,Crittenden,Arkansas,834
2021,Cross,Arkansas,365
2021,Dallas,Arkansas,171
2021,Desha,Arkansas,284
2021,Drew,Arkansas,412
2021,Faulkner,Arkansas,2855
2021,Franklin,Arkansas,298
2021,Fulton,Arkansas,165
2021,Garland,Arkansas,2858
2021,Grant,Arkansas,291
2021,Greene,Arkansas,794
2021,Hempstead,Arkansas,375
2021,Hot Spring,Arkansas,504
2021,Howard,Arkansas,264
2021,Independence,Arkansas,797
2021,Izard,Arkansas,212
2021,Jackson,Arkansas,307
2021,Jefferson,Arkansas,1229
2021,Johnson,Arkansas,381
2021,Lafayette,Arkansas,104
2021,Lawrence,Arkansas,279
2021,Lee,Arkansas,112
2021,Lincoln,Arkansas,153
2021,Little River,Arkansas,168
2021,Logan,Arkansas,360
2021,Lonoke,Arkansas,1109
2021,Madison,Arkansas,227
2021,Marion,Arkansas,239
2021,Miller,Arkansas,719
2021,Mississippi,Arkansas,752
2021,Monroe,Arkansas,183
2021,Montgomery,Arkansas,133
2021,Nevada,Arkansas,120
2021,Newton,Arkansas,87
2021,Ouachita,Arkansas,479
2021,Perry,Arkansas,121
2021,Phillips,Arkansas,339
2021,Pike,Arkansas,219
2021,Poinsett,Arkansas,327
2021,Polk,Arkansas,418
2021,Pope,Arkansas,1549
2021,Prairie,Arkansas,139
2021,Pulaski,Arkansas,12300
2021,Randolph,Arkansas,318
2021,St. Francis,Arkansas,438
2021,Saline,Arkansas,2204
2021,Scott,Arkansas,137
2021,Searcy,Arkansas,119
2021,Sebastian,Arkansas,3322
2021,Sevier,Arkansas,254
2021,Sharp,Arkansas,312
2021,Stone,Arkansas,241
2021,Union,Arkansas,1036
2021,Van Buren,Arkansas,308
2021,Washington,Arkansas,5919
2021,White,Arkansas,1602
2021,Woodruff,Arkansas,128
2021,Yell,Arkansas,313
2021,Alameda,California,41470
2021,Alpine,California,47
2021,Amador,California,818
2021,Butte,California,4615
2021,Calaveras,California,948
2021,Colusa,California,394
2021,Contra Costa,California,25202
2021,Del Norte,California,410
2021,El Dorado,California,4824
2021,Fresno,California,18199
2021,Glenn,California,487
2021,Humboldt,California,3181
2021,Imperial,California,2584
2021,Inyo,California,491
2021,Kern,California,13731
2021,Kings,California,1725
2021,Lake,California,1092
2021,Lassen,California,397
2021,Los Angeles,California,297305
2021,Madera,California,2162
2021,Marin,California,10004
2021,Mariposa,California,320
2021,Mendocino,California,2437
2021,Merced,California,3340
2021,Modoc,California,157
2021,Mono,California,662
2021,Monterey,California,8951
2021,Napa,California,4404
2021,Nevada,California,3230
2021,Orange,California,103811
2021,Placer,California,11689
2021,Plumas,California,615
2021,Riverside,California,43307
2021,Sacramento,California,32196
2021,San Benito,California,1047
2021,San Bernardino,California,39817
2021,San Diego,California,90254
2021,San Francisco,California,34098
2021,San Joaquin,California,12703
2021,San Luis Obispo,California,8727
2021,San Mateo,California,21407
2021,Santa Barbara,California,12119
2021,Santa Clara,California,48749
2021,Santa Cruz,California,7078
2021,Shasta,California,4516
2021,Sierra,California,77
2021,Siskiyou,California,1053
2021,Solano,California,7428
2021,Sonoma,California,14399
2021,Stanislaus,California,9611
2021,Sutter,California,2045
2021,Tehama,California,1009
2021,Trinity,California,255
2021,Tulare,California,6762
2021,Tuolumne,California,1248
2021,Ventura,California,22158
2021,Yolo,California,4372
2021,Yuba,California,835
2021,Adams,Colorado,10886
2021,Alamosa,Colorado,498
2021,Arapahoe,Colorado,19798
2021,Archuleta,Colorado,548
2021,Baca,Colorado,82
2021,Bent,Colorado,50
