county_name,state_id,size_10
abbeville,SC,2.49
acadia parish,LA,2.75
accomack,VA,2.39
ada,ID,2.55
adair,OK,2.81
adair,KY,2.41
adair,MO,2.33
adair,IA,2.28
adams,WA,3.15
adams,CO,2.85
adams,IN,2.76
adams,OH,2.63
adams,MS,2.61
adams,PA,2.53
adams,NE,2.42
adams,IL,2.38
adams,ID,2.31
adams,IA,2.24
adams,WI,2.1
adams,ND,2.08
addison,VT,2.42
aiken,SC,2.49
aitkin,MN,2.05
alachua,FL,2.32
alamance,NC,2.43
alameda,CA,2.72
alamosa,CO,2.38
albany,NY,2.3
albany,WY,2.22
albemarle,VA,2.45
alcona,MI,2.43
alcorn,MS,2.66
alexander,NC,2.73
alexander,IL,2.38
alexandria city,VA,2.08
alfalfa,OK,2.21
alger,MI,2.24
allamakee,IA,2.37
allegan,MI,2.62
allegany,NY,2.35
allegany,MD,2.34
alleghany,VA,2.29
alleghany,NC,2.06
allegheny,PA,2.27
allen,IN,2.55
allen,OH,2.51
allen,KY,2.47
allen,KS,2.36
allen parish,LA,2.57
allendale,SC,2.63
alpena,MI,2.21
alpine,CA,2.87
amador,CA,2.31
amelia,VA,2.51
amherst,VA,2.36
amite,MS,2.67
anderson,TX,2.86
anderson,KY,2.51
anderson,SC,2.5
anderson,KS,2.49
anderson,TN,2.38
andrew,MO,2.55
andrews,TX,2.7
androscoggin,ME,2.34
angelina,TX,2.64
anne arundel,MD,2.59
anoka,MN,2.69
anson,NC,2.54
antelope,NE,2.35
antrim,MI,2.33
apache,AZ,3.61
appanoose,IA,2.32
appling,GA,2.51
appomattox,VA,2.44
aransas,TX,2.29
arapahoe,CO,2.5
archer,TX,2.67
archuleta,CO,3.59
arenac,MI,2.33
arkansas,AR,2.28
arlington,VA,2.11
armstrong,TX,2.6
armstrong,PA,2.37
aroostook,ME,2.3
arthur,NE,2.39
ascension parish,LA,2.85
ashe,NC,2.23
ashland,OH,2.52
ashland,WI,2.24
ashley,AR,2.46
ashtabula,OH,2.54
asotin,WA,2.36
assumption parish,LA,2.75
atascosa,TX,3
atchison,KS,2.51
atchison,MO,2.27
athens,OH,2.44
atkinson,GA,3.02
atlantic,NJ,2.55
atoka,OK,2.32
attala,MS,2.65
audrain,MO,2.46
audubon,IA,2.22
auglaize,OH,2.49
augusta,VA,2.48
aurora,SD,2.58
austin,TX,2.65
autauga,AL,2.7
avery,NC,2.21
avoyelles parish,LA,2.46
baca,CO,2.23
bacon,GA,2.7
bailey,TX,2.95
baker,FL,2.85
baker,GA,2.73
baker,OR,2.32
baldwin,GA,2.56
baldwin,AL,2.5
ballard,KY,2.45
baltimore,MD,2.47
baltimore city,MD,2.52
bamberg,SC,2.57
bandera,TX,2.39
banks,GA,2.76
banner,NE,2.25
bannock,ID,2.65
baraga,MI,2.39
barber,KS,2.09
barbour,WV,2.57
barbour,AL,2.52
barnes,ND,2.2
barnstable,MA,2.17
barnwell,SC,2.69
barren,KY,2.46
barron,WI,2.33
barrow,GA,2.87
barry,MI,2.6
barry,MO,2.49
bartholomew,IN,2.5
barton,MO,2.52
barton,KS,2.36
bartow,GA,2.81
bastrop,TX,2.79
bates,MO,2.55
bath,KY,2.61
bath,VA,2.34
baxter,AR,2.17
bay,MI,2.41
bay,FL,2.36
bayfield,WI,2.1
baylor,TX,2.28
beadle,SD,2.25
bear lake,ID,2.37
beaufort,SC,2.33
beaufort,NC,2.32
beauregard parish,LA,2.65
beaver,UT,2.94
beaver,OK,2.48
beaver,PA,2.38
beaverhead,MT,2.26
becker,MN,2.38
beckham,OK,2.67
bedford,TN,2.69
bedford,PA,2.49
bedford,VA,2.49
bedford city,VA,2.21
bee,TX,2.65
belknap,NH,2.35
bell,TX,2.8
bell,KY,2.53
belmont,OH,2.26
beltrami,MN,2.49
ben hill,GA,2.62
benewah,ID,2.39
bennett,SD,3.07
bennington,VT,2.3
benson,ND,2.89
bent,CO,2.31
benton,WA,2.67
benton,AR,2.63
benton,MS,2.62
benton,IA,2.55
benton,MN,2.5
benton,IN,2.48
benton,OR,2.35
benton,TN,2.34
benton,MO,2.25
benzie,MI,2.35
bergen,NJ,2.65
berkeley,SC,2.74
berkeley,WV,2.57
berks,PA,2.56
berkshire,MA,2.26
bernalillo,NM,2.46
berrien,GA,2.46
berrien,MI,2.45
bertie,NC,2.49
bexar,TX,2.78
bibb,AL,3.02
bibb,GA,2.58
bienville parish,LA,2.49
big horn,MT,3.52
big horn,WY,2.5
big stone,MN,2.22
billings,ND,2.53
bingham,ID,3.08
black hawk,IA,2.38
blackford,IN,2.4
bladen,NC,2.42
blaine,MT,2.71
blaine,OK,2.58
blaine,ID,2.29
blaine,NE,2.23
blair,PA,2.39
blanco,TX,2.56
bland,VA,2.44
bleckley,GA,2.89
bledsoe,TN,2.53
blount,AL,2.73
blount,TN,2.47
blue earth,MN,2.47
boise,ID,2.3
bolivar,MS,2.69
bollinger,MO,2.57
bon homme,SD,2.37
bond,IL,2.78
bonner,ID,2.21
bonneville,ID,2.81
boone,IL,2.98
boone,KY,2.74
boone,IN,2.58
boone,AR,2.53
boone,WV,2.47
boone,IA,2.38
boone,MO,2.34
boone,NE,2.28
borden,TX,2.31
bosque,TX,2.55
bossier parish,LA,2.58
botetourt,VA,2.49
bottineau,ND,2.01
boulder,CO,2.37
boundary,ID,2.58
bourbon,KS,2.55
bourbon,KY,2.41
bowie,TX,2.6
bowman,ND,2.21
box butte,NE,2.34
box elder,UT,3.05
boyd,KY,2.39
boyd,NE,2.25
boyle,KY,2.37
bracken,KY,2.67
bradford,FL,2.76
bradford,PA,2.48
bradley,TN,2.53
bradley,AR,2.24
branch,MI,2.61
brantley,GA,2.66
braxton,WV,2.3
brazoria,TX,2.84
brazos,TX,2.6
breathitt,KY,2.66
breckinridge,KY,2.61
bremer,IA,2.46
brevard,FL,2.41
brewster,TX,2.11
briscoe,TX,2.54
bristol,MA,2.52
bristol,RI,2.5
bristol city,VA,2.17
broadwater,MT,2.76
bronx,NY,2.79
brooke,WV,2.4
brookings,SD,2.46
brooks,TX,2.76
brooks,GA,2.5
broome,NY,2.36
broomfield,CO,2.63
broward,FL,2.57
brown,OH,2.77
brown,TX,2.67
brown,IN,2.57
brown,KS,2.44
brown,WI,2.44
brown,SD,2.31
brown,MN,2.29
brown,NE,2.24
brown,IL,2.17
brule,SD,2.27
brunswick,VA,2.46
brunswick,NC,2.22
bryan,GA,2.77
bryan,OK,2.43
buchanan,VA,2.59
buchanan,IA,2.48
buchanan,MO,2.47
buckingham,VA,2.01
bucks,PA,2.65
buena vista,IA,2.52
buena vista city,VA,2.43
buffalo,SD,3.84
buffalo,NE,2.47
buffalo,WI,2.36
bullitt,KY,2.65
bulloch,GA,2.57
bullock,AL,2.85
buncombe,NC,2.28
bureau,IL,2.38
burke,GA,2.93
burke,NC,2.5
burke,ND,1.98
burleigh,ND,2.31
burleson,TX,2.51
burlington,NJ,2.63
burnet,TX,2.53
burnett,WI,2.08
burt,NE,2.3
butler,KS,2.63
butler,OH,2.6
butler,AL,2.58
butler,PA,2.48
butler,KY,2.43
butler,MO,2.41
butler,NE,2.41
butler,IA,2.4
butte,CA,2.5
butte,SD,2.48
butte,ID,2.42
butts,GA,2.73
cabarrus,NC,2.65
cabell,WV,2.3
cache,UT,3.09
caddo,OK,2.6
caddo parish,LA,2.53
calaveras,CA,2.44
calcasieu parish,LA,2.6
caldwell,TX,2.95
caldwell,NC,2.59
caldwell,KY,2.45
caldwell,MO,2.43
caldwell parish,LA,2.69
caledonia,VT,2.38
calhoun,GA,2.69
calhoun,AR,2.6
calhoun,FL,2.6
calhoun,TX,2.6
calhoun,MS,2.51
calhoun,WV,2.5
calhoun,MI,2.49
calhoun,SC,2.47
calhoun,AL,2.46
calhoun,IL,2.45
calhoun,IA,2.12
callahan,TX,2.61
callaway,MO,2.41
calloway,KY,2.26
calumet,WI,2.61
calvert,MD,2.87
camas,ID,2.85
cambria,PA,2.33
camden,NC,2.82
camden,GA,2.71
camden,NJ,2.65
camden,MO,2.33
cameron,TX,3.44
cameron,PA,2.35
cameron parish,LA,2.71
camp,TX,2.62
campbell,WY,2.68
campbell,TN,2.54
campbell,VA,2.45
campbell,KY,2.41
campbell,SD,2.34
canadian,OK,2.65
candler,GA,2.78
cannon,TN,2.53
canyon,ID,2.89
cape girardeau,MO,2.39
cape may,NJ,2.1
carbon,UT,2.51
carbon,PA,2.45
carbon,MT,2.37
carbon,WY,2.27
caribou,ID,2.51
carlisle,KY,2.44
carlton,MN,2.43
caroline,MD,2.73
caroline,VA,2.65
carroll,MD,2.73
carroll,GA,2.7
carroll,MS,2.55
carroll,KY,2.51
carroll,TN,2.5
carroll,IN,2.48
carroll,OH,2.47
carroll,MO,2.45
carroll,NH,2.38
carroll,VA,2.31
carroll,IA,2.29
carroll,AR,2.28
carroll,IL,2.18
carson,TX,2.6
carson city,NV,2.53
carter,OK,2.6
carter,KY,2.53
carter,MO,2.52
carter,TN,2.34
carter,MT,2.21
carteret,NC,2.25
carver,MN,2.73
cascade,MT,2.37
casey,KY,2.61
cass,MO,2.66
cass,NE,2.61
cass,IL,2.6
cass,MI,2.57
cass,IN,2.51
cass,TX,2.48
cass,IA,2.26
cass,ND,2.2
cass,MN,2.19
cassia,ID,2.89
castro,TX,2.9
caswell,NC,2.51
catahoula parish,LA,2.57
catawba,NC,2.55
catoosa,GA,2.59
catron,NM,2
cattaraugus,NY,2.38
cavalier,ND,2.25
cayuga,NY,2.34
cecil,MD,2.74
cedar,NE,2.56
cedar,IA,2.43
cedar,MO,2.27
centre,PA,2.41
cerro gordo,IA,2.17
chaffee,CO,2.18
chambers,TX,2.9
chambers,AL,2.51
champaign,OH,2.62
champaign,IL,2.32
chariton,MO,2.39
charles,MD,2.86
charles city,VA,2.66
charles mix,SD,2.76
charleston,SC,2.41
charlevoix,MI,2.26
charlotte,VA,2.85
charlotte,FL,2.18
charlottesville city,VA,2.22
charlton,GA,3.14
chase,KS,2.4
chase,NE,2.26
chatham,GA,2.48
chatham,NC,2.43
chattahoochee,GA,3.39
chattooga,GA,2.77
chautauqua,NY,2.34
chautauqua,KS,2.31
chaves,NM,2.63
cheatham,TN,2.67
cheboygan,MI,2.24
chelan,WA,2.62
chemung,NY,2.34
chenango,NY,2.48
cherokee,TX,2.83
cherokee,GA,2.76
cherokee,OK,2.68
cherokee,SC,2.6
cherokee,KS,2.57
cherokee,NC,2.33
cherokee,AL,2.22
cherokee,IA,2.21
cherry,NE,2.29
chesapeake city,VA,2.73
cheshire,NH,2.42
chester,PA,2.63
chester,SC,2.63
chester,TN,2.62
chesterfield,VA,2.71
chesterfield,SC,2.67
cheyenne,CO,2.52
cheyenne,NE,2.3
cheyenne,KS,2.19
chickasaw,MS,2.58
chickasaw,IA,2.28
chicot,AR,2.4
childress,TX,2.43
chilton,AL,2.59
chippewa,WI,2.5
chippewa,MN,2.35
chippewa,MI,2.28
chisago,MN,2.61
chittenden,VT,2.37
choctaw,AL,2.61
choctaw,OK,2.41
choctaw,MS,2.39
chouteau,MT,2.6
chowan,NC,2.43
christian,MO,2.6
christian,KY,2.59
christian,IL,2.34
churchill,NV,2.8
cibola,NM,3.11
cimarron,OK,2.24
citrus,FL,2.31
clackamas,OR,2.56
claiborne,MS,2.75
claiborne,TN,2.48
claiborne parish,LA,2.66
clallam,WA,2.21
clare,MI,2.34
clarendon,SC,2.61
clarion,PA,2.43
clark,NV,2.69
clark,SD,2.66
clark,WA,2.65
clark,WI,2.61
clark,ID,2.57
clark,MO,2.52
clark,OH,2.47
clark,IN,2.45
clark,KY,2.42
clark,IL,2.38
clark,KS,2.33
clark,AR,2.31
clarke,AL,2.84
clarke,IA,2.6
clarke,GA,2.5
clarke,VA,2.49
clarke,MS,2.47
clatsop,OR,2.18
clay,KY,3.21
clay,FL,2.73
clay,WV,2.63
clay,GA,2.6
clay,IN,2.6
clay,MS,2.59
clay,MO,2.46
clay,IL,2.45
clay,NE,2.45
clay,TX,2.45
clay,MN,2.44
clay,AR,2.4
clay,KS,2.32
clay,AL,2.24
clay,NC,2.24
clay,SD,2.23
clay,IA,2.19
clay,TN,2.14
clayton,GA,2.94
clayton,IA,2.31
clear creek,CO,2.18
clearfield,PA,2.37
clearwater,MN,2.26
clearwater,ID,2.2
cleburne,AL,2.71
cleburne,AR,2.31
clermont,OH,2.66
cleveland,AR,2.65
cleveland,NC,2.54
cleveland,OK,2.53
clinch,GA,2.69
clinton,IN,2.72
clinton,MI,2.6
clinton,OH,2.54
clinton,MO,2.51
clinton,IL,2.47
clinton,KY,2.43
clinton,IA,2.42
clinton,NY,2.42
clinton,PA,2.38
cloud,KS,2.28
coahoma,MS,2.8
coal,OK,2.46
cobb,GA,2.62
cochise,AZ,2.51
cochran,TX,2.75
cocke,TN,2.38
coconino,AZ,2.73
codington,SD,2.35
coffee,GA,2.69
coffee,AL,2.51
coffee,TN,2.49
coffey,KS,2.38
coke,TX,2.42
colbert,AL,2.41
cole,MO,2.39
coleman,TX,2.47
coles,IL,2.18
colfax,NE,2.74
colfax,NM,2.33
colleton,SC,2.53
collier,FL,2.63
collin,TX,2.74
collingsworth,TX,2.53
