county_name,state_name,size
Autauga,Alabama,2.55
Baldwin,Alabama,2.56
Barbour,Alabama,2.37
Bibb,Alabama,2.85
Blount,Alabama,2.7
Bullock,Alabama,2.84
Butler,Alabama,2.92
Calhoun,Alabama,2.5
Chambers,Alabama,2.42
Cherokee,Alabama,2.38
Chilton,Alabama,2.55
Choctaw,Alabama,2.36
Clarke,Alabama,2.52
Clay,Alabama,2.53
Cleburne,Alabama,2.53
Coffee,Alabama,2.59
Colbert,Alabama,2.5
Conecuh,Alabama,2.66
Coosa,Alabama,2.57
Covington,Alabama,2.43
Crenshaw,Alabama,2.72
Cullman,Alabama,2.59
Dale,Alabama,2.47
Dallas,Alabama,2.44
DeKalb,Alabama,2.67
Elmore,Alabama,2.58
Escambia,Alabama,2.61
Etowah,Alabama,2.62
Fayette,Alabama,2.37
Franklin,Alabama,2.85
Geneva,Alabama,2.47
Greene,Alabama,2.55
Hale,Alabama,2.65
Henry,Alabama,2.56
Houston,Alabama,2.62
Jackson,Alabama,2.51
Jefferson,Alabama,2.44
Lamar,Alabama,2.43
Lauderdale,Alabama,2.36
Lawrence,Alabama,2.61
Lee,Alabama,2.59
Limestone,Alabama,2.87
Lowndes,Alabama,2.33
Macon,Alabama,2.14
Madison,Alabama,2.37
Marengo,Alabama,2.52
Marion,Alabama,2.48
Marshall,Alabama,2.71
Mobile,Alabama,2.58
Monroe,Alabama,2.58
Montgomery,Alabama,2.45
Morgan,Alabama,2.53
Perry,Alabama,2.64
Pickens,Alabama,2.37
Pike,Alabama,2.69
Randolph,Alabama,2.57
Russell,Alabama,2.42
St. Clair,Alabama,2.65
Shelby,Alabama,2.64
Sumter,Alabama,2.2
Talladega,Alabama,2.42
Tallapoosa,Alabama,2.43
Tuscaloosa,Alabama,2.66
Walker,Alabama,2.47
Washington,Alabama,2.78
Wilcox,Alabama,2.61
Winston,Alabama,2.43
Aleutians East Borough,Alaska,2.38
Aleutians West Census Area,Alaska,3.43
Anchorage Municipality,Alaska,2.66
Bethel Census Area,Alaska,3.83
Bristol Bay Borough,Alaska,2.29
Chugach Census Area,Alaska,2.71
Copper River Census Area,Alaska,2.7
Denali Borough,Alaska,2.22
Dillingham Census Area,Alaska,3.17
Fairbanks North Star Borough,Alaska,2.6
Haines Borough,Alaska,2.73
Hoonah-Angoon Census Area,Alaska,2.63
Juneau City and Borough,Alaska,2.45
Kenai Peninsula Borough,Alaska,2.63
Ketchikan Gateway Borough,Alaska,2.56
Kodiak Island Borough,Alaska,3.08
Kusilvak Census Area,Alaska,4.55
Lake and Peninsula Borough,Alaska,2.85
Matanuska-Susitna Borough,Alaska,3.3
Nome Census Area,Alaska,3.37
North Slope Borough,Alaska,3.26
Northwest Arctic Borough,Alaska,4.04
Petersburg Borough,Alaska,2.66
Prince of Wales-Hyder Census Area,Alaska,2.65
Sitka City and Borough,Alaska,2.33
Skagway Municipality,Alaska,2.72
Southeast Fairbanks Census Area,Alaska,2.9
Wrangell City and Borough,Alaska,2.49
Yakutat City and Borough,Alaska,2.4
Yukon-Koyukuk Census Area,Alaska,2.63
Apache,Arizona,3.28
Cochise,Arizona,2.34
Coconino,Arizona,2.6
Gila,Arizona,2.34
Graham,Arizona,3.06
Greenlee,Arizona,2.84
La Paz,Arizona,2.1
Maricopa,Arizona,2.73
Mohave,Arizona,2.29
Navajo,Arizona,2.95
Pima,Arizona,2.45
Pinal,Arizona,2.84
Santa Cruz,Arizona,2.88
Yavapai,Arizona,2.24
Yuma,Arizona,2.76
Arkansas,Arkansas,2.36
Ashley,Arkansas,2.57
Baxter,Arkansas,2.2
Benton,Arkansas,2.72
Boone,Arkansas,2.46
Bradley,Arkansas,2.51
Calhoun,Arkansas,2.87
Carroll,Arkansas,2.51
Chicot,Arkansas,2.4
Clark,Arkansas,2.39
