GeoName,State,County,LineCode,Description,Unit,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Autauga, AL",AL,Autauga,1,Personal income (thousands of dollars),Thousands of dollars,574764,614011,654079,713433,756832,810358,869142,928627,985444,1042400,1106996,1147427,1231725,1332117,1429633,1528773,1649284,1750849,1764260,1826597,1896347,1927064,1944878,2019288,2131416,2203281,2276561,2360366,2453617
"Autauga, AL",AL,Autauga,2,Population (persons) 1/,Number of persons,35010,35985,36953,38186,39112,40207,41238,42106,42963,44021,44889,45909,46800,48366,49676,51328,52405,53277,54135,54773,55227,54954,54727,54893,54864,55243,55390,55533,55869
"Autauga, AL",AL,Autauga,3,Per capita personal income (dollars) 2/,Dollars,16417,17063,17700,18683,19350,20155,21076,22055,22937,23680,24661,24994,26319,27542,28779,29784,31472,32863,32590,33348,34337,35067,35538,36786,38849,39883,41101,42504,43917
"Baldwin, AL",AL,Baldwin,1,Personal income (thousands of dollars),Thousands of dollars,1736418,1930098,2128721,2346375,2557326,2801985,3050203,3307729,3486586,3775281,3921746,4055585,4249849,4744351,5243158,5863953,6222347,6280045,6218741,6618292,7067055,7274734,7448839,7887975,8444952,8956578,9471242,10065966,10600260
"Baldwin, AL",AL,Baldwin,2,Population (persons) 1/,Number of persons,102420,106595,111416,116565,120896,125412,130164,134444,137555,141342,144875,147957,151509,156266,162183,168121,172404,175827,179406,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
"Baldwin, AL",AL,Baldwin,3,Per capita personal income (dollars) 2/,Dollars,16954,18107,19106,20129,21153,22342,23434,24603,25347,26710,27070,27411,28050,30361,32329,34879,36092,35717,34663,36143,37881,38259,38222,39602,41613,43143,44566,46205,47485
"Barbour, AL",AL,Barbour,1,Personal income (thousands of dollars),Thousands of dollars,375856,402582,420108,442073,443210,455859,473665,508389,548477,550025,581404,581231,597721,645964,669361,690022,709357,713544,721064,758882,770008,766319,810596,799273,838910,824046,838184,872189,882834
"Barbour, AL",AL,Barbour,2,Population (persons) 1/,Number of persons,26506,26941,27371,27751,27854,28298,28415,28841,28866,29015,28863,28653,28594,28287,28027,27861,27757,27808,27657,27327,27341,27169,26937,26755,26283,25806,25157,24872,24686
"Barbour, AL",AL,Barbour,3,Per capita personal income (dollars) 2/,Dollars,14180,14943,15349,15930,15912,16109,16670,17627,19001,18957,20144,20285,20904,22836,23883,24767,25556,25660,26072,27770,28163,28206,30092,29874,31918,31932,33318,35067,35763
"Bibb, AL",AL,Bibb,1,Personal income (thousands of dollars),Thousands of dollars,220150,234844,247468,265123,284113,300128,317487,320379,338522,351843,377677,396003,420703,456280,471336,502798,540853,567026,545545,573063,591212,612965,617469,636547,655587,654451,662652,683509,710451
