GeoFips,GeoName,LineCode,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,United States,1,Personal consumption expenditures,5536790.1,5877248.2,6283757.5,6767179.3,7073801,7348940.8,7740749.4,8231960.2,8769066.1,9277235.6,9746593.5,10050083.4,9891218.5,10260256.2,10698857,11047363.2,11363527.8,11847725.1,12263476.3,12693265.6,13233608.6,13904979.5,14392721,14116165.7,15902575.3
0,United States,9,      Food and beverages purchased for off-premises consumption,474777.2,487437,515530.4,540578.4,564002.8,575052.2,599580.2,632604.5,668216.1,700260.4,737332,769085.5,772929.7,786866.1,819542.4,846198,863994,896855.4,920955.4,940635.3,972901.3,999717.3,1030816.8,1126148.9,1205033.4
0,United States,10,      Clothing and footwear,247496.1,257805.3,271096.9,280831.4,277868.4,278834.8,285295.5,297379.6,310509.3,320022.8,323474.1,317372.5,304042.6,316611.3,332585.6,345219.5,350533.1,360750.6,368734.4,375706.3,380436.7,391313.3,397816.5,358363.1,461299.5
0,United States,13,  Services,3530284.6,3768808.8,3996695.8,4314007.5,4548207.8,4750136.1,5018152,5329939.1,5686143.4,6037580.2,6379562.9,6686862.5,6711196.1,6942431.5,7180736.1,7409623.9,7633555.2,7984768.6,8340483.7,8701416.7,9074233.6,9549802.2,9919211.1,9446030.7,10406059.4
0,United States,19,      Food services and accommodations,343427.5,361836.3,380330.7,408781.2,419663.8,436310.5,462716,498229.4,533632.4,570600,601498.1,620152.1,612688.2,635670.7,669464.7,704927.9,732250.6,776933.8,832868.4,873209.6,915647,963974.6,1009626.3,813525.2,1060907.2
1000,Alabama,1,Personal consumption expenditures,77070.9,80481,85034.2,89929,93426.3,97418,102313.2,108647,115868.6,121798.9,127522.3,130497.7,128675.8,132956.3,137347.4,140347.7,144027.9,148689.4,152755.9,157119.9,163308.1,170793.3,177412.1,177093.9,199866.7
1000,Alabama,9,      Food and beverages purchased for off-premises consumption,7747.3,7866.4,8166.4,8335.8,8794.1,9044.5,9338.2,9686.5,10034.4,10259,10571.2,11023.6,11171,11263.3,11641.5,11840.2,11889.6,12214.6,12471.7,12741.1,13003.7,13425.9,13851.2,15107.6,16433.8
1000,Alabama,10,      Clothing and footwear,3249.7,3418.4,3575.1,3674.7,3678.3,3704.2,3760.6,3959.3,4180.1,4342.6,4411.7,4367.2,4250.2,4401,4536.9,4544.9,4606.4,4698.1,4790,4851.6,4848.6,4969.9,5051.9,4808.7,6095.7
1000,Alabama,13,  Services,47075.4,49497.5,51873.5,54971.2,57323,59737,62535.6,66096.6,70387.7,73864,77697.5,80697.3,81156.4,83545,85432.2,87142,89650,92992.3,96702.2,100749.1,105151.6,110249,115138.5,111297.4,122313.2
1000,Alabama,19,      Food services and accommodations,4278.7,4464.6,4714.8,4874.9,4967.1,5128.9,5494.5,5839.9,6282.4,6707.3,7040.7,7364.5,7440.6,7689.8,7963.4,8269.7,8630.1,9135.9,9859.1,10455.7,11049.8,11551.3,12058.6,10665.5,13291.2
2000,Alaska,1,Personal consumption expenditures,14205.6,14922.5,15857.8,17079.7,18093.4,19397.3,20522,21809.9,23313.9,24497.2,25924.9,27186.6,27410.3,28597.2,30162.4,31169.8,31709.4,32820.9,33496.5,34218.2,35232.3,36639.5,37743.5,35831.5,39807.1
2000,Alaska,9,      Food and beverages purchased for off-premises consumption,1450,1512.4,1580.7,1636.3,1689.2,1777,1894.4,2009.6,2135.5,2254.4,2396.6,2555.5,2581.1,2650.5,2769.8,2821.7,2818,2814.4,2773.3,2721.7,2707.8,2741,2778.2,2902.5,3018.4
2000,Alaska,10,      Clothing and footwear,515.6,520.8,537.1,540.7,544.8,552.3,570.2,592.8,607.3,625.1,627.2,634.5,610.3,628.7,654.7,663.3,661.1,671.5,677.4,676.1,664.1,677.9,681.6,592.9,728.4
2000,Alaska,13,  Services,8901.9,9451.6,10023.5,10976.1,11809.6,12691.9,13427.5,14226.2,15370.1,16265.2,17363.9,18424.6,18926.2,19820.8,20917.6,21693.1,22199.5,23102.5,23876,24607.8,25434.6,26636,27606.7,25310.9,27652.9
2000,Alaska,19,      Food services and accommodations,1091,1114.3,1169.5,1262.6,1300.6,1397.8,1518.3,1634.2,1721.9,1833.4,1915.8,1994.8,1962.8,2060.3,2187.3,2287.9,2319.7,2434.3,2551.7,2549.8,2573.3,2610.7,2702.1,1986.5,2669.7
4000,Arizona,1,Personal consumption expenditures,96365.6,103672.5,111782.8,121307.4,127156.3,133548.3,142735.1,155232.9,169864.4,184147.5,194613.9,197047.5,190809,196465.9,203335.5,209724.4,215979,226189.9,234868.8,244414.7,258453.2,273358.7,287272.8,288818.8,326526.6
4000,Arizona,9,      Food and beverages purchased for off-premises consumption,8135.9,8470.6,9186.7,9438.4,9949.9,10304.6,11042.6,12296.3,13600,14805.2,15815.8,16428.2,16138,16328.8,16585.6,16847.8,17054.9,18024.3,18537.3,19046.5,20009.6,20494.1,20787.4,23061.1,24348.5
4000,Arizona,10,      Clothing and footwear,3582.6,3713.4,3977.5,4267.3,4346.4,4524.4,4778,5137.9,5609.1,6044.5,6234.2,6042.9,5856,6078.5,6302.9,6502.3,6704.7,6904.9,7082.1,7206.9,7357.9,7607.3,7745.9,7318.9,9478
4000,Arizona,13,  Services,61545.7,66734.4,71312.5,77086.7,81232.6,85889.2,91467.9,98747.8,107098.9,115547.4,123430.7,128186.6,127731,131378.5,134893,139221,143354.5,149919.2,157256.4,164851.2,173872.4,184332,194757.9,188428.6,208340.5
4000,Arizona,19,      Food services and accommodations,6703.5,7113.7,7621.8,8244.2,8415.2,8760.2,9398,10406.6,11734.1,12899.4,13919.3,13867.8,13333,13547.2,14132.8,14748.5,15457.9,16534.1,17931.3,18671.1,20332.9,21682.6,22790.3,19944.4,25801.9
5000,Arkansas,1,Personal consumption expenditures,41941.2,44420.3,47450.4,50721,52962.6,55015.9,57972.8,61486.7,65762.2,69395.4,72798,75367.1,74807.9,77758.8,81253.7,83540.4,85290.2,88384.5,91353.2,94391.2,97895.2,101690.3,104158.6,104782.9,118144.1
5000,Arkansas,9,      Food and beverages purchased for off-premises consumption,3952.4,4000.5,4177.8,4313,4439.1,4447.6,4622.4,4815.3,5030.1,5178,5462,5729.4,5967.5,6109,6425.5,6606.6,6720,6962.1,7206.8,7445.5,7595,7678.9,7729.2,8549.9,9458.6
5000,Arkansas,10,      Clothing and footwear,2076.2,2180.7,2282.7,2334.2,2343.3,2334.4,2379.6,2401.2,2491.2,2553.8,2586.1,2549.2,2545.8,2628.8,2740.7,2840.5,2844.8,2917.3,2961.8,3042,3071.9,3109.4,3100.1,3067,4010.9
5000,Arkansas,13,  Services,25135.8,27019.9,28650.1,30656.9,32564.2,34183.3,36045.7,38164.7,40969.2,43288.5,45456.2,47447.8,47943.2,49327.2,51007.9,52409.2,53585.7,56020,59054.2,61509.1,64062.8,66777.4,68882.4,67528.9,73633.6
5000,Arkansas,19,      Food services and accommodations,2370,2475.2,2578.7,2741.6,2840.9,2969.5,3102.8,3307.8,3507.1,3727.7,3914.1,4098.6,4220.8,4346.6,4539.9,4730.7,4800.2,5016.6,5359.2,5606.4,5832.8,6026.5,6345.6,5913.9,7620.2
6000,California,1,Personal consumption expenditures,676652.2,716811.3,770478.3,838174,880192.8,918029.2,968262.3,1034173.3,1106797.6,1177180.9,1247693.8,1286556.7,1245397.5,1290347.2,1345682.2,1400967.9,1443067.6,1511296.2,1581389.3,1651249,1738353.6,1833872.8,1917201.3,1848651.7,2082806.8
6000,California,9,      Food and beverages purchased for off-premises consumption,54740.4,55894.6,60067.8,63729.8,67543.8,70223.1,73524.5,76543.9,80819.6,85079.4,91047.3,93860.8,91365.9,93128.4,97511,100959.9,103792.8,109201.3,113368.8,116078.5,119796.3,123086.1,127768.6,140352,151641.2
6000,California,10,      Clothing and footwear,31139.5,32705.9,34579,36807.8,35660.3,37103.2,37943.3,41906.5,44349.6,43824.3,44720.4,43414.6,39237.2,41307.5,44344.7,47226.9,47740.9,50091.3,51824.7,53004.2,55718.4,57987.4,60404.2,53205.3,67542.3
6000,California,13,  Services,452525.4,479448.9,509744.3,550556,581115,605997.2,641944,684844.2,736257.2,788886.1,845130.3,892332.2,885154.6,913424.3,945114.4,982316.1,1016044.2,1066010.4,1123298,1183727.4,1249496.5,1320879.7,1386537.3,1299071.4,1437305.6
6000,California,19,      Food services and accommodations,42657.6,45679.5,47558.7,51641.5,53704.2,56143.9,59695.4,64960.1,70091,75794.9,81142,83974.3,80492.7,82479.7,86579.9,91215.5,95659.6,104058.2,114424.8,123626.9,130555,139264.8,149538.7,119988.8,158086.7
8000,Colorado,1,Personal consumption expenditures,89413.4,96415.9,105716.3,116594.9,122831.3,126297,131876,139927.7,148249.8,157358.1,166609.7,172477.6,170145.4,175698.3,183822.9,189399.1,197806,209174.7,221188.9,233473.1,246543.7,259778,272795.8,272276.5,310212
8000,Colorado,9,      Food and beverages purchased for off-premises consumption,7265.3,7640.5,8482.4,8926.2,9568.1,9555.6,10056.9,10640.2,11373.4,11689,12481.7,13226,13497.5,13603.7,14240,14974.1,15468.4,16501,17381.8,18325.6,19271.2,19810.5,20636.1,22705.6,23819.4
8000,Colorado,10,      Clothing and footwear,3784.7,4041,4367.5,4557.7,4624.5,4578.4,4689.6,4833.6,5057.8,5298.4,5380,5314.9,5061.3,5206.9,5521.8,5667.5,5838.8,6030.3,6256.6,6465.6,6541.8,6868.8,7202.9,6704,8522.5
8000,Colorado,13,  Services,56321.9,60978.6,66128.8,73158.9,77719.8,81256.3,85324.5,90586.3,95792.4,102551.4,108720.2,114533.7,115587.6,119706.4,124983.5,128458.7,134177.9,141949.2,151394.5,160508.6,168391.7,177162.5,186805.7,180608.2,203450.1
8000,Colorado,19,      Food services and accommodations,6756.6,7069.1,7515.5,8280,8642.3,8921.3,9205.3,9834.4,10372.9,11005.6,11806.7,12359.1,12080.1,12496.3,13398,14093.2,14826.5,15949.7,17349.2,18223.7,19517.5,20932.7,22128.9,17958.5,23458.3
9000,Connecticut,1,Personal consumption expenditures,82908.8,88312.4,94399,100843.2,105200.4,109418.2,114994.9,121997.7,129335.2,135787.1,141447.7,145176,141512.1,145876.8,150579.2,154149.3,157135.5,162500.9,166029.8,169905.3,174977.7,181460.1,184842.1,180077,201202.1
9000,Connecticut,9,      Food and beverages purchased for off-premises consumption,6633.5,6727,7029.4,7233.4,7670.2,7952.7,8222.8,8610.2,9023,9381,9808.2,10068,9996.4,10210.9,10638.8,10921,11104,11493.4,11711.5,11809.7,12121.2,12072.1,12171.1,13170,14440.2
9000,Connecticut,10,      Clothing and footwear,3884.6,3928.2,4023.5,4108,4065.2,4059.3,4124.8,4229.2,4375.3,4475.6,4446.1,4335.8,4093.5,4270.3,4377.3,4530.9,4498.6,4538.2,4570.7,4566.2,4492.8,4523.7,4551.8,4004.9,5222.2
