FIPS,state_id,county_name,Population_2010,rural_urban_code,Description
1001,AL,Autauga,"54,571",2.00,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
1003,AL,Baldwin,"182,265",3.00,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1005,AL,Barbour,"27,457",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1007,AL,Bibb,"22,915",1.00,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1009,AL,Blount,"57,322",1.00,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1011,AL,Bullock,"10,914",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1013,AL,Butler,"20,947",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1015,AL,Calhoun,"118,572",3.00,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1017,AL,Chambers,"34,215",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1019,AL,Cherokee,"25,989",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1021,AL,Chilton,"43,643",1.00,Metro - Counties in metro areas of 1 million population or more                                                                                                                                         
1023,AL,Choctaw,"13,859",9.00,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
1025,AL,Clarke,"25,833",7.00,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
1027,AL,Clay,"13,932",9.00,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area                                                                                                           "
1029,AL,Cleburne,"14,972",8.00,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1031,AL,Coffee,"49,948",4.00,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
1033,AL,Colbert,"54,428",3.00,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1035,AL,Conecuh,"13,228",7.00,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area                                                                                                                            "
1037,AL,Coosa,"11,539",8.00,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1039,AL,Covington,"37,765",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1041,AL,Crenshaw,"13,906",8.00,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1043,AL,Cullman,"80,406",4.00,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
1045,AL,Dale,"50,251",4.00,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
1047,AL,Dallas,"43,820",4.00,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area                                                                                                                                 "
1049,AL,DeKalb,"71,109",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1051,AL,Elmore,"79,303",2.00,"Metro - Counties in metro areas of 250,000 to 1 million population                                                                                                                                      "
1053,AL,Escambia,"38,319",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1055,AL,Etowah,"104,430",3.00,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1057,AL,Fayette,"17,241",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1059,AL,Franklin,"31,704",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
1061,AL,Geneva,"26,790",3.00,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1063,AL,Greene,"9,045",8.00,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
1065,AL,Hale,"15,760",3.00,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1067,AL,Henry,"17,302",3.00,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1069,AL,Houston,"101,547",3.00,"Metro - Counties in metro areas of fewer than 250,000 population                                                                                                                                        "
1071,AL,Jackson,"53,227",6.00,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area                                                                                                                                "
