State,County_name,metro_status,farming,mining,manufacturing,government,recreation,non_specialized,low_education,low_employment,pop_loss,retirement_dest,persistent_poverty,persistent_child_poverty
AL,Autauga,1,0,0.00,0,0,0,1,0,0,0,1,0,0
AL,Baldwin,1,0,0.00,0,0,1,0,0,0,0,1,0,0
AL,Barbour,0,0,0.00,1,0,0,0,1,1,0,0,1,1
AL,Bibb,1,0,0.00,0,0,0,1,1,1,0,0,0,1
AL,Blount,1,0,0.00,0,0,0,1,1,1,0,0,0,0
AL,Bullock,0,0,0.00,1,1,0,0,1,1,0,0,1,1
AL,Butler,0,0,0.00,0,0,0,1,0,1,1,0,1,1
AL,Calhoun,1,0,0.00,0,1,0,0,0,1,0,0,0,0
AL,Chambers,0,0,0.00,0,0,0,1,1,1,1,0,0,1
AL,Cherokee,0,0,0.00,0,0,0,1,0,1,0,0,0,0
AL,Chilton,1,0,0.00,0,0,0,1,0,0,0,0,0,0
AL,Choctaw,0,0,0.00,1,0,0,0,0,1,1,0,1,1
AL,Clarke,0,0,0.00,1,0,0,0,0,1,0,0,1,1
AL,Clay,0,0,0.00,1,0,0,0,1,1,0,0,0,0
AL,Cleburne,0,0,0.00,0,0,0,1,1,1,0,0,0,0
AL,Coffee,0,0,0.00,0,0,0,1,0,0,0,0,0,0
AL,Colbert,1,0,0.00,0,0,0,1,0,0,0,0,0,0
AL,Conecuh,0,0,0.00,0,0,0,1,1,1,0,0,1,1
AL,Coosa,0,0,0.00,1,0,0,0,1,1,0,0,0,0
AL,Covington,0,0,0.00,0,0,0,1,0,1,0,0,0,1
AL,Crenshaw,0,0,0.00,1,0,0,0,0,0,0,0,0,1
AL,Cullman,0,0,0.00,0,0,0,1,0,0,0,0,0,0
AL,Dale,0,0,0.00,1,1,0,0,0,0,0,0,0,0
AL,Dallas,0,0,0.00,1,0,0,0,1,1,1,0,1,1
AL,DeKalb,0,0,0.00,1,0,0,0,1,1,0,0,0,0
AL,Elmore,1,0,0.00,0,0,0,1,0,0,0,0,0,0
AL,Escambia,0,0,0.00,0,0,0,1,1,1,0,0,1,1
AL,Etowah,1,0,0.00,0,0,0,1,0,1,0,0,0,0
AL,Fayette,0,0,0.00,0,0,0,1,0,1,0,0,0,0
AL,Franklin,0,0,0.00,1,0,0,0,1,0,0,0,0,0
AL,Geneva,1,0,0.00,0,0,0,1,1,1,0,0,0,1
AL,Greene,0,0,0.00,0,0,0,1,0,1,1,0,1,1
AL,Hale,1,0,0.00,0,0,0,1,1,1,0,0,1,1
AL,Henry,1,0,0.00,0,0,0,1,0,1,0,1,0,1
AL,Houston,1,0,0.00,0,0,0,1,0,0,0,0,0,1
AL,Jackson,0,0,0.00,1,0,0,0,1,1,0,0,0,0
AL,Jefferson,1,0,0.00,0,0,0,1,0,0,0,0,0,1
AL,Lamar,0,0,0.00,1,0,0,0,0,1,0,0,0,0
AL,Lauderdale,1,0,0.00,0,0,0,1,0,0,0,0,0,0
AL,Lawrence,1,0,0.00,1,0,0,0,0,1,0,0,0,0
AL,Lee,1,0,0.00,0,1,0,0,0,0,0,1,0,0
AL,Limestone,1,0,0.00,0,1,0,0,0,1,0,1,0,0
AL,Lowndes,1,0,0.00,1,0,0,0,0,1,0,0,1,1
AL,Macon,0,0,0.00,0,1,0,0,0,1,1,0,1,1
AL,Madison,1,0,0.00,0,1,0,0,0,0,0,0,0,0
AL,Marengo,0,0,0.00,0,0,0,1,0,1,1,0,1,1
AL,Marion,0,0,0.00,1,0,0,0,1,1,0,0,0,0
AL,Marshall,0,0,0.00,1,0,0,0,1,0,0,0,0,0
AL,Mobile,1,0,0.00,0,0,0,1,0,0,0,0,0,1
AL,Monroe,0,0,0.00,1,0,0,0,0,1,0,0,1,1
AL,Montgomery,1,0,0.00,0,1,0,0,0,0,0,0,0,1
