Year,Month,Self_Haul,Residential,Commercial,Landfill
2020,12,8212,10696,9139,29054
2020,11,7577,10065,8801,28710
2020,10,9555,10447,9294,31257
2020,9,9213,10695,9080,29884
2020,8,9739,9921,8679,30171
2020,7,9613,10783,8902,31273
2020,6,7861,10430,8840,28231
2020,5,6432,9619,7816,25836
2020,4,5476,9477,7566,24252
2020,3,7808,9496,9484,28065
2020,2,8291,8462,10491,28538
2020,1,7543,9811,11798,29211
2019,12,7106,9318,11267,29055
2019,11,7555,8800,10808,29307
2019,10,8961,9568,11692,31253
2019,9,9014,9092,11220,30110
2019,8,9931,9347,11670,32578
2019,7,9758,9916,11846,32811
2019,6,9200,8649,11165,30881
2019,5,9100,9549,11765,33016
2019,4,8438,9121,11394,29970
2019,3,8525,8560,10821,28770
2019,2,6019,7798,9537,24404
2019,1,7900,9649,11631,29608
2018,12,7076,8715,11122,27738
2018,11,7661,9102,11134,28523
2018,10,8904,9452,11913,30594
2018,9,9283,8413,10745,29975
2018,8,9611,9507,12334,32071
2018,7,8958,9082,11820,30730
2018,6,9027,8918,11608,30149
2018,5,9260,9425,11879,31708
2018,4,8296,8678,11318,28655
2018,3,8412,8805,11461,29012
2018,2,6768,7879,10257,25271
2018,1,7571,9508,12613,29880
2017,12,7107,8555,11266,28227
2017,11,7048,9115,12042,30578
2017,10,8241,8977,11695,29395
2017,9,8345,8669,11364,28864
2017,8,8843,9308,12515,32235
2017,7,8865,8654,11399,30568
2017,6,8876,9142,11992,30600
2017,5,10556,9389,12056,31933
2017,4,7926,7913,11211,28642
2017,3,9628,9122,12195,30546
2017,2,6469,7910,10604,25463
2017,1,7389,8639,10923,26900
2016,12,5763,8448,11336,26172
2016,11,5162,8998,11972,26262
2016,10,5165,8625,11695,24584
2016,9,5889,8782,11443,25970
2016,8,6457,9216,12557,28244
2016,7,6184,8462,11140,25252
2016,6,6000,8781,11858,27021
2016,5,5642,8611,11605,25754
2016,4,5414,8244,11264,24638
2016,3,5124,9096,11678,26077
2016,2,4551,8226,10741,23305
2016,1,4490,8421,11258,24339
2014,1,5165,9627,11244,26036
2014,2,3697,8348,10036,22080
2014,3,4755,9062,11208,25025
2014,4,5130,9427,11252,25810
2014,5,5272,9507,11253,26032
2014,6,5034,9186,11543,25762
2014,7,5258,10015,12265,27538
2014,8,5399,9138,12135,26672
2014,9,5076,9704,11979,26759
2014,10,4767,9867,12696,27329
2014,11,4027,8656,11453,24136
2014,12,4268,9674,12393,26335
2015,1,4832,8511,11393,24736
2015,2,4707,7723,10450,22880
2015,3,5023,8583,11592,25198
2015,4,4915,8356,11615,24886
2015,5,5408,8145,11301,24853
2015,6,5377,8742,11909,26028
2015,7,5669,8846,12157,26672
2015,8,5646,8311,11662,25619
2015,9,5428,8814,12009,26251
2015,10,5131,8436,11870,25438
2015,11,4443,8407,11547,24397
2015,12,4360,9098,12052,25511
2012,1,4816,9419,10695,24930
2012,2,5168,8612,10417,24197
2012,3,5441,9121,11238,25800
2012,4,6122,8981,10902,26005
2012,5,7038,9793,11876,28707
2012,6,6417,9216,11230,26863
2012,7,6689,8678,10845,26212
2012,8,6613,10521,12406,29541
2012,9,6113,8496,10528,25136
2012,10,5750,9655,11803,27208
2012,11,5286,9809,11378,26473
2012,12,5021,9121,10771,24913
2013,1,5362,9515,11113,25989
2013,2,4981,8132,9604,22717
2013,3,6057,8657,10574,25287
2013,4,5989,9365,10980,26335
2013,5,6691,9735,11494,27921
2013,6,6597,8786,10779,26162
2013,7,7058,9988,11446,28493
2013,8,7342,9468,11786,28595
2013,9,6864,9397,11341,27602
2013,10,6382,9706,12079,28167
2013,11,5573,8981,10641,25195
2013,12,5122,9109,10564,24794
2010,1,6727,8969,12507,28203
2010,2,5894,8375,11094,25363
2010,3,6851,9607,12786,29244
2010,4,6512,9362,11868,27742
2010,5,6683,9164,11719,27566
2010,6,7314,9982,12070,29367
2010,7,7168,9701,11877,28745
2010,8,7164,9792,12055,29010
2010,9,6940,9907,11724,28571
2010,10,6507,9203,11384,27094
2010,11,5812,9475,11100,26388
2010,12,5720,10559,11998,28277
2011,1,5579,9369,10894,25842
2011,2,4762,8323,10058,23143
2011,3,5686,9852,11780,27318
2011,4,5899,9085,11188,26173
2011,5,6505,9514,11697,27715
2011,6,6542,9776,11940,28258
2011,7,6571,9268,11225,27065
2011,8,6682,10129,12318,29130
2011,9,6469,9521,11443,27433
2011,10,6002,9184,11071,26257
2011,11,5288,9643,11170,26101
2011,12,5048,9108,10752,24908
2008,1,7500,11183,15819,34502
2008,2,7603,9926,14213,31743
2008,3,7794,10095,14900,32788
2008,4,7901,10563,15230,33694
2008,5,8398,10658,15499,34555
2008,6,8309,10707,15137,34154
2008,7,8630,11440,15496,35566
2008,8,8404,10729,14821,33954
2008,9,8123,11268,14915,34305
2008,10,7266,11316,14884,33466
2008,11,6272,10126,13518,29915
2008,12,4695,9209,12358,26262
2009,1,6672,11875,13983,32530
2009,2,5781,9039,11853,26672
2009,3,6332,9771,13268,29371
2009,4,6925,9265,12575,28765
2009,5,7102,9561,12183,28845
2009,6,7362,10326,12758,30447
2009,7,7190,10516,12792,30498
2009,8,7432,9775,12252,29460
2009,9,7449,9776,12788,30013
2009,10,7226,9360,12818,29405
2009,11,6138,9822,12017,27977
2009,12,5955,9640,12111,27706
2006,1,7211,11750,17365,36326
2006,2,6964,9760,14802,31526
2006,3,8064,11092,17151,36306
2006,4,8090,9932,15495,33516
2006,5,9408,11772,17515,38695
2006,6,9728,11644,17453,38826
2006,7,9964,10792,16629,37385
2006,8,10077,11782,17934,39793
2006,9,9418,10846,16455,36720
2006,10,9160,11087,16729,36976
2006,11,7267,11131,16809,35207
2006,12,8077,12074,16865,37015
2007,1,7752,11717,16949,36417
2007,2,7847,9823,15008,32678
2007,3,8944,11010,16707,36661
2007,4,9305,10664,16184,36153
2007,5,9533,11653,17529,38715
2007,6,9739,10929,16994,37661
2007,7,10123,11350,17167,38641
2007,8,10345,11961,18258,40564
2007,9,9136,10446,15386,34969
2007,10,9101,11710,17011,37822
2007,11,8063,11239,15762,35063
2007,12,7211,10838,16012,34061
2004,1,7195,12160,17343,36698
2004,2,7403,10538,16459,34399
2004,3,8273,12131,19050,39453
2004,4,8326,11654,17703,37683
2004,5,8611,11236,18221,38067
2004,6,9295,12472,18159,39925
2004,7,9427,12114,17848,39390
2004,8,9689,12258,18552,40498
2004,9,8734,12373,18806,39913
2004,10,8181,11340,17739,37259
2004,11,7626,12061,17961,37647
2004,12,7009,12191,18273,37472
2005,1,7618,11108,16866,35592
2005,2,7074,9751,15507,32331
2005,3,7933,11495,17898,37326
2005,4,8105,11194,16621,35920
2005,5,9037,11361,16945,37343
2005,6,9209,11900,18176,39286
2005,7,9433,10918,16985,37336
2005,8,9635,11769,18365,39768
2005,9,9020,11468,17728,38216
2005,10,8948,10947,16580,36475
2005,11,7365,11569,17040,35973
2005,12,7121,11079,16927,35128
2002,1,7669,12627,18422,38718
