Activity,state_id,City,year,generator_category,generator_subcategory,material,material_subcategory,tons,percentage
Disposal,WA,Statewide,2015,all,,paper,,683753,
Disposal,WA,Statewide,2015,all,,paper,compostable_paper,233338,
Disposal,WA,Statewide,2015,all,,plastic,,466749,
Disposal,WA,Statewide,2015,all,,metal,,266781,
Disposal,WA,Statewide,2015,all,,glass,,103382,
Disposal,WA,Statewide,2015,all,,organic,,1306136,
Disposal,WA,Statewide,2015,all,,organic,food,779555,
Disposal,WA,Statewide,2015,all,,other materials,,1762736,
Disposal,WA,Statewide,2015,commercial,,paper,,338279,
Disposal,WA,Statewide,2015,commercial,,paper,compostable_paper,116717,
Disposal,WA,Statewide,2015,commercial,,plastic,,230241,
Disposal,WA,Statewide,2015,commercial,,metal,,153159,
Disposal,WA,Statewide,2015,commercial,,glass,,42052,
Disposal,WA,Statewide,2015,commercial,,organic,,533363,
Disposal,WA,Statewide,2015,commercial,,organic,food,374218,
Disposal,WA,Statewide,2015,commercial,,other materials,,710077,
Disposal,WA,Statewide,2015,residential,,paper,,290832,
Disposal,WA,Statewide,2015,residential,,paper,compostable_paper,105845,
Disposal,WA,Statewide,2015,residential,,plastic,,177725,
Disposal,WA,Statewide,2015,residential,,metal,,52826,
Disposal,WA,Statewide,2015,residential,,glass,,50087,
Disposal,WA,Statewide,2015,residential,,organic,,664379,
Disposal,WA,Statewide,2015,residential,,organic,food,369178,
Disposal,WA,Statewide,2015,residential,,other materials,,325961,
Disposal,WA,Statewide,2020,all,,paper,,879891,
Disposal,WA,Statewide,2020,all,,paper,compostable_paper,287541,
Disposal,WA,Statewide,2020,all,,plastic,,692798,
Disposal,WA,Statewide,2020,all,,metal,,396066,
Disposal,WA,Statewide,2020,all,,glass,,120539,
Disposal,WA,Statewide,2020,all,,organic,,1201924,
Disposal,WA,Statewide,2020,all,,organic,food,720927,
Disposal,WA,Statewide,2020,all,,construction and demolition,,,
Disposal,WA,Statewide,2020,all,,other materials,,1984296,
Disposal,WA,Statewide,2020,commercial,,paper,,336761,
Disposal,WA,Statewide,2020,commercial,,paper,compostable_paper,95317,
Disposal,WA,Statewide,2020,commercial,,plastic,,249724,
Disposal,WA,Statewide,2020,commercial,,metal,,99642,
Disposal,WA,Statewide,2020,commercial,,glass,,25311,
Disposal,WA,Statewide,2020,commercial,,organic,,257693,
Disposal,WA,Statewide,2020,commercial,,organic,food,206163,
Disposal,WA,Statewide,2020,commercial,,construction and demolition,,,
Disposal,WA,Statewide,2020,commercial,,other materials,,538064,
Disposal,WA,Statewide,2020,residential,,paper,,400887,
Disposal,WA,Statewide,2020,residential,,paper,compostable_paper,177388,
Disposal,WA,Statewide,2020,residential,,plastic,,319227,
Disposal,WA,Statewide,2020,residential,,metal,,149650,
Disposal,WA,Statewide,2020,residential,,glass,,77299,
Disposal,WA,Statewide,2020,residential,,organic,,778319,
Disposal,WA,Statewide,2020,residential,,organic,food,446436,
Disposal,WA,Statewide,2020,residential,,construction and demolition,,,
Disposal,WA,Statewide,2020,residential,,other materials,,627388,
Disposal,PA,Statewide,2003,all,,paper,,3117182,
Disposal,PA,Statewide,2003,all,,plastic,,1062336,
Disposal,PA,Statewide,2003,all,,metal,,508702,
Disposal,PA,Statewide,2003,all,,glass,,282316,
Disposal,PA,Statewide,2003,all,,organic,,3204208,
Disposal,PA,Statewide,2003,all,,organic,food,1127170,
Disposal,PA,Statewide,2003,all,,other materials,,1194338,
Disposal,PA,Statewide,2003,residential,,paper,,1574634,
Disposal,PA,Statewide,2003,residential,,plastic,,526896,
Disposal,PA,Statewide,2003,residential,,metal,,290009,
Disposal,PA,Statewide,2003,residential,,glass,,182216,
Disposal,PA,Statewide,2003,residential,,organic,,1863389,
Disposal,PA,Statewide,2003,residential,,organic,food,621205,
Disposal,PA,Statewide,2003,residential,,other materials,,644786,
Disposal,PA,Statewide,2003,commercial,,paper,,1535571,
Disposal,PA,Statewide,2003,commercial,,plastic,,532478,
Disposal,PA,Statewide,2003,commercial,,metal,,219539,
Disposal,PA,Statewide,2003,commercial,,glass,,101847,
Disposal,PA,Statewide,2003,commercial,,organic,,1348348,
Disposal,PA,Statewide,2003,commercial,,organic,food,506554,
Disposal,PA,Statewide,2003,commercial,,other materials,,549370,
Disposal,PA,Statewide,2022,all,,paper,,2420102,
Disposal,PA,Statewide,2022,all,,paper,compostable_paper,687153,
Disposal,PA,Statewide,2022,all,,plastic,,1774458,
Disposal,PA,Statewide,2022,all,,metal,,366255,
Disposal,PA,Statewide,2022,all,,glass,,234962,
Disposal,PA,Statewide,2022,all,,organic,,3742309,
Disposal,PA,Statewide,2022,all,,organic,food,1593109,
Disposal,PA,Statewide,2022,all,,other materials,,854617,
Disposal,PA,Statewide,2022,commercial,,paper,,1340910,
Disposal,PA,Statewide,2022,commercial,,paper,compostable_paper,304590,
Disposal,PA,Statewide,2022,commercial,,plastic,,1037052,
Disposal,PA,Statewide,2022,commercial,,metal,,169479,
Disposal,PA,Statewide,2022,commercial,,glass,,78610,
Disposal,PA,Statewide,2022,commercial,,organic,,1632448,
Disposal,PA,Statewide,2022,commercial,,organic,food,827555.17,
Disposal,PA,Statewide,2022,commercial,,other materials,,313629,
Disposal,PA,Statewide,2022,residential,,paper,,1079192,
Disposal,PA,Statewide,2022,residential,,paper,compostable_paper,382562,
Disposal,PA,Statewide,2022,residential,,plastic,,737405,
Disposal,PA,Statewide,2022,residential,,metal,,196775,
Disposal,PA,Statewide,2022,residential,,glass,,156352,
Disposal,PA,Statewide,2022,residential,,organic,,2109859,
Disposal,PA,Statewide,2022,residential,,organic,food,764239,
Disposal,PA,Statewide,2022,residential,,other materials,,540988,
Disposal,OR,Statewide,2005,all,,paper,,483496,
Disposal,OR,Statewide,2005,all,,plastic,,283238,
Disposal,OR,Statewide,2005,all,,metal,,228810,
Disposal,OR,Statewide,2005,all,,glass,,47624,
Disposal,OR,Statewide,2005,all,,organic,,1462054,
Disposal,OR,Statewide,2005,all,,organic,food,477419,
Disposal,OR,Statewide,2005,all,,organic,other_organics,741915,
Disposal,OR,Statewide,2005,all,,other materials,,363195,
Disposal,OR,Statewide,2009,all,,paper,,341780.93,
Disposal,OR,Statewide,2009,all,,plastic,,255237.14,
Disposal,OR,Statewide,2009,all,,metal,,178371.95,
Disposal,OR,Statewide,2009,all,,glass,,52151.85,
Disposal,OR,Statewide,2009,all,,organic,,1293712.95,
Disposal,OR,Statewide,2009,all,,organic,food,457382.03,
Disposal,OR,Statewide,2009,all,,organic,other_organics,593179.12,
Disposal,OR,Statewide,2009,all,,other materials,,302221.59,
Disposal,OR,Statewide,2016,all,,paper,,335226.36,
Disposal,OR,Statewide,2016,all,,plastic,,271397.67,
Disposal,OR,Statewide,2016,all,,metal,,151625.99,
Disposal,OR,Statewide,2016,all,,glass,,71400.66,
Disposal,OR,Statewide,2016,all,,organic,,1527508.58,
Disposal,OR,Statewide,2016,all,,organic,food,479260.79,
Disposal,OR,Statewide,2016,all,,organic,other_organics,772394.23,
Disposal,OR,Statewide,2016,all,,other materials,,437065.02,
Disposal,OH,Statewide,2019,residential,,paper,,104048,
Disposal,OH,Statewide,2019,residential,,paper,compostable_paper,34711,
Disposal,OH,Statewide,2019,residential,,plastic,,70396,
Disposal,OH,Statewide,2019,residential,,metal,,17132,
Disposal,OH,Statewide,2019,residential,,glass,,14719,
Disposal,OH,Statewide,2019,residential,,organic,,114377,
Disposal,OH,Statewide,2019,residential,,organic,food,66030,
Disposal,OH,Statewide,2019,residential,,other materials,,137228,
Disposal,OH,Statewide,2019,commercial,,paper,,220691,
Disposal,OH,Statewide,2019,commercial,,paper,compostable_paper,53746,
Disposal,OH,Statewide,2019,commercial,,plastic,,120461,
Disposal,OH,Statewide,2019,commercial,,metal,,22416,
Disposal,OH,Statewide,2019,commercial,,glass,,19183,
Disposal,OH,Statewide,2019,commercial,,organic,,126637,
Disposal,OH,Statewide,2019,commercial,,organic,food,102768,
Disposal,OH,Statewide,2019,commercial,,other materials,,181990,
Disposal,OH,Statewide,2019,all,,paper,,324740,
Disposal,OH,Statewide,2019,all,,paper,compostable_paper,88457,
Disposal,OH,Statewide,2019,all,,plastic,,190857,
Disposal,OH,Statewide,2019,all,,metal,,39548,
Disposal,OH,Statewide,2019,all,,glass,,33902,
