state_id,year,phase,material,threshold,distance_threshold
MA,2014,1,food,52,1000000
MA,2015,1,food,52,1000000
MA,2016,1,food,52,1000000
MA,2017,1,food,52,1000000
MA,2018,1,food,52,1000000
MA,2019,1,food,52,1000000
MA,2020,1,food,52,1000000
MA,2021,1,food,52,1000000
MA,2022,2,food,26,1000000
CT,2014,1,organic,104,20
CT,2015,1,organic,104,20
CT,2016,1,organic,104,20
CT,2017,1,organic,104,20
CT,2018,1,organic,104,20
CT,2019,1,organic,104,20
CT,2020,2,organic,52,20
CT,2021,2,organic,52,20
CT,2022,2,organic,52,20
VT,2014,1,food,104,20
VT,2015,2,food,52,20
VT,2016,3,food,26,20
VT,2017,4,food,18,20
VT,2018,4,food,18,20
VT,2019,4,food,18,20
VT,2020,5,organic,0,1000000
VT,2021,5,organic,0,1000000
VT,2022,5,organic,0,1000000
RI,2016,1,organic,104,15
RI,2017,1,organic,104,15
RI,2018,2,organic,52,15
RI,2019,2,organic,52,15
RI,2020,2,organic,52,15
RI,2021,2,organic,52,15
RI,2022,3,organic,30,15
CA,2016,1,all_organic,52,1000000
CA,2017,2,all_organic,26,1000000
CA,2018,2,all_organic,26,1000000
CA,2019,3,all_organic,13,1000000
CA,2020,3,all_organic,13,1000000
CA,2021,3,all_organic,13,1000000
CA,2022,3,all_organic,13,1000000
