town_name,lat_gen,long_gen
WINDSOR,43.4821,-72.3978
WOODSTOCK,43.6259,-72.5215
SOUTH WOODSTOCK,43.6054,-72.5149
RANDOLPH,43.9279,-72.6659
SOUTH STRAFFORD,43.8201,-72.3759
STRAFFORD,43.8263,-72.3603
THETFORD,43.7926,-72.2071
Fairlee,43.9204,-72.143
BRADFORD,43.99,-72.1292
TOPSHAM,44.1569,-72.1663
EAST CORINTH,44.0076,-72.2676
TUNBRIDGE,43.8874,-72.4742
VERSHIRE,43.9179,-72.359
WASHINGTON,44.0803,-72.4825
WELLS RIVER,44.1537,-72.0649
NEWBURY,44.0543,-72.0625
WEST FAIRLEE,44.0329,-72.3173
WEST NEWBURY,44.0964,-72.3135
WILLIAMSTOWN,44.1101,-72.4817
ALBANY,44.7204,-72.4006
BARTON,44.7541,-72.1917
CHARLESTON,44.8196,-72.004
COVENTRY,44.9269,-72.2546
CRAFTSBURY,44.6529,-72.3293
CRAFTSBURY COMMON,44.6444,-72.369
DERBY,44.9326,-72.0995
EAST CHARLESTON,44.8224,-71.997
GLOVER,44.7139,-72.1677
GREENSBORO,44.6186,-72.3006
HOLLAND,44.9173,-72.179
IRASBURG,44.8173,-72.2664
JAY,44.9682,-72.5137
LOWELL,44.8034,-72.47
MORGAN,44.92,-72.1912
NEWPORT CITY,44.9362,-72.2047
NEWPORT,44.9365,-72.2079
NEWPORT TOWN,44.9376,-72.1577
TROY,44.9481,-72.2142
NORTH TROY,44.9919,-72.4063
ORLEANS,44.8303,-72.2132
BRATTLEBORO,42.8509,-72.5579
DUMMERSTON,42.919,-72.5342
MARLBORO,42.878,-72.7383
TOWNSHEND,43.0514,-72.707
BROOKLINE,42.9764,-72.639
DOVER,42.93,-72.8262
WEST DOVER,42.9335,-72.8683
BERLIN,44.2281,-72.5565
E DUMMERSTON,42.8936,-72.5094
GRAFTON,43.1722,-72.6042
GUILFORD,42.8092,-72.556
HALIFAX,42.783,-72.7373
JACKSONVILLE,42.7902,-72.7882
WHITINGHAM,42.8724,-72.9019
JAMAICA,43.0397,-72.7974
