Activity,state_id,City,year,generator_category,material,tons,percentage,need_to_find
Disposal,WA,Statewide,2021,commercial,compostable_paper,95317,,
Disposal,WA,Statewide,2021,commercial,food,206163,,
Disposal,WA,Statewide,2021,commercial,yard_waste,24979,,
Disposal,WA,Statewide,2021,commercial,total,1507195,,
Disposal,WA,Statewide,2021,residential,compostable_paper,177388,,
Disposal,WA,Statewide,2021,residential,food,446436,,
Disposal,WA,Statewide,2021,residential,yard_waste,79768,,
Disposal,WA,Statewide,2021,residential,total,2352770,,
Disposal,WA,Statewide,2021,self_haul,compostable_paper,14834,,
Disposal,WA,Statewide,2021,self_haul,food,68329,,
Disposal,WA,Statewide,2021,self_haul,yard_waste,84581,,
Disposal,WA,Statewide,2021,self_haul,total,1415549,,
Disposal,WA,Statewide,2021,all,compostable_paper,287541,,
Disposal,WA,Statewide,2021,all,food,720927,,
Disposal,WA,Statewide,2021,all,yard_waste,189328,,
Disposal,WA,Statewide,2021,all,total,5275514,,
Disposal,WA,Statewide,2015,all,compostable_paper,49332,,
Disposal,WA,Statewide,2015,all,food,779555,,
Disposal,WA,Statewide,2015,all,yard_waste,308154,,
Disposal,WA,Statewide,2015,all,total,4589537,,
Disposal,WA,Statewide,2015,commercial,compostable_paper,30758,,
Disposal,WA,Statewide,2015,commercial,food,374218,,
Disposal,WA,Statewide,2015,commercial,yard_waste,73603,,
Disposal,WA,Statewide,2015,commercial,total,2007171,,
Disposal,WA,Statewide,2015,residential,compostable_paper,16738,,
Disposal,WA,Statewide,2015,residential,food,369178,,
Disposal,WA,Statewide,2015,residential,yard_waste,180452,,
Disposal,WA,Statewide,2015,residential,total,1561810,,
Disposal,WI,Statewide,2009,all,compostable_paper,213694,,
Disposal,WI,Statewide,2009,all,food,455259,,
Disposal,WI,Statewide,2009,all,yard_waste,179695,,
Disposal,WI,Statewide,2009,all,total,4291503,,
Disposal,WI,Statewide,2009,residential,compostable_paper,103706,,
Disposal,WI,Statewide,2009,residential,food,251423,,
Disposal,WI,Statewide,2009,residential,yard_waste,99124,,
Disposal,WI,Statewide,2009,residential,total,1440491,,
Disposal,WI,Statewide,2009,commercial,compostable_paper,89534,,
Disposal,WI,Statewide,2009,commercial,food,239546,,
Disposal,WI,Statewide,2009,commercial,yard_waste,67319,,
Disposal,WI,Statewide,2009,commercial,total,2109456,,
Disposal,WI,Statewide,2002,all,compostable_paper,228310,,
Disposal,WI,Statewide,2002,all,food,486619,,
Disposal,WI,Statewide,2002,all,yard_waste,61921,,
Disposal,WI,Statewide,2002,all,total,4752218,,
Disposal,WI,Statewide,2002,residential,compostable_paper,95567,,
Disposal,WI,Statewide,2002,residential,food,206363,,
Disposal,WI,Statewide,2002,residential,yard_waste,29825,,
Disposal,WI,Statewide,2002,residential,total,1535679,,
Disposal,WI,Statewide,2002,commercial,compostable_paper,131327,,
Disposal,WI,Statewide,2002,commercial,food,277650,,
Disposal,WI,Statewide,2002,commercial,yard_waste,27692,,
Disposal,WI,Statewide,2002,commercial,total,2100198,,
Disposal,PA,Statewide,2003,all,compostable_paper,,,
Disposal,PA,Statewide,2003,all,food,1127170,,
Disposal,PA,Statewide,2003,all,yard_waste,483248,,
Disposal,PA,Statewide,2003,all,total,9369083,,
Disposal,PA,Statewide,2003,residential,compostable_paper,,,
Disposal,PA,Statewide,2003,residential,food,621205,,
Disposal,PA,Statewide,2003,residential,yard_waste,384564,,
Disposal,PA,Statewide,2003,residential,total,5081930,,
Disposal,PA,Statewide,2003,commercial,compostable_paper,,,
Disposal,PA,Statewide,2003,commercial,food,506554,,
Disposal,PA,Statewide,2003,commercial,yard_waste,106036,,
Disposal,PA,Statewide,2003,commercial,total,4287153,,
Disposal,PA,Statewide,2021,all,compostable_paper,687153,,
Disposal,PA,Statewide,2021,all,food,1593109,,
Disposal,PA,Statewide,2021,all,yard_waste,332061,,
Disposal,PA,Statewide,2021,all,total,9392702,,
Disposal,PA,Statewide,2021,residential,compostable_paper,382562,,
Disposal,PA,Statewide,2021,residential,food,764239,,
Disposal,PA,Statewide,2021,residential,yard_waste,252169,,
Disposal,PA,Statewide,2021,residential,total,4820572,,
Disposal,PA,Statewide,2021,commercial,compostable_paper,304590,,
Disposal,PA,Statewide,2021,commercial,food,828870,,
Disposal,PA,Statewide,2021,commercial,yard_waste,79893,,
Disposal,PA,Statewide,2021,commercial,total,4572128,,
Disposal,OR,Statewide,2016,residential,compostable_paper,,,
Disposal,OR,Statewide,2016,residential,food,191353.6173,,
Disposal,OR,Statewide,2016,residential,yard_waste,31145.41294,,
Disposal,OR,Statewide,2016,residential,total,779101.17,,
Disposal,OR,Statewide,2016,all,compostable_paper,,,
Disposal,OR,Statewide,2016,all,food,279896.2929,,
Disposal,OR,Statewide,2016,all,yard_waste,37690.72599,,
Disposal,OR,Statewide,2016,all,total,1122501.79,,
Disposal,OR,Statewide,2016,commercial,compostable_paper,,,
Disposal,OR,Statewide,2016,commercial,food,88542.67562,,
Disposal,OR,Statewide,2016,commercial,yard_waste,6545.313051,,
Disposal,OR,Statewide,2016,commercial,total,343400.62,,
Disposal,OR,Statewide,2009,residential,compostable_paper,,,
Disposal,OR,Statewide,2009,residential,food,186559.3537,,
Disposal,OR,Statewide,2009,residential,yard_waste,42763.14497,,
Disposal,OR,Statewide,2009,residential,total,646170,,
Disposal,OR,Statewide,2009,all,compostable_paper,,,
Disposal,OR,Statewide,2009,all,food,268552.8872,,
Disposal,OR,Statewide,2009,all,yard_waste,53935.85317,,
