year,month,self_haul,residential,commercial
2020,12,421.00,7650.00,4335.00
2020,11,591.00,10544.00,4376.00
2020,10,703.00,8373.00,4361.00
2020,9,619.00,7283.00,4142.00
2020,8,703.00,7127.00,4138.00
2020,7,833.00,9304.00,4094.00
2020,6,704.00,10654.00,3538.00
2020,5,587.00,11351.00,3441.00
2020,4,482.00,10363.00,3435.00
2020,3,497.00,7010.00,6524.00
2020,2,378.00,4903.00,6625.00
2020,1,262.00,5290.00,6672.00
2019,12,357.00,5772.00,7536.00
2019,11,641.00,9896.00,7535.00
2019,10,585.00,8170.00,7593.00
2019,9,572.00,6680.00,7365.00
2019,8,655.00,6962.00,7363.00
2019,7,671.00,8070.00,7421.00
2019,6,783.00,8143.00,7165.00
2019,5,732.00,10266.00,7215.00
2019,4,643.00,8731.00,7151.00
2019,3,659.00,6249.00,6710.00
2019,2,279.00,3796.00,6556.00
2019,1,380.00,6370.00,6672.00
2018,12,387.00,6130.00,7422.00
2018,11,532.00,10452.00,7394.00
2018,10,547.00,7834.00,7405.00
2018,9,570.00,6102.00,7069.00
2018,8,536.00,6766.00,7080.00
2018,7,584.00,7156.00,7097.00
2018,6,611.00,8330.00,7304.00
2018,5,694.00,11044.00,7276.00
2018,4,523.00,7805.00,7295.00
2018,3,518.00,6806.00,6997.00
2018,2,297.00,4674.00,6928.00
2018,1,329.00,5849.00,6968.00
2017,12,385.00,6551.00,7065.00
2017,11,552.00,11237.00,7062.00
2017,10,599.00,7451.00,7097.00
2017,9,569.00,6223.00,6814.00
2017,8,520.00,6725.00,6793.00
2017,7,640.00,7465.00,6756.00
2017,6,684.00,9951.00,6672.00
2017,5,613.00,11786.00,6739.00
2017,4,581.00,8204.00,6625.00
2017,3,406.00,5980.00,6370.00
2017,2,310.00,4352.00,6128.00
2017,1,270.00,4864.00,6276.00
2016,12,227.00,5600.00,5753.00
2016,11,338.00,10439.00,5742.00
2016,10,303.00,7719.00,5735.00
2016,9,368.00,7059.00,5583.00
2016,8,367.00,7226.00,5653.00
2016,7,541.00,7510.00,5581.00
2016,6,469.00,8704.00,5451.00
2016,5,511.00,9804.00,5528.00
2016,4,470.00,9621.00,5447.00
2016,3,350.00,7716.00,5139.00
2016,2,238.00,5200.00,5116.00
2016,1,211.00,5274.00,5154.00
2015,12,236.00,6723.00,5117.00
2015,11,317.00,9758.00,5189.00
2015,10,373.00,7647.00,5220.00
2015,9,393.00,8000.00,5107.00
2015,8,346.00,6273.00,5129.00
2015,7,370.00,6800.00,5128.00
2015,6,431.00,8336.00,4883.00
2015,5,463.00,9155.00,4861.00
2015,4,398.00,8686.00,4845.00
2015,3,367.00,7100.00,4331.00
2015,2,252.00,5222.00,4251.00
2015,1,221.00,5513.00,4401.00
2014,12,264.00,6922.00,4268.00
2014,11,312.00,7878.00,4246.00
2014,10,355.00,7528.00,4231.00
2014,9,359.00,6300.00,4213.00
2014,8,381.00,5813.00,4202.00
2014,7,451.00,7033.00,4199.00
2014,6,510.00,8456.00,4048.00
2014,5,458.00,10118.00,4019.00
2014,4,396.00,8675.00,4005.00
2014,3,271.00,5818.00,3717.00
2014,2,156.00,3154.00,3709.00
2014,1,273.00,4894.00,3730.00
2013,12,293.00,4457.00,3960.00
2013,11,647.00,9531.00,3979.00
2013,10,582.00,7384.00,3998.00
2013,9,521.00,6156.00,3867.00
2013,8,572.00,5929.00,3846.00
