X,Y,ID,FSGName,TonsPerWeek,TYPE1,TYPE2,TYPE3,Address,Town,County,Zip,Phone,Website,Facebook,Active
507300.3037,106026.6511,1,BROOKHAVEN CATERER,0.05,Food Establishment,Caterer,,1470 ROUTE 44,WINDSOR,WINDSOR,5089,,,,1
508517.0925,110238.6996,2,VERMONT WHOLE FOODS CATERING,0.05,Food Establishment,Caterer,,153 PEMBROKE RD,WINDSOR,WINDSOR,5089,(802) 674-5273,,,1
508517.0925,110238.6996,3,JUNIPER HILL INN,0.735,Food Establishment,Restaurant,,153 PEMBROKE ROAD,WINDSOR,WINDSOR,5089,,http://juniperhillinn.com/,http://www.facebook.com/juniper.hill.inn,1
509053.2268,108528.4833,4,WINDSOR ELKS BPO LODGE 1665,1.68,Food Establishment,Restaurant,,156 MAIN ST,WINDSOR,WINDSOR,5089,8026749966,,,1
508685.5586,111316.5717,5,JOHN P LARKIN COUNTRY CLUB,0.945,Food Establishment,Restaurant,,1571 ROUTE 5 NORTH,WINDSOR,WINDSOR,5089,8026746491,,,1
506317.4209,109836.3221,6,GREEN MOUNTAIN FLOUR,0.05,Food Establishment,Caterer,,17 MOONRISE HILL,WINDSOR,WINDSOR,5089,,,,1
509061.4966,108395.1765,7,Cumberland Farms,0.18,Food Establishment,Caterer,,183 MAIN ST,WINDSOR,WINDSOR,5089,5082704407,http://www.cumberlandfarms.com/,,1
508818.6761,108472.623,8,THIS N THAT TRADING POST TRADING AS TLC,0.05,Food Establishment,Caterer,,19 1/2 UNION ST,WINDSOR,WINDSOR,5089,(802) 674-6776,,,1
508818.6761,108472.623,9,VITTLE STOP BBQ,0.05,Food Establishment,Caterer,,19 1/2 UNION STREET,WINDSOR,WINDSOR,5089,,,,1
508526.9249,108861.0914,10,WINDSOR HIGH SCHOOL,0.04795,Food Establishment,School,,19 ASCUTNEY ST,WINDSOR,WINDSOR,5089,8026746344,,,1
508767.1242,110783.4037,11,GRANNY O COOKIES,0.13,Food Establishment,Bakery,,194 HUNTINGTON DRIVE,WINDSOR,WINDSOR,5053,,,,1
508470.1268,108994.3378,12,GREEN MOUNTAIN ASIAN MARKET,0.18,Food Establishment,Grocery,,2 ASCUTNEY ST,WINDSOR,WINDSOR,5089,,,,1
509050.4346,110606.0207,13,STUBS & LAURAS,0.26,Food Establishment,Restaurant,,2066 ROUTE 5 N,WINDSOR,WINDSOR,5089,(802) 674-5715,,,1
509050.4346,110606.0207,14,FRAZERS PLACE,0.42,Food Establishment,Restaurant,,2066 VT RT 5 N,WINDSOR,WINDSOR,5030,8026749859,,,1
509498.077,108617.9744,15,OUR NEIGHBORHOOD KITCHEN,0.05,Food Establishment,Caterer,,27 JARVIS ST,WINDSOR,WINDSOR,5089,(802) 345-8350,,,1
