Number,Category,Company,Address,Cit,ZIP,Contact,Phone,lat,long
1,Compost,360 Recycling,100 Sergeant Thomas Dion Way,Westfield,1085,Nathan Michalewicz,413-562-0193,42.14761666,-72.72179579
2,Animal Feed,Agracomp Inc.,156 Annie Moore Road,Bolton,1740,Joe Donato,978-779-5434,42.431229,-71.56237538
3,Compost,Agresource Inc.,100 Main Street,Amesbury,1913,Geoff Kuter,978-388-5110,42.85605885,-70.93121852
4,Compost,Bear Path Farm,134 Webber Road,Whately,1093,Mike Mahar,413-386-4932,42.43501625,-72.67855369
5,Digester,Belden Ag-Grid LLC,9 Depot Road,Hatfield,1038,Rashi Akki,413-320-7710,42.40832609,-72.59582346
6,Compost,Black Earth Compost,197 School Street,by-the-Sea,1944,Andrew Brousseau,978-290-4610,42.59405984,-70.76616222
7,Compost,Black Earth Compost,600 Cow Pond Brook Road,Groton,1450,Andrew Brousseau,978-290-4610,42.62323956,-71.50079702
8,Compost,Black Earth Compost,1062 Edmands Road,Framingham,1701,Andrew Brousseau,978-290-4610,42.32899248,-71.48184379
9,Compost,Brick Ends Farm,464 Highland Ave,Hamilton,1982,Peter Britton,978-468-3131,42.63663952,-70.88569734
10,Compost,With Me,888 West Falmouth Hwy.,Falmouth,2563,Mary Ryther,774-392-1440,41.61496752,-70.62403292
11,Compost,Caretaker Farm,1210 Hancock Road,Williamstown,1267,Don Zasada,413-458-9691,42.6409043,-73.27345849
12,Compost,Clear View Compost,159 Quabbin Blvd.,Orange,1364,Rick Innes,978-544-5872,42.57030829,-72.2981587
13,Digester,CRMC Bio Energy,300 Samuel Barnet Blvd.,New Bedford,2740,Thomas Yeransian,508-339-3074,41.72513661,-70.97807049
14,Compost,Davidian Farm,500 Church Street,Northborough,1532,Ed Davidian,508-393-3444,42.33493099,-71.68336496
15,Animal Feed,Dooley’s Stock Farm,51 Montgomery Street,Lakeville,2347,Hazel Dooley,508-947-0251,41.84240821,-70.97909252
16,Animal Feed,"Double ""S"" Farm",451 Highland Ave,Dartmouth,2447,Jeff Douglass,508-326-8894,41.66329514,-71.05519473
16,Compost,"Double ""S"" Farm",451 Highland Ave,Dartmouth,2447,Jeff Douglass,508-326-8894,41.66329514,-71.05519473
17,Processor,E.L. Harvey,68 Hopkinton Road,Westborough,1581,Benjamin Harvey,508-836-3020,42.25565849,-71.59160748
18,Compost,Compost Site,101 Fitchburg Road (Rte 31),Westminster,1473,Tom Murray,978-874-0037,42.5381357,-71.84961356
19,Compost,Good Farm,1056 State Road,Tisbury,2568,Jefferson Monroe,714-785-0112,41.43843723,-70.63213125
19,Animal Feed,Good Farm,1056 State Road,Tisbury,2568,Jefferson Monroe,714-785-0112,41.43843723,-70.63213125
20,Compost,Groundscapes Express,"715 East Street, Rte. 140",Wrentham,2093,John Engwer,508-384-7140,42.0762218,-71.30329922
21,Compost,Hancock Dairy Farm,240 Hancock Road,Barre,1005,Chris Wilson,,42.41721644,-72.12501966
22,Compost,Farm,11 Cassidy Lane,Medway,2053,Jimmy Cassidy,508-269-1134,42.14180765,-71.4054046
23,Animal Feed,Hilltown Grazers,86 Spruce Corner Road,Goshen,1096,Cosimo Ferrante,413-588-7638,42.463189,-72.8374377
24,Compost,Holiday Brook Farm,100 Holiday Cottage Road,Dalton,1226,Dicken Crane,413-684-0444,42.48721312,-73.13772814
25,Compost,King Fisher,756 Fisher Road,Dartmouth,2714,Phil DeMoranville,508-636-5771,41.59058803,-71.02369732
26,Animal Feed,Krochmal Farm,1079 South Street,Tewksbury,1876,John Cave,978-658-0507,42.59875463,-71.1825184
26,Compost,Krochmal Farm,1079 South Street,Tewksbury,1876,John Cave,978-658-0507,42.59875463,-71.1825184
27,Compost,Martin’s Farm,341 Plain Road,Greenfield,1301,Adam Martin,413-774-5631,42.62525765,-72.62439592
28,Compost,Mass Natural,65 Bean Porridge Hill Road,Westminster,1473,Diane Page,978-874-0744,42.58068377,-71.87662246
29,Compost,Meadow Farm,1125 Meadow Street,South Lee,1238,Tom Touponce,413-243-4111,42.280302,-73.23450296
30,Compost,Works,1421 Central Ave,Needham,2492,Matthew DeMarais,781-727-9981,42.27677688,-71.26034622
31,Compost,Newland Farms,145 Newland Street,Norton,2766,Earl Willcott,774-254-1049,42.00895761,-71.16379044
32,Compost,OffBeet Compost,90 Bolt Street,Lowell,1852,Kesiah Bascom,978-483-0172,42.62509526,-71.29814916
33,Processor,Parallel Products,969 Shawmut Ave,New Bedford,2746,David Winchell,914-456-1397,41.66001453,-70.94814229
34,Digester,Pine Island Farm,1474 Hewins Street,Sheffield,1257,Lou Aragi,413-229-8354,42.06888984,-73.31879505
35,Animal Feed,Plante Brothers Farming,112 Oak Street,Norton,2766,Brian Plante,508-285-6821,42.21888267,-72.57048865
36,Animal Feed,Popielarz Pig Farm,128 Williamansett Street,South Hadley,1075,Wayne Walton,413-626-9763,42.21884294,-72.57044573
37,Digester,Rockwood Ag-Grid LLC,355 Granby Road,Granville,1034,Rashi Akki,610-574-8737,42.04387488,-72.86283599
38,Compost,Rocky Hill Farm,34 Butterfield Road,Saugus,1906,Fran Buzun,781-233-9480,42.50009472,-71.03103154
39,Compost,Shadow Valley Farm,111 Stafford Road,Somers,1036,Richard Jonelis,860-749-4795,41.68719075,-71.15936409
40,Compost,Farms,1885 North Main Street,Sheffield,1257,Steve Leining,413-528-8066,42.15725768,-73.3661263
41,Compost,at Olde Dartmouth Farm,264 Smith Neck Road,Dartmouth,2748,Tom Kirby,774-263-2844,41.54358965,-70.95607038
42,Processor,Feedback Earth,109 Creeper Hill Road,North Grafton,1536,Mary Trenchard,508-839-1300,42.23598266,-71.72920442
43,Animal Feed,Two Village Farm,475 Locust Street,Swansea,2777,Al Raposo,508-521-7048,41.7751675,-71.21746767
44,Animal Feed,Tyde Brook Farm,776 Malden Street,Holden,1520,Mike Antonelli,508-335-3091,42.35962861,-71.81676675
44,Compost,Tyde Brook Farm,776 Malden Street,Holden,1520,Mike Antonelli,508-335-3091,42.35962861,-71.81676675
45,Processor,Agawam,299 Main Street,Agawam,1001,Matthew Lillie,800-868-3500,42.08349566,-72.61573152
46,Digester,Deerfield,188 Mill Village Road,Deerfield,1342,Matthew Lillie,800-868-3500,42.52073718,-72.61535283
47,Digester,Hadley,14 Barstow Lane,Hadley,1035,Matthew Lillie,800-868-3500,42.29453312,-72.60132569
48,Digester,Haverhill,1058 Boston Road,Haverhill,1835,Matthew Lillie,800-868-3500,42.74778108,-71.10586866
49,Digester,Rutland,51 Muschopauge Road,Rutland,1543,Matthew Lillie,800-868-3500,42.38795075,-71.91907069
50,Digester,Spencer,56 Northwest Road,Spencer,1562,Matthew Lillie,800-868-3500,42.27557759,-72.0159768
51,Processor,CORe,200 Terminal Street,Charlestown,2129,Konrad Nowakowski,617-843-5990,42.38322364,-71.04994829
52,Compost,Nantucket,188 Madaket Road,Nantucket,2554,Nathan Widell,215-595-4218,41.28080675,-70.165834
53,Animal Feed,Willowdale Farms,26 Willowdale Road,Tyngsboro,1879,Steve Caggiano,978-804-8064,42.66865264,-71.39141756
53,Compost,Willowdale Farms,26 Willowdale Road,Tyngsboro,1879,Steve Caggiano,978-804-8064,42.66865264,-71.39141756
