geometry,SWID,NAME,PERMITTED,TYPE,RECYCLING,TRASH,EWaste,HHW,FOOD SCRAPS,C&D,CLEAN WOOD,LEAF YARD DEBRIS,MATERIAL SPECIFICS,ADDRESS,TOWN,STATE,ZIP,COUNTY,MAILING ADDRESS,MAILING CITY,MAILING STATE,MAILING ZIP,TELEPHONE,Email,WEBSITE,LAST VISIT,Active,Latitude,Longitude,Location,ID,EABPartnerFacility
"X: -8140059.65307286, Y: 5546191.1461358, Z: NaN",CH211,Essex Drop Off - CSWD,Yes,Transfer Station,YES,YES,YES,YES,YES,,YES,YES,,218 Colchester Road,Essex,VT,5451,Chittenden,,,,,802-872-8100,,,2023-01-12T00:00:00.0000000,1,44.51948797,-73.12335044,,59,NO
"X: -8135885.17216811, Y: 5594719.56981977, Z: NaN",FR540,St. Albans City Drop Off,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,YES,,83 Rewes Drive,St. Albans,VT,5478,Franklin,,,,,802-524-5986,,,2019-01-08T00:00:00.0000000,1,44.82948692,-73.08594704,,84,NO
"X: -8156846.63228448, Y: 5615352.35811508, Z: NaN",GI011,Alburg Transfer Station,Yes,Transfer Station,YES,YES,YES,YES,YES,YES,YES,YES,,260 Dump Road,Alburgh,VT,5440,Grand Isle,,,,,802-796-6078,,alburghtransferstation.com,2022-12-22T00:00:00.0000000,1,44.9608232,-73.2742027,,86,NO
"X: -8160998.84929107, Y: 5588082.46353907, Z: NaN",GI421,North Hero Drop Off,Yes,Transfer Station,YES,YES,YES,NO,YES,,YES,YES,,362 West Shore Road,North Hero,VT,5474,Grand Isle,,,,,802-372-4812,,http://www.nwswd.org/index.php?option=com_content&task=view&id=37,2023-03-29T00:00:00.0000000,1,44.787154,-73.3114931,,88,NO
"X: -8162612.98190757, Y: 5571675.33653966, Z: NaN",GI251,Grand Isle Transfer Station,Yes,Transfer Station,YES,YES,NO,YES,YES,,YES,YES,,22 Hanson Lane,Grand Isle,VT,5458,Grand Isle,,,,,8002-372-8830,,,2023-03-29T00:00:00.0000000,1,44.682533,-73.326019,,87,NO
"X: -8132378.60820812, Y: 5612112.10783557, Z: NaN",FR311,Casella Transfer Station - Highgate,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,YES,,2 Transfer Station Road,Highgate,VT,5459,Franklin,,,,,802-223-7221,,,2019-09-18T00:00:00.0000000,1,44.94015494,-73.05438125,,81,YES
"X: -8082607.66387445, Y: 5602429.74546968, Z: NaN",FR550,Montgomery Drop Off,Yes,Transfer Station,YES,YES,YES,NO,YES,,YES,YES,,86 Mountain Rd,Montgomery Center,VT,5471,Franklin,,,,,802-524-5986,,,2023-04-20T00:00:00.0000000,1,44.87858586,-72.60732622,,83,NO
"X: -8061980.16223046, Y: 5604566.51756017, Z: NaN",OL980,Westfield Drop Off,Yes,Transfer Station,YES,YES,YES,YES,YES,,NO,NO,,757 Rt 100 N,Westfield,VT,5874,Orleans,,,,,802-744-2484,,,2022-08-03T00:00:00.0000000,1,44.89220067,-72.42204745,,131,NO
"X: -8104014.40195399, Y: 5588113.83320812, Z: NaN",N/A,Bakersfield Transfer Station,No,Transfer Station,YES,YES,YES,NO,YES,,NO,NO,,380 Main St,Bakersfield,VT,5441,Franklin,,,,,,,,,1,44.787429,-72.79962,,78,NO
"X: -8117829.15076144, Y: 5565023.79038012, Z: NaN",LA121,Cambridge Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,rt 104,Cambridge,VT,5444,Lamoille,,,,,802-223-7045,,,2022-10-31T00:00:00.0000000,1,44.63995584,-72.92365072,,89,NO
"X: -8102856.67924974, Y: 5548502.10034831, Z: NaN",LA771,Lamoille District Transfer Station,Yes,Transfer Station,YES,YES,YES,NO,YES,YES,YES,YES,,370 Mountain Road,Stowe,VT,5672,Lamoille,,,,,802-253-7350,,,2021-09-30T00:00:00.0000000,1,44.5343118,-72.7891521,,95,NO
"X: -8083587.27539343, Y: 5558345.84772998, Z: NaN",LA050,Hyde Park Recycle Drop-off Depot,Yes,Transfer Station,YES,YES,YES,NO,YES,,NO,NO,,Rt 100,Hyde Park,VT,5655,Lamoille,,,,,802-223-7221,,,2023-01-24T00:00:00.0000000,1,44.59726092,-72.61605193,,91,NO
"X: -8074347.75765758, Y: 5576373.48386522, Z: NaN",LA950,Lamoille District Transfer Station,Yes,Transfer Station,YES,YES,NO,NO,YES,,NO,NO,,3625 Vermont 100,Eden Mills,VT,5653,Lamoille,,,,,802-888-7317,,,,1,44.71246405,-72.53314376,,90,NO
